Title_CLEANED,Source_CLEANED,Data Type_CLEANED,Territory_CLEANED_LOWER,Region_Name,DATASET_ID,Territory_EXPLODE_LIST,PLACE,Territory_COM,Territory_PROV,Territory_REG,MacroArea,Source_DOMAIN,Information included (Alternate descriptio)_CLEANED,Description_CLEANED,Time cadence (or last uploaded or time of data)_CLEANED,Notes (possible issues)_CLEANED,Source_URL
corpi idrici sotterranei,agenzia regionale protezione ambiente umbria,zip,umbria,Umbria,DS_0,umbria,,regional,regional,umbria,Centre,dati.regione.umbria.it,acqua acqua sotterranea corpo idrico idrografia,natura paesaggio dati ambientali,annual,corpi idrici sotterranei conformi direttiva ce individuati umbria sensi dlgs informazioni relative georeferenziazione codici corpo idrico complesso idrogeologico appartenenza,[https://dati.regione.umbria.it/dataset/628f01ea-defa-496a-b459-ff1d6c54b4a0/resource/e8bbf803-c2b5-469b-ae9f-00ee422ca729/download/corpi-idrici-sotterranei.zip]
stato ecologico corpi idrici lacustri,agenzia regionale protezione ambiente umbria,,umbria,Umbria,DS_1,umbria,,regional,regional,umbria,Centre,Unknown,acqua ecologia impianti monitoraggio ambientale lago monitoraggio dellacqua stazione monitoraggio,classificazione dello stato ecologico conforme direttiva europea acque ce stazioni corpi idrici lacustri,annual,classificazione dello stato ecologico conforme direttiva europea acque ce stazioni corpi idrici lacustri,
stato ecologico corpi idrici fluviali,agenzia regionale protezione ambiente umbria,zip,umbria,Umbria,DS_2,umbria,,regional,regional,umbria,Centre,apps.arpa.umbria.it,acqua ecologia fiume impianti monitoraggio ambientale monitoraggio dellacqua stazione monitoraggio,natura paesaggio dati ambientali,annual,classificazione dello stato ecologico conforme direttiva europea acque ce stazioni corpi idrici superficiali individuati umbria base dlgs codice corpo idrico superficiale codice stazione giudizio macroinvertebrati giudizio diatomee giudizio macrofite giudizio fauna ittica giudizio elementi chimico fisici base giudizio elementi chimici sostegno stato ecologico periodo riferimento,[http://apps.arpa.umbria.it/odata/data/download/b6c3c713-559d-4bf2-9448-0c69f59aab8d?fileid=lvlitDLFjr2V967hua6IuA==.zip]
unita territoriali,agenzia regionale protezione ambiente umbria,zip,umbria,Umbria,DS_3,umbria,,regional,regional,umbria,Centre,dati.regione.umbria.it,acqua idrografia,natura paesaggio dati ambientali,annual,unita territoriali umbria relative informazioni nome codice distretto appartenenza georeferenziazione,[https://dati.regione.umbria.it/dataset/e07e9729-149b-484e-b992-e30424842dc0/resource/85fe46b4-87ba-48b4-9fb3-1c6325cc8a0b/download/unita-territoriali.zip]
stato chimico corpi idrici fluviali,agenzia regionale protezione ambiente umbria,zip,umbria,Umbria,DS_4,umbria,,regional,regional,umbria,Centre,apps.arpa.umbria.it,acqua analisi chimica fiume impianti monitoraggio ambientale monitoraggio dellacqua stazione monitoraggio,natura paesaggio dati ambientali,annual,stato chimico corpi idrici fluviali conforme direttiva europea acque ce corpi idrici individuati umbria base dlgs codice corpo idrico superficiale codice stazione monitoraggio periodo riferimento stato chimico,[http://apps.arpa.umbria.it/odata/data/download/2017b56f-08c8-4670-b95c-871c864752dc?fileid=3s6VwXFAICD40Fx8LsO3SA==.zip]
stazioni monitoraggio acque sotterranee,agenzia regionale protezione ambiente umbria,zip,umbria,Umbria,DS_5,umbria,,regional,regional,umbria,Centre,apps.arpa.umbria.it,acqua acque sotterranee impianti monitoraggio ambientale monitoraggio dellacqua,natura paesaggio dati ambientali,annual,stazioni monitoraggio acque sotterranee umbria conformi direttiva ce codice stazione quota tipo punto codice distretto idrografico codice sottobacino altezza testa pozzo profondita uso complesso idrogeologico corpo idrico sotterraneo codice zona vulnerabile nitrati georeferenziazione,[http://apps.arpa.umbria.it/odata/data/download/4eecc31c-df3e-42c7-b3a0-8f710e4b4139?fileid=sq0lU_pl6RE_P_7vsHg_P_3Utw==.zip]
corpi idrici lacustri,agenzia regionale protezione ambiente umbria,zip,umbria,Umbria,DS_6,umbria,,regional,regional,umbria,Centre,dati.regione.umbria.it,acqua acque interne idrografia lago,natura paesaggio dati ambientali,annual,corpi idrici lacustri conformi direttiva europea acque ce individuati umbria base dlgs classe lago nome codice profondita volume invaso tipo idoneita balneazione classe rischio sottobacino appartenenza naturalita georeferenziazione,[https://dati.regione.umbria.it/dataset/6b3b107f-51f7-4ebf-9236-2158738a6b39/resource/0423a1af-77a6-43e2-8623-2d6a6162080f/download/corpi-idrici-lacustri.zip]
sottobacini corpi idrici superficiali,agenzia regionale protezione ambiente umbria,zip,umbria,Umbria,DS_7,umbria,,regional,regional,umbria,Centre,dati.regione.umbria.it,acqua idrografia,natura paesaggio dati ambientali,annual,sottobacini individuati umbria base dlgs relativi corpi idrici corredati informazioni quali codice nome sottobacino georeferenziazione sottobacino codici nomi categoria corpi idrici ricadenti ciascun sottobacino livello pressione,[https://dati.regione.umbria.it/dataset/5c0c56b8-1a13-4266-a27b-93f7bb1e7c33/resource/7f662ec6-64e4-4031-80cb-c4d7875c0ebb/download/sottobacini-corpi-idrici.zip]
stazioni monitoraggio acque superficiali,agenzia regionale protezione ambiente umbria,zip,umbria,Umbria,DS_8,umbria,,regional,regional,umbria,Centre,dati.regione.umbria.it,acqua impianti monitoraggio ambientale monitoraggio acque dolci stazione monitoraggio,natura paesaggio dati ambientali,annual,stazioni monitoraggio corpi idrici superficiali fiumi laghi umbria codice identificativo nome stazione nome codice corpo idrico riferimento codice distretto categoria corpo idrico anno attivazione stazione anno dismissione quota stazione codice unita territoriale codice sottobacino ricade stazione codici monitoraggi specifica destinazione georeferenziazione,[https://dati.regione.umbria.it/dataset/e9440a74-3e80-49a2-a151-0639965227c7/resource/10bb8a4d-1855-4c19-b84b-bd73a8285aba/download/stazioni-monitoraggio-acque-superficiali.zip]
corpi idrici fluviali,agenzia regionale protezione ambiente umbria,zip,umbria,Umbria,DS_9,umbria,,regional,regional,umbria,Centre,dati.regione.umbria.it,acqua acque lotiche corpo idrico idrografia,natura paesaggio dati ambientali,annual,corpi idrici fluviali conformi direttiva europea acque ce individuati umbria base dlgs relative informazioni nome codice tipo sottocategoria codice sottobacino appartenenza classe rischio unita monitoraggio naturalita georeferenziazione,[https://dati.regione.umbria.it/dataset/7932f060-62c4-4cbd-a42b-d9a876266f86/resource/cdf442e4-5c14-4b11-9d29-e55270a465bf/download/corpi-idrici-fluviali.zip]
