Title,Authors,Year,Original Future Work,Distilled Keywords (Lemmatized)
"Industrial Big Data in an Industry 4.0 Environment: Challenges, Schemes, and Applications for Predictive Maintenance","Jihong yan, Yue meng, Lei lu, Lin li",2017,Not explicitly mentioned.,Not Explicitly Mentioned
Industry 4.0 as a data-driven paradigm: a systematic literature review on technologies,"Cristina Orsolin Klingenberg, Marco Antonio Viana Borges and José Antonio Valle Antunes Jr",2019,Intensify research into Data Application technologies. Explore relationships between technologies using Social Network Analysis.,"intensify, research, data, application, technology, explore, relationship, social, network, analysi"
Data Analytics and Industry 4.0: Survey,"Lian Duan, Li Da Xu",2021,"Continue joint research on different intersections with different components (industry sectors, CPSs, and analytic methods).","continue, joint, research, different, intersection, component, industry, sector, cpss, analytic, method"
5-Dimension Cross-Industry Digital Twin Applications Model and Analysis of Digital Twin Classification Terms and Models,"Sebastian Richard Newrzella, David W. Franklin, and Sultan Haider",2021,Not explicitly mentioned.,Not Explicitly Mentioned
A General Multi-Source Data Fusion Framework,"Weiming Liu, Chen Zhang, Bin Yu, Yitong Li",2019,Will work on conflict resolution methods for multi-language application scenarios in follow-up works.,"conflict, resolution, method, multi, language, application, scenario, follow"
A graph neural network-based stock forecasting method utilizing multi-source heterogeneous data fusion,"Jun Wang, Xiaohan Li, Huading Jia, Shiyu Ji, Jinghua Tan",2022,Expand to multi-attention mechanisms. further study the interaction mechanism between multi-source heterogeneous data.,"expand, multi, attention, mechanism, interaction, source, heterogeneou, data"
Enabling technologies and tools for digital twin,"Qinglin Qi, Fei Tao, Tianliang Hu, Nabil Anwer, Ang Liu, Yongli Wei, Lihui Wang, A. Y.C. Nee",2021,Not explicitly mentioned.,Not Explicitly Mentioned
FusionQuery: On-demand Fusion Queries over Multi-source Heterogeneous Data,"Junhao Zhu, Yuren Mao, Lu Chen, Congcong Ge, Ziheng Wei, Yunjun Gao",2024,Plan to further enhance the effectiveness of the on-demand fusion query.,"enhance, effectiveness, demand, fusion, query"
Knowledge Discovery in Heterogeneous and Unstructured Data of Industry 4.0 Systems: Challenges and Approaches,"Simon Kamm, Nasser Jazdi, Michael Weyrich",2021,"Detailed concretization and comparative analysis of existing approaches. This work will specifically target industrial automation systems operating under challenging environmental conditions, such as strict timing requirements or distributed partial processes.","detail, concretization, comparative, analysi, exist, approache, specifically, target, industrial, automation, system, operat, challeng, environmental, condition, strict, tim, requirement, distribut, partial, processe"
Data Management in Industry 4.0: State of the Art and Open Challenges,"Theofanis P. Raptis, Andrea Passarella, Marco Conti",2019,"Open challenges include: Energy efficient data delivery; Data distribution in local and mobile clouds; Distributed, real-time data security; and Convergence between communications and industrial automation.","open, challenge, include, energy, efficient, data, delivery, distribution, local, mobile, cloud, distribut, real, time, security, convergence, communication, industrial, automation"
A Survey on Deep Learning for Multimodal Data Fusion,"Jing Gao, Peng Li, Zhikui Chen, and Jianing Zhang",2020,New DL models that take semantic relationships into consideration are urgently needed. Suggests combining deep learning with semantic fusion strategies.,"new, model, take, semantic, relationship, consideration, urgently, need, suggest, combin, deep, learn, fusion, strategy"
A graph-based approach to multi-source heterogeneous information fusion in stock market,"Jun Wang, Xiaohan Li, Huading Jia, Tao Peng",2022,"Expand node features (e.g., trading data derivative index, graphical data) and study the interaction mechanism of heterogeneous data. Explore building a public opinion monitoring function for securities market regulation.","expand, node, feature, trad, data, derivative, index, graphic, interaction, mechanism, heterogeneou, explore, build, public, opinion, monitor, function, securitty, market, regulation"
