Value,Count,Percentage (%)
png,4597,42.09%
shp,2571,23.54%
srvc,1561,14.29%
map,1457,13.34%
xml,924,8.46%
html,906,8.30%
csv,788,7.21%
doc,773,7.08%
op,730,6.68%
datpro,730,6.68%
zip,629,5.76%
geojson,285,2.61%
json,253,2.32%
tiff,224,2.05%
kml,166,1.52%
wms,145,1.33%
gml,122,1.12%
rdf,100,0.92%
tsv,94,0.86%
xlsx,85,0.78%
pdf,61,0.56%
xls,54,0.49%
dxf,40,0.37%
wfs,38,0.35%
gpkg,30,0.27%
arc,25,0.23%
mdb,20,0.18%
simpl,19,0.17%
turtle,16,0.15%
dbase,16,0.15%
parquet,12,0.11%
jsonld,12,0.11%
rdfxml,12,0.11%
jsonl,12,0.11%
grid,10,0.09%
jpeg,10,0.09%
bwf,9,0.08%
gdb,8,0.07%
kmz,8,0.07%
ascii,8,0.07%
dbf,6,0.05%
owl,6,0.05%
ov,6,0.05%
gpx,6,0.05%
fgb,6,0.05%
ttl,5,0.05%
ods,4,0.04%
sparql,4,0.04%
apk,4,0.04%
bufr,4,0.04%
api,2,0.02%
ld,2,0.02%
laz,2,0.02%
qgs,2,0.02%
ecw,2,0.02%
txt,2,0.02%
