Value,Count,Percentage (%)
dati.gov.it,4218,38.62%
geoportale.lamma.rete.toscana.it,1515,13.87%
lamma.rete.toscana.it,1515,13.87%
mappegis.regione.emilia-romagna.it,266,2.44%
servizigis.regione.emilia-romagna.it,249,2.28%
webgis.adbpo.it,178,1.63%
servizimoka.regione.emilia-romagna.it,133,1.22%
ambiente.regione.emilia-romagna.it,113,1.03%
siatservices.provincia.tn.it,113,1.03%
webgis.arpa.piemonte.it,104,0.95%
irdat.regione.fvg.it,97,0.89%
provincia.bz.it,91,0.83%
geoportale.regione.emilia-romagna.it,86,0.79%
dati.regione.umbria.it,82,0.75%
idt2.regione.veneto.it,76,0.70%
rsdi.regione.basilicata.it,71,0.65%
wms.pcn.minambiente.it,71,0.65%
servizi-gis.arpae.it,70,0.64%
159.213.57.108,68,0.62%
pianoalluvioni.adbpo.it,59,0.54%
dati.veneto.it,58,0.53%
geoservices1.civis.bz.it,56,0.51%
webgis.regione.sardegna.it,55,0.50%
dati.lombardia.it,47,0.43%
sdi.isprambiente.it,44,0.40%
dati.comune.milano.it,44,0.40%
dati.regione.campania.it,42,0.38%
datigeo-piem-download.it,40,0.37%
geo.regione.emilia-romagna.it,40,0.37%
data.comune.fi.it,36,0.33%
avepa.it,35,0.32%
sit.comune.fe.it,32,0.29%
geoportale.comune.milano.it,32,0.29%
sit.comune.arezzo.it,29,0.27%
dati.puglia.it,27,0.25%
dati.lazio.it,26,0.24%
geomap.reteunitaria.piemonte.it,26,0.24%
provinz.bz.it,25,0.23%
maps1.ldpgis.it,25,0.23%
sentieriweb.regione.emilia-romagna.it,24,0.22%
geodati.gov.it,23,0.21%
tms.comune.fi.it,23,0.21%
userportal.smartdatanet.it,23,0.21%
idt.regione.veneto.it,22,0.20%
sardegnasira.it,19,0.17%
adbpo.it,18,0.16%
geoservizi.regione.liguria.it,17,0.16%
srvcarto.regione.liguria.it,16,0.15%
arpae.it,15,0.14%
ambiente.provincia.bz.it,15,0.14%
natur-raum.provinz.bz.it,15,0.14%
natura-territorio.provincia.bz.it,15,0.14%
mappe.partout.it,14,0.13%
regione.piemonte.it,14,0.13%
statweb.provincia.tn.it,14,0.13%
mappe.regione.vda.it,14,0.13%
geoservices6.civis.bz.it,14,0.13%
dati.unionevallesavio.it,13,0.12%
github.com,13,0.12%
dati.toscana.it,13,0.12%
iss.it,13,0.12%
opengis.csi.it,13,0.12%
snpageoserver.isprambiente.it,13,0.12%
geoservices.buergernetz.bz.it,13,0.12%
www502.regione.toscana.it,12,0.11%
opendata.comune.pisa.it,12,0.11%
geoportale.provincia.vicenza.it,11,0.10%
dati.regione.marche.it,11,0.10%
geoservices7.civis.bz.it,11,0.10%
dati.regione.calabria.it,10,0.09%
spatialdata.provincia.lodi.it,10,0.09%
umwelt.provinz.bz.it,10,0.09%
geoservices8.civis.bz.it,10,0.09%
pubblicazioni.provincia.fi.it,10,0.09%
dati.cittametropolitana.bo.it,10,0.09%
docs.google.com,9,0.08%
uc-valdarnoevaldisieve.fi.it,9,0.08%
172.31.0.111,9,0.08%
montevarchi.ldpgis.it,9,0.08%
geoserver.055055.it,9,0.08%
geoservices3.civis.bz.it,9,0.08%
gvcc.net,9,0.08%
webgis2.ar-tel.it,9,0.08%
10.2.174.5,8,0.07%
sgi2.isprambiente.it,7,0.06%
g3w-suite.comune.capannori.lu.it,7,0.06%
opendata.comune.palermo.it,7,0.06%
dati.cittametropolitana.fi.it,7,0.06%
dati.arpacampania.it,7,0.06%
montemurlo.ldpgis.it,7,0.06%
parcodellamaremma.ldpgis.it,7,0.06%
opendata.comune.siena.it,7,0.06%
apps.arpa.umbria.it,6,0.05%
opendataipres.it,6,0.05%
opendata.comune.bologna.it,6,0.05%
dati.friuliveneziagiulia.it,6,0.05%
adbpo.gov.it,6,0.05%
rignanosullarno.ldpgis.it,6,0.05%
gisportal.comune.milano.it,6,0.05%
toolsmart-dataportal.comune.lecce.it,5,0.05%
arpat.toscana.it,5,0.05%
sira.arpat.toscana.it,5,0.05%
provincia.parma.it,5,0.05%
sanvincenzo.ldpgis.it,5,0.05%
vaiano.ldpgis.it,5,0.05%
piombino.ldpgis.it,5,0.05%
vernio.ldpgis.it,5,0.05%
cittametropolitana.torino.it,5,0.05%
agri.regione.emilia-romagna.it,5,0.05%
geoservices9.civis.bz.it,5,0.05%
dati.regione.sicilia.it,4,0.04%
goo.gl,4,0.04%
dati.comune.lecce.it,4,0.04%
geoportale.regione.lazio.it,4,0.04%
mappe.comune.genova.it,4,0.04%
opendata.comune.bari.it,4,0.04%
geoportale.cittametropolitana.torino.it,4,0.04%
sinacloud.isprambiente.it,4,0.04%
grosseto.ldpgis.it,4,0.04%
regione.marche.it,4,0.04%
mappe.regione.emilia-romagna.it,4,0.04%
