Journal / Publication,Count,Percentage (%)
Journal of Manufacturing Technology Management,5,12.82%
IEEE Access,4,10.26%
[ScienceDirect] Information Sciences,3,7.69%
Procedia CIRP,2,5.13%
2025 International Conference on Next Generation Communication & Information Processing (INCIP),2,5.13%
Neural Computation,2,5.13%
Environmental Management,2,5.13%
PVLDB (Proceedings of the VLDB Endowment),2,5.13%
Multimedia Tools and Applications,2,5.13%
Water Science & Technology,1,2.56%
"2025 Smart Technologies, Communication & Robotics (STCR) (Conference Proceedings)",1,2.56%
"The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",1,2.56%
Remote Sensing,1,2.56%
Materials Today: Proceedings,1,2.56%
Pipelines 2017 (Conference Proceedings),1,2.56%
Water,1,2.56%
Structural Health Monitoring,1,2.56%
PLoS ONE,1,2.56%
Information Systems Frontiers,1,2.56%
Photonics,1,2.56%
Association for Computing Machinery (ACM),1,2.56%
PatentSemTech,1,2.56%
Journal of King Saud University - Computer and Information Sciences,1,2.56%
Thessaloniki Water Supply & Sewerage Co S.A. (Research Paper),1,2.56%
