FREQ,Frequenza,REF_AREA,Territorio,INDICATOR,Indicatore,TIME_PERIOD,Osservazione,OBS_STATUS,Stato dell’osservazione,NOTE_REF_AREA,Nota - Territorio,NOTE_INDICATOR,Nota - Indicatore,NOTE_TIME_PERIOD,Nota - Anno,BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,048001,Bagno a Ripoli,RESPOP_AV,Popolazione residente al 31 dicembre,1951,17783,,,,,,,,,,,,,,
A,Annuale,048001,Bagno a Ripoli,RESPOP_AV,Popolazione residente al 31 dicembre,1961,18067,,,,,,,,,,,,,,
A,Annuale,048001,Bagno a Ripoli,RESPOP_AV,Popolazione residente al 31 dicembre,1971,22250,,,,,,,,,,,,,,
A,Annuale,048001,Bagno a Ripoli,RESPOP_AV,Popolazione residente al 31 dicembre,1981,25735,,,,,,,,,,,,,,
A,Annuale,048001,Bagno a Ripoli,RESPOP_AV,Popolazione residente al 31 dicembre,1991,27382,,,,,,,,,,,,,,
A,Annuale,048001,Bagno a Ripoli,RESPOP_AV,Popolazione residente al 31 dicembre,2001,25232,,,,,,,,,,,,,,
A,Annuale,048001,Bagno a Ripoli,RESPOP_AV,Popolazione residente al 31 dicembre,2011,25403,,,,,,,,,,,,,,
A,Annuale,048001,Bagno a Ripoli,RESPOP_AV,Popolazione residente al 31 dicembre,2018,25560,,,,,,,,,,,,,,
A,Annuale,048001,Bagno a Ripoli,RESPOP_AV,Popolazione residente al 31 dicembre,2019,25556,,,,,,,,,,,,,,
A,Annuale,048001,Bagno a Ripoli,RESPOP_AV,Popolazione residente al 31 dicembre,2020,25323,,,,,,,,,,,,,,
A,Annuale,048001,Bagno a Ripoli,RESPOP_AV,Popolazione residente al 31 dicembre,2021,25314,,,,,,,,,,,,,,
A,Annuale,048001,Bagno a Ripoli,RESPOP_AV,Popolazione residente al 31 dicembre,2022,25207,,,,,,,,,,,,,,
A,Annuale,048001,Bagno a Ripoli,RESPOP_AV,Popolazione residente al 31 dicembre,2023,25041,,,,,,,,,,,,,,
A,Annuale,048001,Bagno a Ripoli,RESPOP_AV,Popolazione residente al 31 dicembre,2024,24946,,,,,,,,,,,,,,
A,Annuale,048002,Barberino di Mugello,RESPOP_AV,Popolazione residente al 31 dicembre,1951,10366,,,,,,,,,,,,,,
A,Annuale,048002,Barberino di Mugello,RESPOP_AV,Popolazione residente al 31 dicembre,1961,8481,,,,,,,,,,,,,,
A,Annuale,048002,Barberino di Mugello,RESPOP_AV,Popolazione residente al 31 dicembre,1971,7427,,,,,,,,,,,,,,
A,Annuale,048002,Barberino di Mugello,RESPOP_AV,Popolazione residente al 31 dicembre,1981,8059,,,,,,,,,,,,,,
A,Annuale,048002,Barberino di Mugello,RESPOP_AV,Popolazione residente al 31 dicembre,1991,8739,,,,,,,,,,,,,,
A,Annuale,048002,Barberino di Mugello,RESPOP_AV,Popolazione residente al 31 dicembre,2001,9531,,,,,,,,,,,,,,
A,Annuale,048002,Barberino di Mugello,RESPOP_AV,Popolazione residente al 31 dicembre,2011,10461,,,,,,,,,,,,,,
A,Annuale,048002,Barberino di Mugello,RESPOP_AV,Popolazione residente al 31 dicembre,2018,10776,,,,,,,,,,,,,,
A,Annuale,048002,Barberino di Mugello,RESPOP_AV,Popolazione residente al 31 dicembre,2019,10828,,,,,,,,,,,,,,
A,Annuale,048002,Barberino di Mugello,RESPOP_AV,Popolazione residente al 31 dicembre,2020,10870,,,,,,,,,,,,,,
A,Annuale,048002,Barberino di Mugello,RESPOP_AV,Popolazione residente al 31 dicembre,2021,10884,,,,,,,,,,,,,,
A,Annuale,048002,Barberino di Mugello,RESPOP_AV,Popolazione residente al 31 dicembre,2022,10938,,,,,,,,,,,,,,
A,Annuale,048002,Barberino di Mugello,RESPOP_AV,Popolazione residente al 31 dicembre,2023,10968,,,,,,,,,,,,,,
A,Annuale,048002,Barberino di Mugello,RESPOP_AV,Popolazione residente al 31 dicembre,2024,10939,,,,,,,,,,,,,,
A,Annuale,048054,Barberino Tavarnelle,RESPOP_AV,Popolazione residente al 31 dicembre,1951,11789,,,048054_N1,'Nel 2019 nuovo comune costituito mediante aggregazione dei soppressi comuni di Barberino Val d"'Elsa e Tavarnelle Val di Pesa',,,,,,,,,,
A,Annuale,048054,Barberino Tavarnelle,RESPOP_AV,Popolazione residente al 31 dicembre,1961,10340,,,048054_N1,'Nel 2019 nuovo comune costituito mediante aggregazione dei soppressi comuni di Barberino Val d"'Elsa e Tavarnelle Val di Pesa',,,,,,,,,,
A,Annuale,048054,Barberino Tavarnelle,RESPOP_AV,Popolazione residente al 31 dicembre,1971,8955,,,048054_N1,'Nel 2019 nuovo comune costituito mediante aggregazione dei soppressi comuni di Barberino Val d"'Elsa e Tavarnelle Val di Pesa',,,,,,,,,,
A,Annuale,048054,Barberino Tavarnelle,RESPOP_AV,Popolazione residente al 31 dicembre,1981,9644,,,048054_N1,'Nel 2019 nuovo comune costituito mediante aggregazione dei soppressi comuni di Barberino Val d"'Elsa e Tavarnelle Val di Pesa',,,,,,,,,,
A,Annuale,048054,Barberino Tavarnelle,RESPOP_AV,Popolazione residente al 31 dicembre,1991,10453,,,048054_N1,'Nel 2019 nuovo comune costituito mediante aggregazione dei soppressi comuni di Barberino Val d"'Elsa e Tavarnelle Val di Pesa',,,,,,,,,,
A,Annuale,048054,Barberino Tavarnelle,RESPOP_AV,Popolazione residente al 31 dicembre,2001,11024,,,048054_N1,'Nel 2019 nuovo comune costituito mediante aggregazione dei soppressi comuni di Barberino Val d"'Elsa e Tavarnelle Val di Pesa',,,,,,,,,,
A,Annuale,048054,Barberino Tavarnelle,RESPOP_AV,Popolazione residente al 31 dicembre,2011,12026,,,048054_N1,'Nel 2019 nuovo comune costituito mediante aggregazione dei soppressi comuni di Barberino Val d"'Elsa e Tavarnelle Val di Pesa',,,,,,,,,,
A,Annuale,048054,Barberino Tavarnelle,RESPOP_AV,Popolazione residente al 31 dicembre,2018,12048,,,048054_N1,'Nel 2019 nuovo comune costituito mediante aggregazione dei soppressi comuni di Barberino Val d"'Elsa e Tavarnelle Val di Pesa',,,,,,,,,,
A,Annuale,048054,Barberino Tavarnelle,RESPOP_AV,Popolazione residente al 31 dicembre,2019,12101,,,048054_N1,'Nel 2019 nuovo comune costituito mediante aggregazione dei soppressi comuni di Barberino Val d"'Elsa e Tavarnelle Val di Pesa',,,,,,,,,,
A,Annuale,048054,Barberino Tavarnelle,RESPOP_AV,Popolazione residente al 31 dicembre,2020,11953,,,048054_N1,'Nel 2019 nuovo comune costituito mediante aggregazione dei soppressi comuni di Barberino Val d"'Elsa e Tavarnelle Val di Pesa',,,,,,,,,,
A,Annuale,048054,Barberino Tavarnelle,RESPOP_AV,Popolazione residente al 31 dicembre,2021,11906,,,048054_N1,'Nel 2019 nuovo comune costituito mediante aggregazione dei soppressi comuni di Barberino Val d"'Elsa e Tavarnelle Val di Pesa',,,,,,,,,,
A,Annuale,048054,Barberino Tavarnelle,RESPOP_AV,Popolazione residente al 31 dicembre,2022,11910,,,048054_N1,'Nel 2019 nuovo comune costituito mediante aggregazione dei soppressi comuni di Barberino Val d"'Elsa e Tavarnelle Val di Pesa',,,,,,,,,,
A,Annuale,048054,Barberino Tavarnelle,RESPOP_AV,Popolazione residente al 31 dicembre,2023,11932,,,048054_N1,'Nel 2019 nuovo comune costituito mediante aggregazione dei soppressi comuni di Barberino Val d"'Elsa e Tavarnelle Val di Pesa',,,,,,,,,,
A,Annuale,048054,Barberino Tavarnelle,RESPOP_AV,Popolazione residente al 31 dicembre,2024,11977,,,048054_N1,'Nel 2019 nuovo comune costituito mediante aggregazione dei soppressi comuni di Barberino Val d"'Elsa e Tavarnelle Val di Pesa',,,,,,,,,,
A,Annuale,048004,Borgo San Lorenzo,RESPOP_AV,Popolazione residente al 31 dicembre,1951,16535,,,,,,,,,,,,,,
A,Annuale,048004,Borgo San Lorenzo,RESPOP_AV,Popolazione residente al 31 dicembre,1961,14498,,,,,,,,,,,,,,
A,Annuale,048004,Borgo San Lorenzo,RESPOP_AV,Popolazione residente al 31 dicembre,1971,14199,,,,,,,,,,,,,,
A,Annuale,048004,Borgo San Lorenzo,RESPOP_AV,Popolazione residente al 31 dicembre,1981,14685,,,,,,,,,,,,,,
A,Annuale,048004,Borgo San Lorenzo,RESPOP_AV,Popolazione residente al 31 dicembre,1991,15285,,,,,,,,,,,,,,
A,Annuale,048004,Borgo San Lorenzo,RESPOP_AV,Popolazione residente al 31 dicembre,2001,15825,,,,,,,,,,,,,,
A,Annuale,048004,Borgo San Lorenzo,RESPOP_AV,Popolazione residente al 31 dicembre,2011,17854,,,,,,,,,,,,,,
A,Annuale,048004,Borgo San Lorenzo,RESPOP_AV,Popolazione residente al 31 dicembre,2018,18042,,,,,,,,,,,,,,
A,Annuale,048004,Borgo San Lorenzo,RESPOP_AV,Popolazione residente al 31 dicembre,2019,17950,,,,,,,,,,,,,,
A,Annuale,048004,Borgo San Lorenzo,RESPOP_AV,Popolazione residente al 31 dicembre,2020,18207,,,,,,,,,,,,,,
A,Annuale,048004,Borgo San Lorenzo,RESPOP_AV,Popolazione residente al 31 dicembre,2021,18184,,,,,,,,,,,,,,
A,Annuale,048004,Borgo San Lorenzo,RESPOP_AV,Popolazione residente al 31 dicembre,2022,18169,,,,,,,,,,,,,,
A,Annuale,048004,Borgo San Lorenzo,RESPOP_AV,Popolazione residente al 31 dicembre,2023,18276,,,,,,,,,,,,,,
A,Annuale,048004,Borgo San Lorenzo,RESPOP_AV,Popolazione residente al 31 dicembre,2024,18286,,,,,,,,,,,,,,
A,Annuale,048005,Calenzano,RESPOP_AV,Popolazione residente al 31 dicembre,1951,8232,,,,,,,,,,,,,,
A,Annuale,048005,Calenzano,RESPOP_AV,Popolazione residente al 31 dicembre,1961,8745,,,,,,,,,,,,,,
A,Annuale,048005,Calenzano,RESPOP_AV,Popolazione residente al 31 dicembre,1971,11098,,,,,,,,,,,,,,
A,Annuale,048005,Calenzano,RESPOP_AV,Popolazione residente al 31 dicembre,1981,13466,,,,,,,,,,,,,,
A,Annuale,048005,Calenzano,RESPOP_AV,Popolazione residente al 31 dicembre,1991,14959,,,,,,,,,,,,,,
A,Annuale,048005,Calenzano,RESPOP_AV,Popolazione residente al 31 dicembre,2001,15042,,,,,,,,,,,,,,
A,Annuale,048005,Calenzano,RESPOP_AV,Popolazione residente al 31 dicembre,2011,16637,,,,,,,,,,,,,,
A,Annuale,048005,Calenzano,RESPOP_AV,Popolazione residente al 31 dicembre,2018,18063,,,,,,,,,,,,,,
A,Annuale,048005,Calenzano,RESPOP_AV,Popolazione residente al 31 dicembre,2019,18122,,,,,,,,,,,,,,
A,Annuale,048005,Calenzano,RESPOP_AV,Popolazione residente al 31 dicembre,2020,18420,,,,,,,,,,,,,,
A,Annuale,048005,Calenzano,RESPOP_AV,Popolazione residente al 31 dicembre,2021,18041,,,,,,,,,,,,,,
A,Annuale,048005,Calenzano,RESPOP_AV,Popolazione residente al 31 dicembre,2022,18099,,,,,,,,,,,,,,
A,Annuale,048005,Calenzano,RESPOP_AV,Popolazione residente al 31 dicembre,2023,18086,,,,,,,,,,,,,,
A,Annuale,048005,Calenzano,RESPOP_AV,Popolazione residente al 31 dicembre,2024,17994,,,,,,,,,,,,,,
A,Annuale,048006,Campi Bisenzio,RESPOP_AV,Popolazione residente al 31 dicembre,1951,16008,,,,,,,,,,,,,,
A,Annuale,048006,Campi Bisenzio,RESPOP_AV,Popolazione residente al 31 dicembre,1961,18030,,,,,,,,,,,,,,
A,Annuale,048006,Campi Bisenzio,RESPOP_AV,Popolazione residente al 31 dicembre,1971,26993,,,,,,,,,,,,,,
A,Annuale,048006,Campi Bisenzio,RESPOP_AV,Popolazione residente al 31 dicembre,1981,33153,,,,,,,,,,,,,,
A,Annuale,048006,Campi Bisenzio,RESPOP_AV,Popolazione residente al 31 dicembre,1991,34444,,,,,,,,,,,,,,
A,Annuale,048006,Campi Bisenzio,RESPOP_AV,Popolazione residente al 31 dicembre,2001,37249,,,,,,,,,,,,,,
A,Annuale,048006,Campi Bisenzio,RESPOP_AV,Popolazione residente al 31 dicembre,2011,42929,,,,,,,,,,,,,,
A,Annuale,048006,Campi Bisenzio,RESPOP_AV,Popolazione residente al 31 dicembre,2018,45965,,,,,,,,,,,,,,
A,Annuale,048006,Campi Bisenzio,RESPOP_AV,Popolazione residente al 31 dicembre,2019,46122,,,,,,,,,,,,,,
A,Annuale,048006,Campi Bisenzio,RESPOP_AV,Popolazione residente al 31 dicembre,2020,47871,,,,,,,,,,,,,,
A,Annuale,048006,Campi Bisenzio,RESPOP_AV,Popolazione residente al 31 dicembre,2021,47541,,,,,,,,,,,,,,
A,Annuale,048006,Campi Bisenzio,RESPOP_AV,Popolazione residente al 31 dicembre,2022,47676,,,,,,,,,,,,,,
A,Annuale,048006,Campi Bisenzio,RESPOP_AV,Popolazione residente al 31 dicembre,2023,47639,,,,,,,,,,,,,,
A,Annuale,048006,Campi Bisenzio,RESPOP_AV,Popolazione residente al 31 dicembre,2024,47539,,,,,,,,,,,,,,
A,Annuale,048008,Capraia e Limite,RESPOP_AV,Popolazione residente al 31 dicembre,1951,3938,,,,,,,,,,,,,,
A,Annuale,048008,Capraia e Limite,RESPOP_AV,Popolazione residente al 31 dicembre,1961,4290,,,,,,,,,,,,,,
A,Annuale,048008,Capraia e Limite,RESPOP_AV,Popolazione residente al 31 dicembre,1971,4462,,,,,,,,,,,,,,
A,Annuale,048008,Capraia e Limite,RESPOP_AV,Popolazione residente al 31 dicembre,1981,4734,,,,,,,,,,,,,,
A,Annuale,048008,Capraia e Limite,RESPOP_AV,Popolazione residente al 31 dicembre,1991,5137,,,,,,,,,,,,,,
A,Annuale,048008,Capraia e Limite,RESPOP_AV,Popolazione residente al 31 dicembre,2001,5920,,,,,,,,,,,,,,
A,Annuale,048008,Capraia e Limite,RESPOP_AV,Popolazione residente al 31 dicembre,2011,7298,,,,,,,,,,,,,,
A,Annuale,048008,Capraia e Limite,RESPOP_AV,Popolazione residente al 31 dicembre,2018,7840,,,,,,,,,,,,,,
A,Annuale,048008,Capraia e Limite,RESPOP_AV,Popolazione residente al 31 dicembre,2019,7856,,,,,,,,,,,,,,
A,Annuale,048008,Capraia e Limite,RESPOP_AV,Popolazione residente al 31 dicembre,2020,7856,,,,,,,,,,,,,,
A,Annuale,048008,Capraia e Limite,RESPOP_AV,Popolazione residente al 31 dicembre,2021,7881,,,,,,,,,,,,,,
A,Annuale,048008,Capraia e Limite,RESPOP_AV,Popolazione residente al 31 dicembre,2022,7875,,,,,,,,,,,,,,
A,Annuale,048008,Capraia e Limite,RESPOP_AV,Popolazione residente al 31 dicembre,2023,7822,,,,,,,,,,,,,,
A,Annuale,048008,Capraia e Limite,RESPOP_AV,Popolazione residente al 31 dicembre,2024,7796,,,,,,,,,,,,,,
A,Annuale,048010,Castelfiorentino,RESPOP_AV,Popolazione residente al 31 dicembre,1951,14209,,,,,,,,,,,,,,
A,Annuale,048010,Castelfiorentino,RESPOP_AV,Popolazione residente al 31 dicembre,1961,15602,,,,,,,,,,,,,,
