FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,048001,Bagno a Ripoli,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,2856,,
A,Annuale,048001,Bagno a Ripoli,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,1553,,
A,Annuale,048002,Barberino di Mugello,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,1308,,
A,Annuale,048002,Barberino di Mugello,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,711,,
A,Annuale,048003,'Barberino Val d"'Elsa',ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,533,,
A,Annuale,048003,'Barberino Val d"'Elsa',ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,290,,
A,Annuale,048004,Borgo San Lorenzo,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,1946,,
A,Annuale,048004,Borgo San Lorenzo,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,1058,,
A,Annuale,048005,Calenzano,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,2552,,
A,Annuale,048005,Calenzano,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,1388,,
A,Annuale,048006,Campi Bisenzio,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,5186,,
A,Annuale,048006,Campi Bisenzio,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,2820,,
A,Annuale,048008,Capraia e Limite,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,564,,
A,Annuale,048008,Capraia e Limite,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,383,,
A,Annuale,048010,Castelfiorentino,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,1366,,
A,Annuale,048010,Castelfiorentino,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,932,,
A,Annuale,048011,Cerreto Guidi,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,859,,
A,Annuale,048011,Cerreto Guidi,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,633,,
A,Annuale,048012,Certaldo,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,1317,,
A,Annuale,048012,Certaldo,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,900,,
A,Annuale,048013,Dicomano,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,412,,
A,Annuale,048013,Dicomano,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,224,,
A,Annuale,048014,Empoli,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,4342,,
A,Annuale,048014,Empoli,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,3035,,
A,Annuale,048015,Fiesole,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,1480,,
A,Annuale,048015,Fiesole,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,842,,
A,Annuale,048052,Figline e Incisa Valdarno,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,2321,,
A,Annuale,048052,Figline e Incisa Valdarno,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,1262,,
A,Annuale,048017,Firenze,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,50099,,
A,Annuale,048017,Firenze,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,27724,,
A,Annuale,048018,Firenzuola,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,432,,
A,Annuale,048018,Firenzuola,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,310,,
A,Annuale,048019,Fucecchio,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,1470,,
A,Annuale,048019,Fucecchio,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,1042,,
A,Annuale,048020,Gambassi Terme,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,608,,
A,Annuale,048020,Gambassi Terme,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,326,,
A,Annuale,048021,Greve in Chianti,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,1268,,
A,Annuale,048021,Greve in Chianti,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,689,,
A,Annuale,048022,Impruneta,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,1607,,
A,Annuale,048022,Impruneta,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,874,,
A,Annuale,048024,Lastra a Signa,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,1941,,
A,Annuale,048024,Lastra a Signa,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,1055,,
A,Annuale,048025,Londa,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,155,,
A,Annuale,048025,Londa,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,84,,
A,Annuale,048026,Marradi,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,259,,
A,Annuale,048026,Marradi,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,186,,
A,Annuale,048027,Montaione,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,544,,
A,Annuale,048027,Montaione,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,333,,
A,Annuale,048028,Montelupo Fiorentino,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,1137,,
A,Annuale,048028,Montelupo Fiorentino,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,763,,
A,Annuale,048030,Montespertoli,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,1110,,
A,Annuale,048030,Montespertoli,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,774,,
A,Annuale,048031,Palazzuolo sul Senio,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,89,,
A,Annuale,048031,Palazzuolo sul Senio,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,64,,
A,Annuale,048032,Pelago,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,795,,
A,Annuale,048032,Pelago,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,432,,
A,Annuale,048033,Pontassieve,ACQ_IMM,'Acqua immessa nelle reti comunali di distribuzione dell"'acqua potabile - migliaia di metri cubi',2018,1900,,
A,Annuale,048033,Pontassieve,ACQ_EROG,'Acqua erogata dalle reti comunali di distribuzione dell"'acqua potabile  - migliaia di metri cubi',2018,1033,,
