Data;Altezza (m slm);Milioni mc
01/01/2023;250,11;60,18
02/01/2023;250,09;60,09
03/01/2023;250,06;59,97
04/01/2023;250,03;59,84
05/01/2023;249,99;59,66
06/01/2023;249,98;59,62
07/01/2023;249,95;59,47
08/01/2023;249,92;59,32
09/01/2023;250,4;61,38
10/01/2023;250,54;62,02
11/01/2023;250,48;61,77
12/01/2023;250,42;61,51
13/01/2023;250,36;61,26
14/01/2023;250,3;60,99
15/01/2023;250,26;60,82
16/01/2023;250,24;60,74
17/01/2023;250,26;60,82
18/01/2023;250,45;61,64
19/01/2023;250,66;62,54
20/01/2023;250,64;62,46
21/01/2023;250,57;62,16
22/01/2023;250,49;61,81
23/01/2023;250,44;61,6
24/01/2023;250,43;61,56
25/01/2023;250,41;61,47
26/01/2023;250,38;61,34
27/01/2023;250,34;61,17
28/01/2023;250,3;60,99
29/01/2023;250,27;60,87
30/01/2023;250,24;60,74
31/01/2023;250,21;60,61
01/02/2023;250,18;60,48
02/02/2023;250,16;60,4
03/02/2023;250,15;60,36
04/02/2023;250,14;60,31
05/02/2023;250,12;60,23
06/02/2023;250,09;60,1
07/02/2023;250,07;60,01
08/02/2023;250,08;60,06
09/02/2023;250,08;60,06
10/02/2023;250,09;60,1
11/02/2023;250,1;60,14
12/02/2023;250,11;60,18
13/02/2023;250,11;60,18
14/02/2023;250,11;60,18
15/02/2023;250,12;60,23
16/02/2023;250,12;60,23
17/02/2023;250,12;60,23
18/02/2023;250,12;60,23
19/02/2023;250,12;60,23
20/02/2023;250,12;60,23
21/02/2023;250,11;60,18
22/02/2023;250,11;60,18
23/02/2023;250,11;60,18
24/02/2023;250,11;60,18
25/02/2023;250,11;60,18
26/02/2023;250,14;60,31
27/02/2023;250,23;60,69
28/02/2023;250,26;60,83
01/03/2023;250,3;60,99
02/03/2023;250,33;61,13
03/03/2023;250,38;61,34
04/03/2023;250,4;61,43
05/03/2023;250,42;61,51
06/03/2023;250,44;61,6
07/03/2023;250,51;61,9
08/03/2023;250,57;62,16
09/03/2023;250,61;62,32
10/03/2023;250,65;62,49
11/03/2023;250,74;62,88
12/03/2023;250,8;63,14
13/03/2023;250,83;63,27
14/03/2023;250,83;63,27
15/03/2023;250,88;63,48
16/03/2023;250,89;63,53
17/03/2023;250,89;63,53
18/03/2023;250,9;63,57
19/03/2023;250,9;63,57
20/03/2023;251,16;64,82
21/03/2023;251,28;65,43
22/03/2023;251,28;65,43
23/03/2023;251,26;65,33
24/03/2023;251,24;65,23
25/03/2023;251,2;65,02
26/03/2023;251,17;64,87
27/03/2023;251,18;64,92
28/03/2023;251,1;64,51
29/03/2023;251,02;64,1
30/03/2023;250,95;63,78
31/03/2023;250,94;63,74
01/04/2023;250,99;63,96
02/04/2023;251,03;64,15
03/04/2023;251,04;64,2
04/04/2023;251,06;64,31
05/04/2023;251,08;64,41
06/04/2023;251,09;64,45
07/04/2023;251,1;64,51
08/04/2023;251,12;64,61
09/04/2023;251,13;64,66
10/04/2023;251,13;64,66
11/04/2023;251,14;64,71
12/04/2023;251,15;64,77
13/04/2023;251,14;64,71
14/04/2023;251,16;64,82
15/04/2023;251,17;64,87
16/04/2023;251,17;64,87
17/04/2023;251,18;64,92
18/04/2023;251,18;64,92
19/04/2023;251,17;64,87
20/04/2023;251,18;64,92
21/04/2023;251,19;64
22/04/2023;251,21;65,07
23/04/2023;251,22;65,13
24/04/2023;251,21;65,07
25/04/2023;251,22;65,13
26/04/2023;251,22;65,13
27/04/2023;251,22;65,13
28/04/2023;251,22;65,13
29/04/2023;251,22;65,13
30/04/2023;251,22;65,13
01/05/2023;251,22;65,13
02/05/2023;251,23;65,18
03/05/2023;251,28;65,43
04/05/2023;251,3;65,54
05/05/2023;251,3;65,54
06/05/2023;251,3;65,54
07/05/2023;251,3;65,54
08/05/2023;251,3;65,54
09/05/2023;251,3;65,54
10/05/2023;251,31;65,59
11/05/2023;251,37;65,9
12/05/2023;251,4;66,05
13/05/2023;251,43;66,21
14/05/2023;251,44;66,26
15/05/2023;251,47;66,41
16/05/2023;251,47;66,41
17/05/2023;251,67;67,44
18/05/2023;251,8;68,11
19/05/2023;251,82;68,22
20/05/2023;251,85;68,37
21/05/2023;251,86;68,37
22/05/2023;251,86;68,37
23/05/2023;251,83;68,26
24/05/2023;251,84;68,32
25/05/2023;251,84;68,32
26/05/2023;251,82;68,21
27/05/2023;251,83;68,26
28/05/2023;251,83;68,26
29/05/2023;251,84;68,32
30/05/2023;251,83;68,27
31/05/2023;251,85;68,37
01/06/2023;251,85;68,37
02/06/2023;251,87;68,47
03/06/2023;251,88;68,52
04/06/2023;251,89;68,58
05/06/2023;251,91;68,68
06/06/2023;251,93;68,78
07/06/2023;251,94;68,83
08/06/2023;251,92;68,73
09/06/2023;251,91;68,67
10/06/2023;251,9;68,62
