"Stazione";"S. Piero a Sieve-Carza"
"Codice";"TOS01004623"
"Comune";"Scarperia e San Piero "
"Provincia";"FI"
"GB [m]";"E";1686352;"N";4869963
"WGS84 [°]";"Lat";43.959;"Lon";11.322
"Quota [m]";

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/01/2002;0,62;P
02/01/2002;0,56;P
03/01/2002;0,53;P
04/01/2002;0,51;P
05/01/2002;0,49;P
06/01/2002;0,48;P
07/01/2002;0,47;P
08/01/2002;0,47;P
09/01/2002;0,46;P
10/01/2002;0,46;P
11/01/2002;0,46;P
12/01/2002;0,46;P
13/01/2002;0,46;P
14/01/2002;0,46;P
15/01/2002;0,45;P
16/01/2002;0,45;P
17/01/2002;0,45;P
18/01/2002;0,45;P
19/01/2002;0,45;P
20/01/2002;0,45;P
21/01/2002;0,46;P
22/01/2002;0,46;P
23/01/2002;0,45;P
24/01/2002;0,49;P
25/01/2002;0,60;P
26/01/2002;0,54;P
27/01/2002;0,52;P
28/01/2002;0,50;P
29/01/2002;0,49;P
30/01/2002;0,48;P
31/01/2002;0,48;P
01/02/2002;0,48;P
02/02/2002;0,47;P
03/02/2002;0,47;P
04/02/2002;0,46;P
05/02/2002;0,47;P
06/02/2002;0,48;P
07/02/2002;0,51;P
08/02/2002;0,49;P
09/02/2002;0,49;P
10/02/2002;0,49;P
11/02/2002;0,48;P
12/02/2002;0,48;P
13/02/2002;0,48;P
14/02/2002;0,47;P
15/02/2002;0,54;P
16/02/2002;0,86;P
17/02/2002;0,68;P
18/02/2002;0,63;P
19/02/2002;0,59;P
20/02/2002;0,57;P
21/02/2002;1,15;P
22/02/2002;0,87;P
23/02/2002;0,71;P
24/02/2002;0,64;P
25/02/2002;0,60;P
26/02/2002;0,59;P
27/02/2002;0,57;P
28/02/2002;0,55;P
01/03/2002;0,54;P
02/03/2002;0,53;P
03/03/2002;0,52;P
04/03/2002;0,51;P
05/03/2002;0,50;P
06/03/2002;0,50;P
07/03/2002;0,50;P
08/03/2002;;@
09/03/2002;;@
10/03/2002;;@
11/03/2002;;@
12/03/2002;;@
13/03/2002;;@
14/03/2002;;@
15/03/2002;;@
16/03/2002;;@
17/03/2002;;@
18/03/2002;;@
19/03/2002;;@
20/03/2002;;@
21/03/2002;;@
22/03/2002;;@
23/03/2002;;@
24/03/2002;;@
25/03/2002;;@
26/03/2002;;@
27/03/2002;;@
28/03/2002;;@
29/03/2002;;@
30/03/2002;;@
31/03/2002;;@
01/04/2002;;@
02/04/2002;;@
03/04/2002;;@
04/04/2002;;@
05/04/2002;;@
06/04/2002;;@
07/04/2002;;@
08/04/2002;;@
09/04/2002;;@
10/04/2002;;@
11/04/2002;;@
12/04/2002;;@
13/04/2002;;@
14/04/2002;;@
15/04/2002;;@
16/04/2002;;@
17/04/2002;;@
18/04/2002;;@
19/04/2002;;@
20/04/2002;;@
21/04/2002;;@
22/04/2002;;@
23/04/2002;;@
24/04/2002;;@
25/04/2002;;@
26/04/2002;;@
27/04/2002;;@
28/04/2002;;@
29/04/2002;;@
30/04/2002;;@
01/05/2002;;@
02/05/2002;;@
03/05/2002;;@
04/05/2002;;@
05/05/2002;;@
06/05/2002;;@
07/05/2002;;@
08/05/2002;;@
09/05/2002;;@
10/05/2002;;@
11/05/2002;;@
12/05/2002;;@
13/05/2002;;@
14/05/2002;0,54;P
15/05/2002;0,53;P
16/05/2002;0,52;P
17/05/2002;0,50;P
18/05/2002;0,49;P
19/05/2002;0,50;P
20/05/2002;0,49;P
21/05/2002;0,48;P
22/05/2002;0,48;P
23/05/2002;0,48;P
24/05/2002;0,52;P
25/05/2002;0,48;P
26/05/2002;0,47;P
27/05/2002;0,47;P
28/05/2002;0,51;P
29/05/2002;0,49;P
30/05/2002;0,48;P
31/05/2002;0,47;P
01/06/2002;0,46;P
02/06/2002;0,46;P
03/06/2002;0,46;P
04/06/2002;0,46;P
05/06/2002;0,46;P
06/06/2002;0,46;P
07/06/2002;0,53;P
08/06/2002;0,49;P
09/06/2002;0,49;P
