"Stazione";"Ponte a Signa"
"Codice";"TOS01004811"
"Comune";"Signa"
"Provincia";"FI"
"GB [m]";"E";1668470;"N";4848812
"WGS84 [°]";"Lat";43.773;"Lon";11.093
"Quota [m]";32,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
02/01/2001;;@
03/01/2001;;@
04/01/2001;;@
05/01/2001;;@
06/01/2001;;@
07/01/2001;;@
08/01/2001;;@
09/01/2001;;@
10/01/2001;;@
11/01/2001;;@
12/01/2001;;@
13/01/2001;;@
14/01/2001;;@
15/01/2001;;@
16/01/2001;;@
17/01/2001;;@
18/01/2001;;@
19/01/2001;;@
20/01/2001;;@
21/01/2001;;@
22/01/2001;;@
23/01/2001;;@
24/01/2001;;@
25/01/2001;;@
26/01/2001;;@
27/01/2001;1,55;P
28/01/2001;1,49;P
29/01/2001;0,88;P
30/01/2001;1,04;P
31/01/2001;0,80;P
01/02/2001;0,66;P
02/02/2001;0,58;P
03/02/2001;0,49;P
04/02/2001;0,38;P
05/02/2001;0,36;P
06/02/2001;0,45;P
07/02/2001;0,50;P
08/02/2001;0,45;P
09/02/2001;0,74;P
10/02/2001;1,03;P
11/02/2001;0,78;P
12/02/2001;0,65;P
13/02/2001;0,82;P
14/02/2001;0,52;P
15/02/2001;0,33;P
16/02/2001;0,35;P
17/02/2001;0,31;P
18/02/2001;0,16;P
19/02/2001;0,15;P
20/02/2001;0,25;P
21/02/2001;0,27;P
22/02/2001;0,24;P
23/02/2001;0,24;P
24/02/2001;;@
25/02/2001;;@
26/02/2001;0,07;P
27/02/2001;0,18;P
28/02/2001;0,23;P
01/03/2001;0,30;P
02/03/2001;0,67;P
03/03/2001;3,29;P
04/03/2001;2,81;P
05/03/2001;1,45;P
06/03/2001;1,14;P
07/03/2001;0,75;P
08/03/2001;0,54;P
09/03/2001;0,89;P
10/03/2001;0,74;P
11/03/2001;0,56;P
12/03/2001;0,41;P
13/03/2001;0,81;P
14/03/2001;1,02;P
15/03/2001;0,76;P
16/03/2001;0,55;P
17/03/2001;0,53;P
18/03/2001;1,11;P
19/03/2001;0,76;P
20/03/2001;0,60;P
21/03/2001;0,53;P
22/03/2001;0,50;P
23/03/2001;0,36;P
24/03/2001;0,29;P
25/03/2001;0,17;P
26/03/2001;0,23;P
27/03/2001;0,29;P
28/03/2001;0,34;P
29/03/2001;0,63;P
30/03/2001;1,63;P
31/03/2001;1,50;P
01/04/2001;0,86;P
02/04/2001;0,66;P
03/04/2001;0,61;P
04/04/2001;0,50;P
05/04/2001;0,47;P
06/04/2001;0,51;P
07/04/2001;0,48;P
08/04/2001;2,10;P
09/04/2001;1,02;P
10/04/2001;0,78;P
11/04/2001;0,64;P
12/04/2001;0,70;P
13/04/2001;0,86;P
14/04/2001;0,74;P
15/04/2001;0,47;P
16/04/2001;0,33;P
17/04/2001;0,55;P
18/04/2001;0,51;P
19/04/2001;0,45;P
20/04/2001;0,41;P
21/04/2001;0,35;P
22/04/2001;0,32;P
23/04/2001;0,23;P
24/04/2001;0,45;P
25/04/2001;0,29;P
26/04/2001;0,28;P
27/04/2001;0,42;P
28/04/2001;0,30;P
29/04/2001;0,10;P
30/04/2001;0,15;P
01/05/2001;0,15;P
02/05/2001;0,06;P
03/05/2001;0,19;P
04/05/2001;0,25;P
05/05/2001;0,33;P
06/05/2001;0,37;P
07/05/2001;1,08;P
08/05/2001;1,04;P
09/05/2001;0,89;P
10/05/2001;0,58;P
11/05/2001;0,41;P
12/05/2001;0,31;P
13/05/2001;0,13;P
14/05/2001;0,14;P
15/05/2001;0,20;P
16/05/2001;0,20;P
17/05/2001;0,18;P
18/05/2001;0,14;P
19/05/2001;0,06;P
20/05/2001;0,02;P
21/05/2001;0,05;P
22/05/2001;0,11;P
23/05/2001;0,04;P
24/05/2001;0,03;P
25/05/2001;0,07;P
26/05/2001;0,07;P
27/05/2001;0,01;P
28/05/2001;-0,02;P
29/05/2001;-0,03;P
30/05/2001;0,01;P
31/05/2001;0,01;P
01/06/2001;-0,01;P
02/06/2001;0,03;P
03/06/2001;-0,01;P
04/06/2001;0,04;P
05/06/2001;-0,02;P
06/06/2001;0,00;@
07/06/2001;-0,01;P
08/06/2001;-0,01;P
09/06/2001;0,00;@
10/06/2001;-0,08;P
11/06/2001;-0,09;P
12/06/2001;-0,03;P
13/06/2001;-0,04;P
14/06/2001;-0,05;P
15/06/2001;-0,04;P
16/06/2001;-0,06;P
17/06/2001;-0,08;P
18/06/2001;-0,11;P
19/06/2001;-0,12;P
20/06/2001;-0,08;P
21/06/2001;-0,08;P
22/06/2001;-0,08;P
23/06/2001;-0,09;P
24/06/2001;-0,11;P
25/06/2001;-0,12;P
26/06/2001;-0,12;P
27/06/2001;-0,15;P
28/06/2001;-0,14;P
29/06/2001;-0,03;P
30/06/2001;-0,12;P
01/07/2001;-0,13;P
02/07/2001;-0,05;P
03/07/2001;-0,09;P
04/07/2001;-0,12;P
05/07/2001;-0,13;P
06/07/2001;-0,12;P
07/07/2001;-0,11;P
08/07/2001;-0,13;P
09/07/2001;-0,13;P
10/07/2001;-0,13;P
11/07/2001;-0,12;P
12/07/2001;-0,14;P
13/07/2001;-0,14;P
14/07/2001;-0,15;P
15/07/2001;-0,14;P
16/07/2001;-0,13;P
17/07/2001;-0,15;P
18/07/2001;-0,14;P
19/07/2001;-0,14;P
20/07/2001;-0,01;P
21/07/2001;-0,07;P
22/07/2001;-0,11;P
23/07/2001;-0,13;P
24/07/2001;-0,14;P
25/07/2001;-0,12;P
26/07/2001;-0,09;P
27/07/2001;-0,10;P
28/07/2001;-0,12;P
29/07/2001;-0,14;P
30/07/2001;-0,14;P
31/07/2001;-0,14;P
01/08/2001;-0,14;P
02/08/2001;-0,14;P
03/08/2001;-0,14;P
04/08/2001;-0,14;P
05/08/2001;-0,15;P
06/08/2001;-0,15;P
07/08/2001;-0,13;P
08/08/2001;-0,13;P
09/08/2001;-0,14;P
10/08/2001;-0,14;P
11/08/2001;-0,14;P
12/08/2001;-0,15;P
13/08/2001;-0,15;P
14/08/2001;-0,14;P
15/08/2001;-0,14;P
16/08/2001;-0,14;P
17/08/2001;-0,15;P
18/08/2001;-0,14;P
19/08/2001;-0,14;P
20/08/2001;-0,14;P
21/08/2001;-0,11;P
22/08/2001;-0,10;P
23/08/2001;;@
24/08/2001;;@
25/08/2001;;@
26/08/2001;;@
27/08/2001;;@
28/08/2001;;@
29/08/2001;;@
30/08/2001;;@
31/08/2001;-0,09;P
01/09/2001;-0,10;P
02/09/2001;-0,11;P
03/09/2001;-0,12;P
04/09/2001;-0,10;P
05/09/2001;0,03;P
06/09/2001;-0,10;P
07/09/2001;-0,12;P
08/09/2001;-0,12;P
09/09/2001;-0,11;P
10/09/2001;-0,11;P
11/09/2001;-0,12;P
12/09/2001;-0,11;P
13/09/2001;-0,11;P
14/09/2001;-0,11;P
15/09/2001;-0,10;P
16/09/2001;-0,10;P
17/09/2001;-0,11;P
18/09/2001;-0,05;P
19/09/2001;-0,11;P
20/09/2001;-0,10;P
21/09/2001;-0,10;P
22/09/2001;-0,07;P
23/09/2001;-0,08;P
24/09/2001;;@
25/09/2001;0,69;P
26/09/2001;0,13;P
27/09/2001;0,05;P
28/09/2001;0,04;P
29/09/2001;-0,05;P
30/09/2001;0,06;P
01/10/2001;0,09;P
02/10/2001;0,04;P
03/10/2001;-0,03;P
04/10/2001;-0,05;P
05/10/2001;0,12;P
06/10/2001;0,00;@
07/10/2001;-0,05;P
08/10/2001;-0,11;P
