"Stazione";"Montespertoli"
"Codice";"TOS01004915"
"Comune";"Montespertoli"
"Provincia";"FI"
"GB [m]";"E";1668768;"N";4835144
"WGS84 [°]";"Lat";43.650;"Lon";11.092
"Quota [m]";117,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/01/2010;0,17;V
02/01/2010;0,08;V
03/01/2010;0,05;V
04/01/2010;0,05;V
05/01/2010;0,16;V
06/01/2010;0,21;V
07/01/2010;0,18;V
08/01/2010;0,12;V
09/01/2010;0,11;V
10/01/2010;0,10;V
11/01/2010;0,08;V
12/01/2010;0,07;V
13/01/2010;0,06;V
14/01/2010;0,05;V
15/01/2010;0,05;V
16/01/2010;0,04;V
17/01/2010;0,04;V
18/01/2010;0,04;V
19/01/2010;0,03;V
20/01/2010;0,04;V
21/01/2010;0,04;V
22/01/2010;0,03;V
23/01/2010;0,03;V
24/01/2010;0,03;V
25/01/2010;0,04;V
26/01/2010;0,04;V
27/01/2010;0,04;V
28/01/2010;0,03;V
29/01/2010;0,04;V
30/01/2010;0,10;V
31/01/2010;0,07;V
01/02/2010;0,06;V
02/02/2010;0,05;V
03/02/2010;0,05;V
04/02/2010;0,05;V
05/02/2010;0,06;V
06/02/2010;0,11;V
07/02/2010;0,10;V
08/02/2010;0,08;V
09/02/2010;0,07;V
10/02/2010;0,07;V
11/02/2010;0,07;V
12/02/2010;0,07;V
13/02/2010;0,06;V
14/02/2010;0,06;V
15/02/2010;0,05;V
16/02/2010;0,06;V
17/02/2010;0,05;V
18/02/2010;0,08;V
19/02/2010;0,10;V
20/02/2010;0,10;V
21/02/2010;0,09;V
22/02/2010;0,08;V
23/02/2010;0,15;V
24/02/2010;0,12;V
25/02/2010;0,10;V
26/02/2010;0,10;V
27/02/2010;0,08;V
28/02/2010;0,09;V
01/03/2010;0,08;V
02/03/2010;0,08;V
03/03/2010;0,08;V
04/03/2010;0,17;V
05/03/2010;0,13;V
06/03/2010;0,11;V
07/03/2010;0,10;V
08/03/2010;0,09;V
09/03/2010;0,09;V
10/03/2010;0,10;V
11/03/2010;0,11;V
12/03/2010;0,11;V
13/03/2010;0,10;V
14/03/2010;0,09;V
15/03/2010;0,09;V
16/03/2010;0,09;V
17/03/2010;0,08;V
18/03/2010;0,08;V
19/03/2010;0,08;V
20/03/2010;0,08;V
21/03/2010;0,08;V
22/03/2010;0,08;V
23/03/2010;0,08;V
24/03/2010;0,08;V
25/03/2010;0,08;V
26/03/2010;0,08;V
27/03/2010;0,07;V
28/03/2010;0,08;V
29/03/2010;0,07;V
30/03/2010;0,08;V
31/03/2010;0,07;V
01/04/2010;0,07;V
02/04/2010;0,06;V
03/04/2010;0,06;V
04/04/2010;0,10;V
05/04/2010;0,28;V
06/04/2010;0,14;V
07/04/2010;0,11;V
08/04/2010;0,10;V
09/04/2010;0,10;V
10/04/2010;0,08;V
11/04/2010;0,10;V
12/04/2010;0,09;V
13/04/2010;0,08;V
14/04/2010;0,08;V
15/04/2010;0,07;V
16/04/2010;0,07;V
17/04/2010;0,09;V
18/04/2010;0,08;V
19/04/2010;0,08;V
20/04/2010;0,08;V
21/04/2010;0,07;V
22/04/2010;0,07;V
