"Stazione";"Empoli"
"Codice";"TOS01004941"
"Comune";"Empoli"
"Provincia";"FI"
"GB [m]";"E";1656789;"N";4843079
"WGS84 [°]";"Lat";43.724;"Lon";10.946
"Quota [m]";25,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/01/2001;-4,40;P
02/01/2001;-4,81;P
03/01/2001;-3,98;P
04/01/2001;-3,73;P
05/01/2001;-3,11;P
06/01/2001;-3,79;P
07/01/2001;-4,17;P
08/01/2001;-3,46;P
09/01/2001;-3,89;P
10/01/2001;-4,52;P
11/01/2001;-4,70;P
12/01/2001;-4,86;P
13/01/2001;-4,75;P
14/01/2001;-5,06;P
15/01/2001;-5,25;P
16/01/2001;-5,07;P
17/01/2001;-5,10;P
18/01/2001;-4,74;P
19/01/2001;-4,88;P
20/01/2001;-5,03;P
21/01/2001;-5,32;P
22/01/2001;-5,34;P
23/01/2001;-5,20;P
24/01/2001;-5,24;P
25/01/2001;-4,98;P
26/01/2001;-2,05;P
27/01/2001;-3,58;P
28/01/2001;-3,63;P
29/01/2001;-4,35;P
30/01/2001;-4,19;P
31/01/2001;-4,52;P
01/02/2001;-4,76;P
02/02/2001;-4,86;P
03/02/2001;-5,03;P
04/02/2001;-5,15;P
05/02/2001;-5,25;P
06/02/2001;-5,09;P
07/02/2001;-5,02;P
08/02/2001;-5,10;P
09/02/2001;-4,58;P
10/02/2001;-4,19;P
11/02/2001;-4,57;P
12/02/2001;-4,79;P
13/02/2001;-4,60;P
14/02/2001;-4,96;P
15/02/2001;-5,27;P
16/02/2001;-5,28;P
17/02/2001;-5,31;P
18/02/2001;-5,55;P
19/02/2001;-5,63;P
20/02/2001;-5,48;P
21/02/2001;-5,41;P
22/02/2001;-5,45;P
23/02/2001;-5,48;P
24/02/2001;-5,33;P
25/02/2001;-5,60;P
26/02/2001;-5,75;P
27/02/2001;-5,58;P
28/02/2001;-5,49;P
01/03/2001;-5,37;P
02/03/2001;-4,86;P
03/03/2001;-1,93;P
04/03/2001;-2,21;P
05/03/2001;-3,79;P
06/03/2001;-4,11;P
07/03/2001;-4,61;P
08/03/2001;-4,91;P
09/03/2001;-4,22;P
10/03/2001;-4,50;P
11/03/2001;-4,71;P
12/03/2001;-5,06;P
13/03/2001;-4,56;P
14/03/2001;-4,19;P
15/03/2001;-4,57;P
16/03/2001;-4,85;P
17/03/2001;-4,90;P
18/03/2001;-4,08;P
19/03/2001;-4,56;P
20/03/2001;-4,78;P
21/03/2001;-4,94;P
22/03/2001;-4,99;P
23/03/2001;-5,19;P
24/03/2001;-5,29;P
25/03/2001;-5,52;P
26/03/2001;-5,50;P
27/03/2001;-5,37;P
28/03/2001;-5,32;P
29/03/2001;-4,77;P
30/03/2001;-3,55;P
31/03/2001;-3,68;P
01/04/2001;-4,43;P
02/04/2001;-4,76;P
03/04/2001;-4,87;P
04/04/2001;-5,00;P
05/04/2001;-5,02;P
06/04/2001;-4,94;P
07/04/2001;-4,99;P
08/04/2001;-3,24;P
09/04/2001;-4,20;P
10/04/2001;-4,57;P
11/04/2001;-4,81;P
12/04/2001;-4,74;P
13/04/2001;-4,51;P
14/04/2001;-4,69;P
