"Stazione";"Firenzuola Coniale"
"Codice";"TOS03004373"
"Comune";"Firenzuola"
"Provincia";"FI"
"GB [m]";"E";1696297;"N";4891714
"WGS84 [°]";"Lat";44.152;"Lon";11.454
"Quota [m]";279,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/01/2015;0,50;V
02/01/2015;0,51;V
03/01/2015;0,62;V
04/01/2015;0,76;V
05/01/2015;0,64;V
06/01/2015;0,59;V
07/01/2015;0,57;V
08/01/2015;0,55;V
09/01/2015;0,55;V
10/01/2015;0,54;V
11/01/2015;0,54;V
12/01/2015;0,52;V
13/01/2015;0,52;V
14/01/2015;0,52;V
15/01/2015;0,51;V
16/01/2015;0,50;V
17/01/2015;0,57;V
18/01/2015;0,57;V
19/01/2015;0,54;V
20/01/2015;0,52;V
21/01/2015;0,52;V
22/01/2015;0,64;V
23/01/2015;0,70;V
24/01/2015;0,64;V
25/01/2015;0,60;V
26/01/2015;0,57;V
27/01/2015;0,55;V
28/01/2015;0,54;V
29/01/2015;0,53;V
30/01/2015;1,47;V
31/01/2015;0,86;V
01/02/2015;0,74;V
02/02/2015;0,67;V
03/02/2015;0,64;V
04/02/2015;0,73;V
05/02/2015;1,13;V
06/02/2015;0,88;V
07/02/2015;0,81;V
08/02/2015;0,75;V
09/02/2015;0,73;V
10/02/2015;0,72;V
11/02/2015;0,78;V
12/02/2015;0,82;V
13/02/2015;0,82;V
14/02/2015;0,90;V
15/02/2015;1,12;V
16/02/2015;1,22;V
17/02/2015;1,21;V
18/02/2015;0,92;V
19/02/2015;0,83;V
20/02/2015;0,78;V
21/02/2015;0,75;V
22/02/2015;1,12;V
23/02/2015;0,91;V
24/02/2015;0,90;V
25/02/2015;1,36;V
26/02/2015;0,93;V
27/02/2015;0,85;V
28/02/2015;0,79;V
01/03/2015;0,75;V
02/03/2015;0,87;V
03/03/2015;0,84;V
04/03/2015;0,82;V
05/03/2015;1,23;V
06/03/2015;0,89;V
07/03/2015;0,83;V
08/03/2015;0,78;V
09/03/2015;0,73;V
10/03/2015;0,69;V
11/03/2015;0,67;V
12/03/2015;0,65;V
13/03/2015;0,63;V
14/03/2015;0,61;V
15/03/2015;0,61;V
16/03/2015;0,67;V
17/03/2015;1,10;V
18/03/2015;0,82;V
19/03/2015;0,74;V
20/03/2015;0,69;V
21/03/2015;0,66;V
22/03/2015;0,64;V
23/03/2015;0,62;V
24/03/2015;0,61;V
25/03/2015;0,89;V
26/03/2015;1,60;V
27/03/2015;1,03;V
28/03/2015;0,85;V
29/03/2015;0,77;V
30/03/2015;0,71;V
31/03/2015;0,68;V
01/04/2015;0,64;V
02/04/2015;0,61;V
03/04/2015;0,59;V
04/04/2015;0,70;V
05/04/2015;1,16;V
06/04/2015;0,82;V
07/04/2015;0,72;V
08/04/2015;0,67;V
09/04/2015;0,63;V
10/04/2015;0,60;V
11/04/2015;0,59;V
12/04/2015;0,57;V
13/04/2015;0,55;V
14/04/2015;0,54;V
15/04/2015;0,52;V
16/04/2015;0,51;V
17/04/2015;0,51;V
18/04/2015;0,51;V
19/04/2015;0,53;V
20/04/2015;0,50;V
21/04/2015;0,48;V
