"Stazione";"Ponte a Niccheri"
"Codice";"TOS03004729"
"Comune";"Bagno a Ripoli"
"Provincia";"FI"
"GB [m]";"E";1684895;"N";4844973
"WGS84 [°]";"Lat";43.735;"Lon";11.296
"Quota [m]";0,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
18/04/2021;0,36;P
19/04/2021;0,35;P
20/04/2021;0,35;P
21/04/2021;0,35;P
22/04/2021;0,35;P
23/04/2021;0,33;P
24/04/2021;0,29;P
25/04/2021;0,29;P
26/04/2021;0,29;P
27/04/2021;0,31;P
28/04/2021;0,32;P
29/04/2021;0,36;P
30/04/2021;0,35;P
01/05/2021;0,40;P
02/05/2021;0,62;P
03/05/2021;0,40;P
04/05/2021;0,36;P
05/05/2021;0,35;P
06/05/2021;0,33;P
07/05/2021;0,32;P
08/05/2021;0,32;P
09/05/2021;0,31;P
10/05/2021;0,31;P
11/05/2021;0,33;P
12/05/2021;0,33;P
13/05/2021;0,31;P
14/05/2021;0,31;P
15/05/2021;0,30;P
16/05/2021;0,30;P
17/05/2021;0,30;P
18/05/2021;0,29;P
19/05/2021;0,32;P
20/05/2021;0,30;P
21/05/2021;0,29;P
22/05/2021;0,29;P
23/05/2021;0,28;P
24/05/2021;0,30;P
25/05/2021;0,29;P
26/05/2021;0,28;P
27/05/2021;0,28;P
28/05/2021;0,28;P
29/05/2021;0,27;P
30/05/2021;0,27;P
31/05/2021;0,27;P
01/06/2021;0,27;P
02/06/2021;0,27;P
03/06/2021;0,27;P
04/06/2021;0,27;P
05/06/2021;0,28;P
06/06/2021;0,28;P
07/06/2021;0,27;P
08/06/2021;0,27;P
09/06/2021;0,27;P
10/06/2021;0,32;P
11/06/2021;0,30;P
12/06/2021;0,27;P
13/06/2021;0,27;P
14/06/2021;0,27;P
15/06/2021;0,27;P
16/06/2021;0,28;P
17/06/2021;0,27;P
18/06/2021;0,27;P
19/06/2021;0,27;P
20/06/2021;0,28;P
21/06/2021;0,28;P
22/06/2021;0,28;P
23/06/2021;0,28;P
24/06/2021;0,28;P
25/06/2021;0,28;P
26/06/2021;0,28;P
27/06/2021;0,28;P
28/06/2021;0,28;P
29/06/2021;0,27;P
30/06/2021;0,27;P
01/07/2021;0,27;P
02/07/2021;0,26;P
03/07/2021;0,26;P
04/07/2021;0,26;P
05/07/2021;0,26;P
06/07/2021;0,26;P
07/07/2021;0,26;P
08/07/2021;0,26;P
09/07/2021;0,26;P
10/07/2021;0,26;P
11/07/2021;0,26;P
12/07/2021;0,26;P
13/07/2021;0,26;P
14/07/2021;0,27;P
15/07/2021;0,25;P
16/07/2021;0,26;P
17/07/2021;0,25;P
18/07/2021;0,25;P
19/07/2021;0,25;P
20/07/2021;0,25;P
21/07/2021;0,25;P
22/07/2021;0,25;P
23/07/2021;0,25;P
24/07/2021;0,25;P
25/07/2021;0,25;P
26/07/2021;0,25;P
27/07/2021;0,25;P
28/07/2021;0,25;P
29/07/2021;0,24;P
30/07/2021;0,25;P
31/07/2021;0,24;P
01/08/2021;0,26;P
02/08/2021;0,25;P
03/08/2021;0,24;P
04/08/2021;0,24;P
05/08/2021;0,25;P
06/08/2021;0,25;P
