"Stazione";"Sambuca"
"Codice";"TOS03004911"
"Comune";"Barberino Tavarnelle"
"Provincia";"FI"
"GB [m]";"E";1678892;"N";4826626
"WGS84 [°]";"Lat";43.571;"Lon";11.215
"Quota [m]";0,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
21/06/2023;;@
22/06/2023;;@
23/06/2023;;@
24/06/2023;;@
25/06/2023;;@
26/06/2023;0,87;P
27/06/2023;0,86;P
28/06/2023;0,85;P
29/06/2023;0,85;P
30/06/2023;0,87;P
01/07/2023;0,90;P
02/07/2023;0,92;P
03/07/2023;0,86;P
04/07/2023;0,88;P
05/07/2023;0,90;P
06/07/2023;0,89;P
07/07/2023;0,88;P
08/07/2023;0,87;P
09/07/2023;0,86;P
10/07/2023;0,86;P
11/07/2023;0,85;P
12/07/2023;0,84;P
13/07/2023;0,84;P
14/07/2023;0,84;P
15/07/2023;0,83;P
16/07/2023;0,83;P
17/07/2023;0,82;P
18/07/2023;0,82;P
19/07/2023;0,82;P
20/07/2023;0,81;P
21/07/2023;0,81;P
22/07/2023;0,81;P
23/07/2023;0,80;P
24/07/2023;0,80;P
25/07/2023;0,80;P
26/07/2023;0,80;P
27/07/2023;0,79;P
28/07/2023;0,79;P
29/07/2023;0,79;P
30/07/2023;0,79;P
31/07/2023;0,79;P
01/08/2023;0,78;P
02/08/2023;0,78;P
03/08/2023;0,78;P
04/08/2023;0,80;P
05/08/2023;0,80;P
06/08/2023;0,80;P
07/08/2023;0,79;P
08/08/2023;0,78;P
09/08/2023;0,77;P
10/08/2023;0,77;P
11/08/2023;0,76;P
12/08/2023;0,76;P
13/08/2023;0,76;P
14/08/2023;0,76;P
15/08/2023;0,76;P
16/08/2023;0,75;P
17/08/2023;0,75;P
18/08/2023;0,75;P
19/08/2023;0,74;P
20/08/2023;0,74;P
21/08/2023;0,74;P
22/08/2023;;@
26/08/2023;0,72;P
27/08/2023;0,73;P
28/08/2023;0,74;P
29/08/2023;0,75;P
30/08/2023;0,75;P
31/08/2023;0,74;P
01/09/2023;0,74;P
02/09/2023;0,74;P
03/09/2023;0,74;P
04/09/2023;0,73;P
05/09/2023;0,73;P
06/09/2023;0,74;P
07/09/2023;0,75;P
08/09/2023;0,74;P
09/09/2023;0,74;P
10/09/2023;0,74;P
11/09/2023;0,74;P
12/09/2023;0,73;P
13/09/2023;0,73;P
14/09/2023;0,74;P
15/09/2023;0,74;P
16/09/2023;0,74;P
17/09/2023;0,74;P
18/09/2023;0,74;P
19/09/2023;0,74;P
20/09/2023;0,74;P
21/09/2023;0,74;P
22/09/2023;0,74;P
23/09/2023;0,76;P
24/09/2023;0,74;P
25/09/2023;0,74;P
26/09/2023;0,74;P
27/09/2023;0,74;P
28/09/2023;0,74;P
29/09/2023;0,74;P
30/09/2023;0,74;P
01/10/2023;0,74;P
02/10/2023;0,74;P
03/10/2023;0,74;P
04/10/2023;0,74;P
05/10/2023;0,74;P
06/10/2023;0,74;P
07/10/2023;0,74;P
08/10/2023;0,74;P
09/10/2023;0,75;P
10/10/2023;0,74;P
11/10/2023;0,73;P
12/10/2023;0,73;P
13/10/2023;0,74;P
14/10/2023;0,74;P
15/10/2023;0,74;P
16/10/2023;0,74;P
17/10/2023;0,75;P
18/10/2023;0,75;P
19/10/2023;0,76;P
20/10/2023;0,76;P
21/10/2023;0,77;P
22/10/2023;0,76;P
23/10/2023;0,75;P
24/10/2023;0,84;P
25/10/2023;0,86;P
26/10/2023;0,79;P
27/10/2023;0,77;P
28/10/2023;0,77;P
29/10/2023;0,76;P
30/10/2023;0,76;P
31/10/2023;1,08;P
01/11/2023;0,89;P
02/11/2023;0,86;P
03/11/2023;1,28;P
04/11/2023;0,99;P
05/11/2023;1,30;P
06/11/2023;1,03;P
07/11/2023;0,95;P
08/11/2023;0,91;P
09/11/2023;0,89;P
10/11/2023;0,98;P
11/11/2023;0,99;P
12/11/2023;0,97;P
13/11/2023;0,96;P
14/11/2023;0,94;P
15/11/2023;0,92;P
16/11/2023;0,90;P
17/11/2023;0,90;P
18/11/2023;0,88;P
19/11/2023;0,87;P
20/11/2023;0,87;P
21/11/2023;0,86;P
22/11/2023;0,91;P
23/11/2023;0,90;P
24/11/2023;0,89;P
25/11/2023;0,88;P
26/11/2023;0,87;P
27/11/2023;0,86;P
28/11/2023;0,87;P
29/11/2023;0,86;P
30/11/2023;0,86;P
01/12/2023;0,85;P
02/12/2023;0,98;P
03/12/2023;0,98;P
04/12/2023;0,94;P
05/12/2023;1,06;P
06/12/2023;1,05;P
07/12/2023;1,00;P
08/12/2023;0,97;P
09/12/2023;0,95;P
10/12/2023;0,95;P
11/12/2023;0,94;P
12/12/2023;0,94;P
13/12/2023;0,94;P
14/12/2023;0,93;P
15/12/2023;0,92;P
16/12/2023;0,91;P
17/12/2023;0,91;P
18/12/2023;0,90;P
19/12/2023;0,90;P
20/12/2023;0,89;P
21/12/2023;0,89;P
22/12/2023;0,88;P
23/12/2023;0,88;P
24/12/2023;0,87;P
25/12/2023;0,87;P
26/12/2023;0,86;P
27/12/2023;0,86;P
28/12/2023;0,86;P
29/12/2023;0,85;P
30/12/2023;0,85;P
31/12/2023;0,86;P
01/01/2024;0,85;V
02/01/2024;0,85;V
03/01/2024;0,85;V
04/01/2024;0,84;V
05/01/2024;0,85;V
06/01/2024;1,36;V
07/01/2024;1,36;V
08/01/2024;1,27;V
09/01/2024;1,14;V
10/01/2024;1,08;V
11/01/2024;1,04;V
12/01/2024;1,01;V
13/01/2024;0,99;V
14/01/2024;0,97;V
15/01/2024;0,96;V
16/01/2024;0,95;V
17/01/2024;0,97;V
18/01/2024;0,99;V
19/01/2024;0,98;V
20/01/2024;0,96;V
21/01/2024;0,95;V
22/01/2024;0,94;V
23/01/2024;0,94;V
24/01/2024;0,93;V
25/01/2024;0,93;V
26/01/2024;0,92;V
27/01/2024;0,91;V
28/01/2024;0,91;V
29/01/2024;0,90;V
30/01/2024;0,90;V
31/01/2024;0,90;V
01/02/2024;0,89;V
02/02/2024;0,89;V
03/02/2024;0,89;V
04/02/2024;0,88;V
05/02/2024;0,88;V
06/02/2024;0,88;V
07/02/2024;0,88;V
08/02/2024;0,88;V
09/02/2024;0,88;V
10/02/2024;0,90;V
11/02/2024;1,50;V
12/02/2024;1,27;V
13/02/2024;1,14;V
14/02/2024;1,09;V
15/02/2024;1,05;V
16/02/2024;1,02;V
17/02/2024;1,00;V
18/02/2024;0,98;V
19/02/2024;0,97;V
20/02/2024;0,96;V
21/02/2024;0,95;V
22/02/2024;0,95;V
23/02/2024;1,02;V
24/02/2024;1,12;V
25/02/2024;1,07;V
26/02/2024;1,07;V
27/02/2024;1,61;V
28/02/2024;1,52;V
29/02/2024;1,33;V
01/03/2024;1,30;V
02/03/2024;1,49;V
03/03/2024;1,38;V
04/03/2024;1,42;V
05/03/2024;1,31;V
06/03/2024;1,24;V
07/03/2024;1,19;V
08/03/2024;1,16;V
09/03/2024;1,16;V
10/03/2024;1,32;V
11/03/2024;1,37;V
12/03/2024;1,49;V
13/03/2024;1,34;V
14/03/2024;1,27;V
15/03/2024;1,21;V
16/03/2024;1,20;V
17/03/2024;1,17;V
18/03/2024;1,14;V
19/03/2024;1,12;V
20/03/2024;1,10;V
21/03/2024;1,08;V
22/03/2024;1,07;V
23/03/2024;1,06;V
24/03/2024;1,05;V
25/03/2024;1,03;V
26/03/2024;1,12;V
27/03/2024;1,49;V
28/03/2024;1,43;V
29/03/2024;1,33;V
30/03/2024;1,26;V
31/03/2024;1,20;V
01/04/2024;1,22;V
02/04/2024;1,22;V
03/04/2024;1,17;V
04/04/2024;1,14;V
05/04/2024;1,12;V
06/04/2024;1,10;V
07/04/2024;1,08;V
08/04/2024;1,07;V
09/04/2024;1,05;V
10/04/2024;1,05;V
11/04/2024;1,03;V
12/04/2024;1,02;V
13/04/2024;1,01;V
14/04/2024;1,00;V
15/04/2024;0,99;V
16/04/2024;0,98;V
17/04/2024;0,98;V
18/04/2024;0,97;V
19/04/2024;0,97;V
20/04/2024;0,97;V
21/04/2024;0,97;V
22/04/2024;0,98;V
23/04/2024;1,07;V
24/04/2024;1,04;V
25/04/2024;1,05;V
26/04/2024;1,02;V
27/04/2024;1,02;V
28/04/2024;1,01;V
29/04/2024;0,99;V
30/04/2024;0,97;V
01/05/2024;0,98;V
02/05/2024;1,08;V
03/05/2024;1,21;V
04/05/2024;1,13;V
05/05/2024;1,08;V
06/05/2024;1,05;V
07/05/2024;1,05;V
08/05/2024;1,05;V
09/05/2024;1,02;V
10/05/2024;1,00;V
11/05/2024;0,99;V
12/05/2024;0,97;V
13/05/2024;0,96;V
14/05/2024;0,95;V
15/05/2024;0,95;V
16/05/2024;0,94;V
17/05/2024;0,93;V
18/05/2024;0,93;V
19/05/2024;0,92;V
20/05/2024;0,93;V
21/05/2024;1,23;V
22/05/2024;1,05;V
23/05/2024;0,99;V
24/05/2024;0,96;V
25/05/2024;0,97;V
26/05/2024;0,95;V
27/05/2024;0,93;V
28/05/2024;0,92;V
29/05/2024;0,91;V
30/05/2024;0,92;V
31/05/2024;0,91;V
01/06/2024;0,89;V
02/06/2024;0,89;V
03/06/2024;0,90;V
04/06/2024;0,88;V
05/06/2024;0,87;V
06/06/2024;0,86;V
07/06/2024;0,86;V
08/06/2024;0,85;V
09/06/2024;0,85;V
10/06/2024;0,87;V
11/06/2024;0,89;V
12/06/2024;0,85;V
13/06/2024;0,85;V
14/06/2024;0,84;V
15/06/2024;0,83;V
16/06/2024;0,83;V
17/06/2024;0,82;V
18/06/2024;0,81;V
19/06/2024;0,81;V
20/06/2024;0,81;V
21/06/2024;0,81;V
22/06/2024;0,81;V
23/06/2024;0,81;V
24/06/2024;0,83;V
25/06/2024;0,84;V
26/06/2024;0,83;V
27/06/2024;0,81;V
28/06/2024;0,81;V
29/06/2024;0,80;V
30/06/2024;0,80;V
01/07/2024;0,79;V
02/07/2024;0,79;V
03/07/2024;0,78;V
04/07/2024;0,78;V
05/07/2024;0,78;V
06/07/2024;0,77;V
07/07/2024;0,77;V
08/07/2024;0,76;V
09/07/2024;0,76;V
10/07/2024;0,75;V
11/07/2024;0,75;V
12/07/2024;0,74;V
13/07/2024;0,73;V
14/07/2024;0,73;V
15/07/2024;0,73;V
16/07/2024;0,72;V
17/07/2024;0,72;V
18/07/2024;0,72;V
19/07/2024;0,72;V
20/07/2024;0,72;V
21/07/2024;0,73;V
22/07/2024;0,74;V
23/07/2024;0,73;V
24/07/2024;0,72;V
25/07/2024;0,72;V
26/07/2024;0,72;V
27/07/2024;0,72;V
28/07/2024;0,72;V
29/07/2024;0,71;V
30/07/2024;0,71;V
31/07/2024;0,72;V
01/08/2024;0,72;V
02/08/2024;0,71;V
03/08/2024;0,72;V
04/08/2024;0,72;V
05/08/2024;0,71;V
06/08/2024;0,72;V
07/08/2024;0,72;V
