"Stazione";"Marradi"
"Codice";"TOS30250000"
"Comune";"Marradi"
"Provincia";"FI"
"GB [m]";"E";1708967;"N";4883450
"WGS84 [°]";"Lat";44.074;"Lon";11.609
"Quota [m]";323,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/01/2010;0,79;V
02/01/2010;0,57;V
03/01/2010;0,43;V
04/01/2010;0,37;V
05/01/2010;0,34;V
06/01/2010;0,34;V
07/01/2010;0,54;V
08/01/2010;0,61;V
09/01/2010;0,70;V
10/01/2010;0,59;V
11/01/2010;0,46;V
12/01/2010;0,39;V
13/01/2010;0,35;V
14/01/2010;0,32;V
15/01/2010;0,30;V
16/01/2010;0,27;V
17/01/2010;0,26;V
18/01/2010;0,24;V
19/01/2010;0,22;V
20/01/2010;0,21;V
21/01/2010;0,21;V
22/01/2010;0,20;V
23/01/2010;0,19;V
24/01/2010;0,19;V
25/01/2010;0,18;V
26/01/2010;0,18;V
27/01/2010;0,17;V
28/01/2010;0,16;V
29/01/2010;0,16;V
30/01/2010;0,20;V
31/01/2010;0,19;V
01/02/2010;0,16;V
02/02/2010;0,16;V
03/02/2010;0,19;V
04/02/2010;0,22;V
05/02/2010;0,29;V
06/02/2010;0,49;V
07/02/2010;0,42;V
08/02/2010;0,34;V
09/02/2010;0,30;V
10/02/2010;0,28;V
11/02/2010;0,25;V
12/02/2010;0,24;V
13/02/2010;0,23;V
14/02/2010;0,24;V
15/02/2010;0,23;V
16/02/2010;0,24;V
17/02/2010;0,26;V
18/02/2010;0,63;V
19/02/2010;0,85;V
20/02/2010;0,79;V
21/02/2010;0,51;V
22/02/2010;0,44;V
23/02/2010;0,70;V
24/02/2010;0,57;V
25/02/2010;0,48;V
26/02/2010;0,63;V
27/02/2010;0,53;V
28/02/2010;0,44;V
01/03/2010;0,39;V
02/03/2010;0,35;V
03/03/2010;0,33;V
04/03/2010;0,68;V
05/03/2010;0,51;V
06/03/2010;0,41;V
07/03/2010;0,38;V
08/03/2010;0,34;V
09/03/2010;0,33;V
10/03/2010;0,32;V
11/03/2010;0,28;V
12/03/2010;0,28;V
13/03/2010;0,26;V
14/03/2010;0,31;V
15/03/2010;0,39;V
16/03/2010;0,40;V
17/03/2010;0,41;V
18/03/2010;0,47;V
19/03/2010;0,49;V
20/03/2010;0,48;V
21/03/2010;0,46;V
22/03/2010;0,44;V
23/03/2010;0,38;V
24/03/2010;0,34;V
25/03/2010;0,31;V
26/03/2010;0,29;V
27/03/2010;0,26;V
28/03/2010;0,25;V
29/03/2010;0,24;V
30/03/2010;0,24;V
31/03/2010;0,24;V
01/04/2010;0,24;V
02/04/2010;0,24;V
03/04/2010;0,25;V
04/04/2010;0,28;V
05/04/2010;0,68;V
06/04/2010;0,44;V
07/04/2010;0,36;V
08/04/2010;0,32;V
09/04/2010;0,28;V
10/04/2010;0,27;V
11/04/2010;0,26;V
12/04/2010;0,25;V
13/04/2010;0,24;V
14/04/2010;0,22;V
15/04/2010;0,21;V
16/04/2010;0,22;V
17/04/2010;0,27;V
18/04/2010;0,23;V
19/04/2010;0,22;V
20/04/2010;0,22;V
21/04/2010;0,20;V
22/04/2010;0,20;V
