"Stazione";"Cavallina"
"Codice";"TOS01000911"
"Comune";"Barberino di Mugello"
"Provincia";"FI"
"GB [m]";"E";1679464;"N";4872497
"WGS84 [°]";"Lat";43.984;"Lon";11.237
"Quota [m]";256,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
02/01/1991;;@
03/01/1991;;@
04/01/1991;;@
05/01/1991;;@
06/01/1991;;@
07/01/1991;;@
08/01/1991;;@
09/01/1991;;@
10/01/1991;;@
11/01/1991;;@
12/01/1991;;@
13/01/1991;;@
14/01/1991;;@
15/01/1991;;@
16/01/1991;;@
17/01/1991;;@
18/01/1991;;@
19/01/1991;;@
20/01/1991;;@
21/01/1991;;@
22/01/1991;;@
23/01/1991;;@
24/01/1991;;@
25/01/1991;;@
26/01/1991;;@
27/01/1991;;@
28/01/1991;;@
29/01/1991;;@
30/01/1991;;@
31/01/1991;;@
01/02/1991;;@
02/02/1991;;@
03/02/1991;;@
04/02/1991;;@
05/02/1991;;@
06/02/1991;;@
07/02/1991;;@
08/02/1991;;@
09/02/1991;;@
10/02/1991;;@
11/02/1991;;@
12/02/1991;;@
13/02/1991;;@
14/02/1991;;@
15/02/1991;;@
16/02/1991;;@
17/02/1991;;@
18/02/1991;;@
19/02/1991;;@
20/02/1991;;@
21/02/1991;;@
22/02/1991;;@
23/02/1991;;@
24/02/1991;;@
25/02/1991;;@
26/02/1991;;@
27/02/1991;;@
28/02/1991;;@
01/03/1991;;@
02/03/1991;;@
03/03/1991;;@
04/03/1991;;@
05/03/1991;;@
