"Stazione";"Strada in Chianti"
"Codice";"TOS01004725"
"Comune";"Greve in Chianti"
"Provincia";"FI"
"GB [m]";"E";1686642;"N";4837210
"WGS84 [°]";"Lat";43.664;"Lon";11.315
"Quota [m]";144,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
02/01/1996;;@
03/01/1996;;@
04/01/1996;;@
05/01/1996;;@
06/01/1996;;@
07/01/1996;;@
08/01/1996;;@
09/01/1996;;@
10/01/1996;;@
11/01/1996;;@
12/01/1996;;@
13/01/1996;;@
14/01/1996;;@
15/01/1996;;@
16/01/1996;;@
17/01/1996;;@
18/01/1996;;@
19/01/1996;;@
20/01/1996;;@
21/01/1996;;@
22/01/1996;;@
23/01/1996;;@
24/01/1996;;@
25/01/1996;;@
26/01/1996;;@
27/01/1996;;@
28/01/1996;;@
29/01/1996;;@
30/01/1996;;@
31/01/1996;;@
01/02/1996;;@
02/02/1996;;@
03/02/1996;;@
04/02/1996;;@
05/02/1996;;@
06/02/1996;;@
07/02/1996;;@
08/02/1996;;@
09/02/1996;;@
10/02/1996;;@
11/02/1996;;@
12/02/1996;;@
13/02/1996;;@
14/02/1996;;@
15/02/1996;;@
16/02/1996;;@
17/02/1996;;@
18/02/1996;;@
19/02/1996;;@
20/02/1996;;@
21/02/1996;;@
22/02/1996;;@
23/02/1996;;@
24/02/1996;;@
25/02/1996;;@
26/02/1996;;@
27/02/1996;;@
28/02/1996;;@
29/02/1996;;@
01/03/1996;;@
02/03/1996;;@
03/03/1996;;@
04/03/1996;;@
05/03/1996;;@
06/03/1996;;@
07/03/1996;;@
08/03/1996;;@
09/03/1996;;@
10/03/1996;;@
11/03/1996;;@
12/03/1996;;@
13/03/1996;;@
14/03/1996;;@
15/03/1996;;@
16/03/1996;;@
17/03/1996;;@
18/03/1996;;@
19/03/1996;;@
20/03/1996;;@
21/03/1996;;@
22/03/1996;;@
23/03/1996;;@
24/03/1996;;@
25/03/1996;;@
26/03/1996;;@
27/03/1996;;@
28/03/1996;;@
29/03/1996;;@
30/03/1996;;@
31/03/1996;;@
01/04/1996;;@
02/04/1996;;@
03/04/1996;;@
04/04/1996;;@
05/04/1996;;@
06/04/1996;;@
07/04/1996;;@
08/04/1996;;@
09/04/1996;;@
10/04/1996;;@
11/04/1996;;@
12/04/1996;;@
13/04/1996;;@
14/04/1996;;@
15/04/1996;;@
16/04/1996;;@
17/04/1996;;@
18/04/1996;;@
19/04/1996;;@
20/04/1996;;@
21/04/1996;;@
22/04/1996;;@
23/04/1996;;@
24/04/1996;;@
25/04/1996;;@
26/04/1996;;@
27/04/1996;;@
28/04/1996;;@
29/04/1996;;@
30/04/1996;;@
01/05/1996;;@
02/05/1996;;@
03/05/1996;;@
04/05/1996;;@
05/05/1996;;@
06/05/1996;;@
