"Stazione";"Monte Faggiola"
"Codice";"TOS30287700"
"Comune";"Firenzuola"
"Provincia";"FI"
"GB [m]";"E";1699421;"N";4890052
"WGS84 [°]";"Lat";44.136;"Lon";11.493
"Quota [m]";881,24

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
02/01/2011;0,2;P
06/01/2011;0,4;P
07/01/2011;3,2;P
08/01/2011;0,8;P
11/01/2011;6,8;P
12/01/2011;0,2;P
25/01/2011;15,2;P
26/01/2011;8,0;P
27/01/2011;7,6;P
28/01/2011;0,8;P
01/02/2011;9,8;P
02/02/2011;10,8;P
03/02/2011;11,0;P
04/02/2011;1,2;P
16/02/2011;3,8;P
17/02/2011;14,0;P
18/02/2011;12,8;P
19/02/2011;0,2;P
21/02/2011;6,0;P
22/02/2011;5,2;P
23/02/2011;5,0;P
24/02/2011;2,6;P
25/02/2011;1,2;P
28/02/2011;2,6;P
01/03/2011;4,4;P
02/03/2011;0,2;P
05/03/2011;10,8;P
06/03/2011;14,0;P
07/03/2011;30,0;P
14/03/2011;30,4;P
15/03/2011;13,4;P
16/03/2011;20,8;P
17/03/2011;5,2;P
18/03/2011;1,2;P
19/03/2011;0,2;P
28/03/2011;2,2;P
29/03/2011;19,6;P
30/03/2011;0,2;P
05/04/2011;2,6;P
13/04/2011;6,8;P
15/04/2011;13,8;P
16/04/2011;4,8;P
23/04/2011;3,2;P
24/04/2011;0,4;P
25/04/2011;0,4;P
27/04/2011;5,6;P
28/04/2011;0,6;P
29/04/2011;1,0;P
30/04/2011;6,4;P
01/05/2011;2,0;P
03/05/2011;0,2;P
04/05/2011;8,4;P
09/05/2011;0,2;P
16/05/2011;23,4;P
20/05/2011;0,2;P
01/06/2011;4,2;P
02/06/2011;11,2;P
04/06/2011;0,2;P
05/06/2011;1,0;P
06/06/2011;20,6;P
07/06/2011;8,8;P
08/06/2011;47,8;P
09/06/2011;3,2;P
12/06/2011;3,6;P
13/06/2011;4,6;P
15/06/2011;0,8;P
19/06/2011;0,2;P
30/06/2011;10,4;P
02/07/2011;9,4;P
05/07/2011;0,4;P
06/07/2011;2,2;P
18/07/2011;1,2;P
20/07/2011;14,0;P
24/07/2011;1,0;P
25/07/2011;0,6;P
28/07/2011;15,8;P
30/07/2011;9,0;P
01/08/2011;0,8;P
05/09/2011;7,0;P
06/09/2011;0,6;P
07/09/2011;1,8;P
19/09/2011;8,4;P
20/09/2011;21,0;P
24/09/2011;0,2;P
08/10/2011;23,2;P
20/10/2011;0,2;P
21/10/2011;28,0;P
22/10/2011;0,2;P
23/10/2011;0,2;P
24/10/2011;0,2;P
25/10/2011;2,2;P
26/10/2011;48,4;P
27/10/2011;2,8;P
28/10/2011;0,2;P
29/10/2011;0,4;P
30/10/2011;0,4;P
01/11/2011;0,2;P
02/11/2011;0,2;P
03/11/2011;0,2;P
04/11/2011;0,4;P
05/11/2011;0,4;P
06/11/2011;5,4;P
07/11/2011;0,2;P
08/11/2011;9,8;P
11/11/2011;0,4;P
12/11/2011;0,4;P
14/11/2011;0,2;P
22/11/2011;0,2;P
23/11/2011;4,0;P
24/11/2011;0,2;P
25/11/2011;0,2;P
