"Stazione";"S. Brigida all'Opaco"
"Codice";"TOS01001059"
"Comune";"Pontassieve"
"Provincia";"FI"
"GB [m]";"E";1693112;"N";4857923
"WGS84 [°]";"Lat";43.849;"Lon";11.402
"Quota [m]";407,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Max [Â°C]";"Min [Â°C]"
15/05/2024;22.8;13.3
16/05/2024;23.6;13.6
17/05/2024;21.0;12.1
18/05/2024;25.0;10.4
19/05/2024;24.6;12.0
20/05/2024;22.3;15.4
21/05/2024;19.5;11.9
22/05/2024;20.2;11.8
23/05/2024;21.4;11.8
24/05/2024;23.2;10.6
25/05/2024;22.8;11.9
26/05/2024;24.0;10.7
27/05/2024;26.5;11.5
28/05/2024;24.0;13.9
29/05/2024;25.3;14.1
30/05/2024;21.2;14.0
31/05/2024;21.4;10.5
01/06/2024;23.7;9.9
02/06/2024;22.1;12.4
03/06/2024;20.1;12.5
04/06/2024;24.0;12.2
05/06/2024;24.7;13.7
06/06/2024;23.9;14.1
07/06/2024;26.1;12.9
08/06/2024;27.3;14.4
09/06/2024;27.3;17.5
10/06/2024;23.7;16.3
11/06/2024;25.0;13.9
12/06/2024;24.6;12.7
13/06/2024;21.7;11.9
14/06/2024;22.6;12.0
15/06/2024;26.0;12.3
16/06/2024;25.6;13.0
17/06/2024;28.1;12.0
18/06/2024;31.4;15.8
19/06/2024;28.7;18.1
20/06/2024;29.2;19.3
21/06/2024;29.3;19.2
22/06/2024;25.3;15.1
23/06/2024;22.0;15.8
24/06/2024;19.3;16.0
25/06/2024;24.5;14.4
26/06/2024;25.2;13.6
27/06/2024;26.2;16.2
28/06/2024;30.4;15.6
29/06/2024;32.8;19.6
30/06/2024;27.4;17.6
01/07/2024;27.6;16.2
02/07/2024;27.3;17.2
03/07/2024;25.1;16.1
04/07/2024;26.6;15.0
05/07/2024;29.6;15.5
06/07/2024;29.7;16.4
07/07/2024;28.4;17.0
