"Stazione";"Poggio Aglione"
"Codice";"TOS01001445"
"Comune";"Gambassi Terme"
"Provincia";"FI"
"GB [m]";"E";1655820;"N";4821481
"WGS84 [°]";"Lat";43.530;"Lon";10.928
"Quota [m]";441,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Max [Â°C]";"Min [Â°C]"
25/10/2022;22.6;16.2
26/10/2022;21.7;15.5
27/10/2022;22.0;15.1
28/10/2022;23.1;16.2
29/10/2022;24.4;17.9
30/10/2022;23.3;16.7
31/10/2022;21.7;15.7
01/11/2022;20.7;14.6
02/11/2022;20.2;14.3
03/11/2022;18.3;13.6
04/11/2022;16.3;11.4
05/11/2022;14.8;9.6
06/11/2022;15.5;9.1
07/11/2022;17.2;11.4
08/11/2022;17.0;12.3
09/11/2022;18.1;11.2
10/11/2022;14.9;11.7
11/11/2022;17.0;11.6
12/11/2022;15.5;11.7
13/11/2022;14.7;9.1
14/11/2022;13.7;8.2
15/11/2022;12.8;8.5
16/11/2022;17.0;11.4
17/11/2022;17.0;12.3
18/11/2022;15.1;11.3
19/11/2022;12.5;7.2
20/11/2022;12.2;7.1
21/11/2022;13.3;7.7
22/11/2022;9.2;5.9
23/11/2022;13.4;6.5
24/11/2022;12.7;8.6
25/11/2022;12.6;7.4
26/11/2022;10.9;7.1
27/11/2022;11.2;5.7
28/11/2022;6.9;5.1
29/11/2022;7.8;4.8
30/11/2022;7.2;2.7
01/12/2022;8.3;3.1
02/12/2022;8.6;4.3
03/12/2022;8.3;6.2
04/12/2022;13.6;7.5
05/12/2022;12.7;9.8
06/12/2022;12.9;10.4
07/12/2022;12.0;8.7
08/12/2022;11.4;8.4
09/12/2022;15.4;9.8
10/12/2022;12.4;8.4
11/12/2022;9.0;2.6
12/12/2022;5.8;1.7
13/12/2022;3.4;2.0
14/12/2022;8.0;3.0
15/12/2022;13.4;7.6
16/12/2022;11.8;9.6
17/12/2022;11.8;7.6
18/12/2022;10.8;5.8
19/12/2022;12.0;6.6
20/12/2022;12.9;9.0
21/12/2022;12.2;8.5
22/12/2022;11.8;8.4
23/12/2022;13.5;10.4
24/12/2022;14.6;12.2
25/12/2022;14.0;11.5
26/12/2022;14.5;10.7
27/12/2022;15.2;10.4
28/12/2022;13.4;9.7
29/12/2022;14.4;9.5
30/12/2022;14.9;10.7
31/12/2022;14.5;11.4
01/01/2023;14.0;11.0
02/01/2023;12.8;10.3
03/01/2023;13.8;10.4
04/01/2023;13.9;9.7
05/01/2023;12.0;8.8
06/01/2023;12.8;9.2
07/01/2023;11.4;9.3
08/01/2023;12.8;9.5
09/01/2023;12.2;8.0
10/01/2023;12.2;6.3
11/01/2023;11.4;6.6
12/01/2023;11.2;5.5
13/01/2023;11.7;7.5
14/01/2023;13.4;8.0
15/01/2023;12.2;8.4
16/01/2023;10.4;6.3
17/01/2023;9.7;5.7
18/01/2023;9.4;3.2
19/01/2023;4.9;0.5
20/01/2023;4.3;0.1
21/01/2023;3.6;0.8
22/01/2023;5.7;0.0
23/01/2023;3.0;0.6
24/01/2023;9.3;1.8
25/01/2023;8.0;3.4
26/01/2023;5.9;1.0
27/01/2023;4.1;0.1
28/01/2023;5.2;0.5
29/01/2023;6.6;0.8
30/01/2023;7.9;1.8
31/01/2023;12.2;4.5
01/02/2023;10.1;6.2
02/02/2023;11.5;6.3
03/02/2023;11.2;6.6
04/02/2023;12.1;6.0
05/02/2023;8.6;0.9
06/02/2023;5.6;-0.6
07/02/2023;5.2;-1.4
08/02/2023;4.7;-1.9
09/02/2023;3.9;-1.8
10/02/2023;7.7;-1.8
11/02/2023;11.5;2.3
12/02/2023;11.0;3.7
13/02/2023;12.8;5.0
14/02/2023;12.8;5.5
15/02/2023;14.8;5.4
16/02/2023;8.5;5.3
17/02/2023;10.2;7.2
18/02/2023;9.6;7.2
19/02/2023;12.1;7.8
20/02/2023;15.0;8.8
21/02/2023;10.5;8.7
22/02/2023;11.1;8.0
23/02/2023;13.1;7.7
24/02/2023;10.1;7.9
25/02/2023;12.2;9.1
26/02/2023;10.6;0.8
27/02/2023;6.6;2.4
28/02/2023;8.1;2.2
01/03/2023;3.8;0.6
02/03/2023;9.6;2.4
03/03/2023;12.1;5.3
04/03/2023;13.1;4.7
05/03/2023;12.8;6.7
06/03/2023;12.9;6.6
07/03/2023;12.0;6.4
08/03/2023;14.3;7.9
09/03/2023;17.8;10.5
10/03/2023;13.3;10.5
11/03/2023;14.4;10.2
12/03/2023;19.5;10.3
13/03/2023;17.6;10.5
14/03/2023;13.0;8.7
15/03/2023;15.5;7.1
16/03/2023;13.4;5.6
17/03/2023;15.1;5.6
