"Stazione";"Montespertoli"
"Codice";"TOS01004915"
"Comune";"Montespertoli"
"Provincia";"FI"
"GB [m]";"E";1668768;"N";4835144
"WGS84 [°]";"Lat";43.650;"Lon";11.092
"Quota [m]";117,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Max [Â°C]";"Min [Â°C]"
01/01/2008;11.6;-6.3
02/01/2008;8.5;-2.7
03/01/2008;6.1;1.2
04/01/2008;6.2;1.6
05/01/2008;10.5;3.9
06/01/2008;10.7;5.8
07/01/2008;11.1;8.3
08/01/2008;11.4;6.2
09/01/2008;14.1;2.0
10/01/2008;10.1;5.1
11/01/2008;10.5;6.6
12/01/2008;12.9;8.2
13/01/2008;13.4;0.8
14/01/2008;11.8;-0.1
15/01/2008;10.1;1.7
16/01/2008;8.2;4.6
17/01/2008;11.2;6.9
18/01/2008;10.9;1.2
19/01/2008;13.4;-0.5
20/01/2008;14.0;0.4
21/01/2008;10.1;7.3
22/01/2008;11.5;8.1
23/01/2008;12.5;-0.7
24/01/2008;11.7;1.1
25/01/2008;14.2;-3.6
26/01/2008;14.3;-0.5
27/01/2008;16.3;-2.7
28/01/2008;11.9;1.4
29/01/2008;15.3;-0.9
30/01/2008;13.7;2.6
31/01/2008;15.5;7.2
01/02/2008;10.2;1.4
02/02/2008;11.2;4.2
03/02/2008;13.0;6.8
04/02/2008;10.1;6.4
05/02/2008;15.7;2.3
06/02/2008;13.0;0.5
07/02/2008;13.2;-0.1
08/02/2008;16.2;-3.3
09/02/2008;11.8;3.7
10/02/2008;11.4;2.6
11/02/2008;11.9;0.2
12/02/2008;8.0;-2.9
13/02/2008;11.2;-3.8
14/02/2008;12.4;-5.9
15/02/2008;12.6;-4.8
16/02/2008;12.8;-1.6
17/02/2008;8.0;-6.3
18/02/2008;7.7;-8.3
19/02/2008;7.9;-2.7
20/02/2008;11.0;-0.1
21/02/2008;11.9;3.6
22/02/2008;16.2;-1.8
23/02/2008;16.4;3.7
24/02/2008;13.7;1.4
25/02/2008;18.7;0.2
26/02/2008;16.0;3.9
27/02/2008;14.8;8.2
28/02/2008;14.4;8.5
29/02/2008;16.4;8.3
01/03/2008;15.6;10.3
02/03/2008;15.1;5.6
03/03/2008;18.9;2.4
04/03/2008;19.7;5.8
05/03/2008;14.7;3.9
06/03/2008;8.6;3.7
07/03/2008;7.1;1.9
08/03/2008;8.3;3.2
09/03/2008;11.6;2.6
10/03/2008;12.6;4.5
11/03/2008;14.2;7.6
12/03/2008;15.2;6.5
13/03/2008;16.9;7.2
14/03/2008;17.7;4.3
15/03/2008;18.0;4.8
16/03/2008;17.3;6.1
17/03/2008;16.6;7.1
18/03/2008;15.8;6.1
19/03/2008;15.7;1.3
20/03/2008;16.2;3.7
21/03/2008;11.9;-3.6
22/03/2008;11.6;3.0
23/03/2008;13.0;3.4
24/03/2008;8.7;0.8
25/03/2008;10.6;-2.7
26/03/2008;14.4;2.8
27/03/2008;14.1;6.5
28/03/2008;13.6;6.5
29/03/2008;14.8;0.8
30/03/2008;19.0;1.3
31/03/2008;22.2;4.3
01/04/2008;20.5;1.9
02/04/2008;23.1;3.5
03/04/2008;20.0;1.5
04/04/2008;18.2;1.0
05/04/2008;16.8;-0.5
06/04/2008;17.8;1.4
07/04/2008;17.3;6.5
08/04/2008;19.5;8.4
09/04/2008;18.6;8.3
10/04/2008;19.5;11.6
11/04/2008;21.8;10.8
12/04/2008;21.4;10.8
13/04/2008;12.4;9.4
14/04/2008;16.8;5.8
15/04/2008;18.7;6.4
16/04/2008;14.3;2.3
17/04/2008;17.0;5.8
18/04/2008;16.8;9.0
19/04/2008;18.4;11.3
20/04/2008;20.0;5.8
21/04/2008;22.8;7.9
22/04/2008;17.4;7.7
23/04/2008;16.2;12.3
24/04/2008;19.5;7.0
25/04/2008;22.5;6.8
26/04/2008;22.0;5.3
27/04/2008;21.1;3.1
28/04/2008;22.7;4.8
29/04/2008;21.7;10.7
30/04/2008;16.5;6.1
01/05/2008;20.9;9.4
02/05/2008;20.7;3.5
03/05/2008;24.9;4.6
04/05/2008;27.4;6.2
05/05/2008;26.0;9.1
06/05/2008;17.5;4.8
07/05/2008;22.0;5.5
08/05/2008;24.7;4.2
09/05/2008;26.5;6.1
10/05/2008;27.2;5.9
11/05/2008;25.7;6.0
12/05/2008;22.7;7.3
13/05/2008;22.3;8.7
14/05/2008;24.6;11.5
15/05/2008;25.6;11.4
16/05/2008;23.8;11.5
17/05/2008;22.3;13.1
18/05/2008;24.7;13.5
19/05/2008;21.3;9.7
20/05/2008;23.0;13.3
21/05/2008;19.5;10.8
22/05/2008;23.2;14.4
23/05/2008;22.0;9.2
24/05/2008;24.3;10.5
25/05/2008;25.3;12.6
26/05/2008;27.2;10.8
27/05/2008;31.0;12.0
28/05/2008;33.2;13.7
29/05/2008;31.0;17.2
30/05/2008;23.2;13.9
31/05/2008;20.5;14.0
01/06/2008;25.0;11.8
02/06/2008;27.1;14.5
03/06/2008;21.7;11.5
04/06/2008;22.0;15.0
05/06/2008;24.1;12.4
06/06/2008;24.5;11.8
07/06/2008;24.5;13.4
08/06/2008;24.3;13.1
09/06/2008;25.0;11.5
10/06/2008;27.3;12.5
11/06/2008;29.2;13.2
12/06/2008;27.0;13.5
13/06/2008;25.0;15.7
14/06/2008;25.0;14.8
15/06/2008;19.4;8.7
16/06/2008;23.6;14.0
17/06/2008;25.0;14.4
18/06/2008;26.6;16.0
19/06/2008;28.6;15.2
20/06/2008;29.2;16.3
21/06/2008;33.1;14.0
22/06/2008;35.1;16.1
23/06/2008;36.6;14.6
24/06/2008;34.5;13.6
25/06/2008;34.5;15.1
26/06/2008;35.7;14.3
27/06/2008;35.9;13.9
28/06/2008;34.3;16.2
29/06/2008;35.6;19.1
30/06/2008;35.1;20.2
01/07/2008;34.0;16.7
02/07/2008;36.3;18.4
03/07/2008;34.6;17.1
04/07/2008;33.2;17.9
05/07/2008;30.9;15.2
06/07/2008;30.2;16.2
07/07/2008;32.6;15.0
08/07/2008;32.9;15.7
09/07/2008;27.2;12.7
10/07/2008;29.2;14.5
11/07/2008;32.7;14.5
12/07/2008;33.1;14.4
13/07/2008;35.4;15.0
14/07/2008;27.9;14.7
15/07/2008;26.9;12.7
16/07/2008;30.9;11.9
