"Stazione";"Certaldo"
"Codice";"TOS01004967"
"Comune";"Certaldo"
"Provincia";"FI"
"GB [m]";"E";1664410;"N";4823332
"WGS84 [°]";"Lat";43.545;"Lon";11.035
"Quota [m]";65,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Max [Â°C]";"Min [Â°C]"
25/10/2022;26.2;13.4
26/10/2022;24.6;13.3
27/10/2022;25.4;12.5
28/10/2022;25.2;10.1
29/10/2022;27.6;8.4
30/10/2022;24.6;7.1
31/10/2022;23.3;6.9
01/11/2022;21.3;5.8
02/11/2022;22.8;8.3
03/11/2022;21.1;11.9
04/11/2022;19.7;10.7
05/11/2022;18.1;6.2
06/11/2022;18.6;3.5
07/11/2022;18.2;3.9
08/11/2022;19.8;6.1
09/11/2022;20.2;7.4
10/11/2022;16.8;10.9
11/11/2022;20.2;7.9
12/11/2022;14.7;6.1
13/11/2022;17.7;4.0
14/11/2022;16.3;4.9
15/11/2022;12.6;3.5
16/11/2022;20.0;9.6
17/11/2022;20.4;7.1
18/11/2022;18.4;10.4
19/11/2022;13.1;9.6
20/11/2022;15.4;3.7
21/11/2022;14.8;3.0
22/11/2022;11.1;7.2
23/11/2022;15.5;3.0
24/11/2022;15.8;5.1
25/11/2022;14.1;4.8
26/11/2022;14.7;7.2
27/11/2022;14.5;2.1
28/11/2022;8.8;0.6
29/11/2022;11.4;4.4
30/11/2022;10.4;2.3
01/12/2022;11.5;0.0
02/12/2022;11.0;0.0
03/12/2022;11.0;6.2
04/12/2022;16.7;8.8
05/12/2022;15.8;8.3
06/12/2022;14.1;9.2
07/12/2022;14.5;5.1
08/12/2022;13.9;4.6
09/12/2022;18.4;10.1
10/12/2022;13.6;9.5
11/12/2022;12.3;1.3
12/12/2022;8.6;-0.1
13/12/2022;6.7;3.7
16/12/2022;13.4;9.8
17/12/2022;14.2;5.1
18/12/2022;13.9;1.9
19/12/2022;12.7;1.0
20/12/2022;16.0;5.5
21/12/2022;13.9;5.2
22/12/2022;13.3;8.9
23/12/2022;14.6;7.8
24/12/2022;16.1;7.4
25/12/2022;17.2;6.7
26/12/2022;17.9;6.1
27/12/2022;18.4;6.4
28/12/2022;16.4;5.1
29/12/2022;17.7;6.0
30/12/2022;18.3;6.1
31/12/2022;17.4;9.3
01/01/2023;16.0;5.4
02/01/2023;15.5;8.6
03/01/2023;16.4;7.9
04/01/2023;15.4;6.0
05/01/2023;14.8;5.1
06/01/2023;15.7;8.1
07/01/2023;13.0;10.0
08/01/2023;16.7;9.8
09/01/2023;15.4;4.7
10/01/2023;14.8;0.8
11/01/2023;13.2;-1.0
12/01/2023;14.0;3.2
13/01/2023;13.5;3.2
14/01/2023;15.1;5.4
15/01/2023;16.3;4.6
16/01/2023;13.1;9.6
17/01/2023;12.0;7.9
18/01/2023;11.7;5.6
19/01/2023;8.2;2.7
20/01/2023;7.2;0.0
21/01/2023;6.9;3.0
22/01/2023;9.3;3.2
23/01/2023;6.5;1.9
24/01/2023;11.7;-0.7
25/01/2023;11.3;-0.6
26/01/2023;8.8;-0.4
27/01/2023;7.7;-0.3
28/01/2023;8.4;-0.8
29/01/2023;9.9;-2.8
30/01/2023;10.6;-4.2
31/01/2023;15.1;-0.4
01/02/2023;13.7;0.4
02/02/2023;13.8;-0.9
03/02/2023;14.4;4.8
04/02/2023;14.4;2.7
05/02/2023;11.9;-1.3
06/02/2023;8.8;-3.9
07/02/2023;8.5;-4.5
08/02/2023;7.7;-5.1
09/02/2023;7.4;-2.2
10/02/2023;10.9;-5.5
11/02/2023;13.0;-5.7
12/02/2023;13.6;-4.5
13/02/2023;15.9;-2.2
14/02/2023;15.2;-2.5
15/02/2023;14.8;0.8
16/02/2023;11.3;5.0
17/02/2023;14.2;6.2
18/02/2023;12.9;5.2
19/02/2023;14.9;9.4
20/02/2023;17.5;3.0
21/02/2023;13.8;7.6
22/02/2023;14.4;8.2
23/02/2023;16.5;5.3
24/02/2023;13.5;7.0
25/02/2023;14.3;8.4
26/02/2023;11.9;4.7
27/02/2023;10.1;5.5
28/02/2023;11.6;3.5
01/03/2023;7.6;0.5
02/03/2023;12.7;-0.8
03/03/2023;14.8;3.5
04/03/2023;16.0;0.7
05/03/2023;14.8;0.1
06/03/2023;16.1;5.7
07/03/2023;15.5;2.7
08/03/2023;17.3;7.9
09/03/2023;20.2;8.3
10/03/2023;16.6;9.6
11/03/2023;17.6;11.4
12/03/2023;21.2;7.1
13/03/2023;20.6;3.5
14/03/2023;16.3;7.8
15/03/2023;18.2;3.1
16/03/2023;16.4;0.2
17/03/2023;18.7;0.0
18/03/2023;18.2;1.2
19/03/2023;15.5;6.9
20/03/2023;17.0;8.4
21/03/2023;19.9;4.5
22/03/2023;19.3;6.0
23/03/2023;18.5;7.2
24/03/2023;20.2;4.7
25/03/2023;18.5;8.5
26/03/2023;20.9;7.3
27/03/2023;19.3;5.6
28/03/2023;17.1;2.7
29/03/2023;17.0;0.9
30/03/2023;19.2;7.7
31/03/2023;17.6;6.5
01/04/2023;18.5;8.4
02/04/2023;18.5;5.6
03/04/2023;17.0;4.6
04/04/2023;12.7;1.6
05/04/2023;13.1;0.2
06/04/2023;15.6;-0.9
07/04/2023;16.6;-0.3
08/04/2023;17.1;6.3
09/04/2023;17.0;2.4
10/04/2023;18.4;6.4
11/04/2023;17.5;3.4
12/04/2023;19.1;10.3
13/04/2023;16.6;9.2
14/04/2023;16.7;4.6
15/04/2023;17.8;6.7
16/04/2023;18.6;6.4
17/04/2023;16.8;6.9
18/04/2023;20.7;5.6
19/04/2023;22.7;6.1
20/04/2023;19.6;6.1
21/04/2023;21.2;7.2
22/04/2023;23.3;6.4
23/04/2023;23.7;6.8
24/04/2023;20.0;9.8
25/04/2023;19.2;8.5
26/04/2023;21.7;5.6
27/04/2023;23.0;4.8
28/04/2023;22.5;5.7
29/04/2023;21.2;10.7
30/04/2023;23.5;13.3
01/05/2023;19.8;12.9
02/05/2023;18.7;11.6
03/05/2023;21.6;11.5
04/05/2023;24.8;9.1
05/05/2023;24.4;8.3
06/05/2023;25.1;7.8
07/05/2023;25.8;8.5
08/05/2023;24.8;9.4
09/05/2023;26.2;10.7
10/05/2023;16.9;11.9
11/05/2023;20.5;8.9
12/05/2023;20.9;10.5
13/05/2023;20.4;9.5
14/05/2023;17.9;10.9
15/05/2023;22.5;9.2
16/05/2023;17.8;13.0
17/05/2023;20.7;13.0
18/05/2023;21.3;10.4
19/05/2023;17.3;12.6
20/05/2023;20.0;13.4
21/05/2023;25.9;13.8
22/05/2023;27.1;11.9
23/05/2023;28.4;10.7
24/05/2023;26.2;13.1
25/05/2023;25.4;11.9
26/05/2023;28.8;11.8
27/05/2023;28.2;13.1
28/05/2023;27.8;11.8
29/05/2023;27.2;12.7
30/05/2023;27.1;12.6
31/05/2023;25.5;12.7
01/06/2023;26.9;14.6
02/06/2023;25.7;13.4
03/06/2023;26.5;13.4
04/06/2023;26.1;13.0
05/06/2023;21.7;14.9
06/06/2023;23.0;14.2
07/06/2023;26.0;13.5
08/06/2023;27.1;13.7
09/06/2023;26.7;13.2
10/06/2023;24.4;17.9
11/06/2023;27.7;16.9
12/06/2023;29.7;15.8
13/06/2023;23.0;17.0
14/06/2023;24.0;15.6
15/06/2023;27.9;15.3
16/06/2023;28.1;13.5
17/06/2023;29.2;15.7
18/06/2023;30.5;14.7
19/06/2023;30.6;15.6
20/06/2023;31.5;14.5
21/06/2023;33.6;16.3
22/06/2023;35.3;15.8
23/06/2023;29.4;19.0
24/06/2023;30.5;17.9
25/06/2023;30.7;15.8
26/06/2023;33.0;15.3
27/06/2023;33.5;15.6
28/06/2023;31.6;17.4
29/06/2023;31.8;18.3
30/06/2023;25.3;18.2
01/07/2023;27.8;17.5
02/07/2023;29.2;16.6
03/07/2023;30.2;17.1
04/07/2023;29.2;18.4
05/07/2023;29.4;17.9
06/07/2023;31.1;16.7
07/07/2023;33.6;17.0
08/07/2023;34.3;19.1
09/07/2023;36.3;18.9
10/07/2023;36.5;19.8
11/07/2023;35.9;18.9
12/07/2023;34.8;20.3
13/07/2023;32.6;21.2
14/07/2023;33.9;20.5
15/07/2023;35.4;20.2
16/07/2023;35.9;21.2
17/07/2023;36.1;18.8
18/07/2023;36.0;19.9
19/07/2023;35.7;17.7
20/07/2023;34.2;21.3
21/07/2023;33.5;19.6
22/07/2023;33.9;19.1
23/07/2023;34.0;18.3
24/07/2023;34.2;18.7
25/07/2023;32.1;21.9
26/07/2023;30.2;18.8
27/07/2023;30.1;14.8
28/07/2023;29.5;15.9
29/07/2023;31.9;18.1
30/07/2023;30.8;18.4
31/07/2023;32.7;17.3
01/08/2023;31.0;18.2
02/08/2023;30.5;18.4
03/08/2023;32.5;21.5
04/08/2023;25.5;15.7
05/08/2023;24.8;13.6
06/08/2023;27.1;12.4
07/08/2023;29.4;12.8
08/08/2023;30.8;10.6
09/08/2023;29.5;13.2
10/08/2023;32.9;13.4
11/08/2023;34.4;15.2
12/08/2023;35.0;15.0
13/08/2023;36.4;15.0
14/08/2023;36.9;17.7
15/08/2023;34.5;18.0
16/08/2023;34.4;18.8
17/08/2023;34.7;18.1
18/08/2023;36.5;18.3
19/08/2023;36.6;17.7
20/08/2023;36.5;18.6
21/08/2023;37.8;19.3
22/08/2023;38.7;18.6
23/08/2023;39.4;17.5
24/08/2023;39.6;18.7
25/08/2023;37.3;19.0
26/08/2023;35.1;17.2
27/08/2023;35.0;18.0
28/08/2023;28.3;16.9
29/08/2023;22.2;17.1
30/08/2023;23.5;15.8
31/08/2023;26.3;14.3
01/09/2023;27.5;13.7
02/09/2023;31.7;13.6
03/09/2023;32.5;15.8
04/09/2023;31.3;17.3
05/09/2023;28.3;15.2
06/09/2023;30.7;16.6
07/09/2023;30.9;14.3
08/09/2023;32.0;15.4
09/09/2023;32.3;14.1
10/09/2023;32.7;12.3
11/09/2023;32.0;13.2
12/09/2023;30.8;12.2
13/09/2023;27.9;14.6
14/09/2023;28.4;15.8
15/09/2023;29.7;18.3
16/09/2023;28.9;16.9
17/09/2023;30.7;17.2
18/09/2023;29.6;16.7
19/09/2023;29.9;16.9
20/09/2023;26.5;15.5
21/09/2023;28.3;16.6
22/09/2023;26.2;16.3
23/09/2023;23.8;12.2
24/09/2023;24.6;10.2
25/09/2023;25.9;10.8
26/09/2023;27.6;12.3
27/09/2023;29.0;13.2
28/09/2023;29.7;12.0
29/09/2023;29.1;10.6
30/09/2023;30.3;10.8
01/10/2023;31.2;11.1
02/10/2023;32.1;11.1
03/10/2023;28.9;10.7
04/10/2023;27.6;12.0
05/10/2023;28.8;13.4
06/10/2023;28.1;15.3
07/10/2023;28.3;11.8
08/10/2023;28.4;14.0
09/10/2023;28.5;13.8
10/10/2023;26.4;13.9
11/10/2023;26.9;13.7
12/10/2023;27.9;12.5
13/10/2023;27.3;13.0
14/10/2023;27.4;10.1
15/10/2023;24.9;12.3
16/10/2023;21.8;11.4
17/10/2023;24.1;13.0
18/10/2023;19.6;14.9
19/10/2023;26.8;17.7
20/10/2023;25.9;16.9
21/10/2023;22.2;13.5
22/10/2023;21.6;11.9
23/10/2023;22.2;9.5
24/10/2023;22.1;15.6
25/10/2023;22.8;13.8
26/10/2023;23.6;13.8
27/10/2023;22.0;16.2
28/10/2023;22.4;11.6
29/10/2023;24.1;9.4
30/10/2023;23.4;17.3
31/10/2023;20.5;12.1
01/11/2023;17.3;9.8
02/11/2023;21.8;13.3
03/11/2023;17.5;11.1
04/11/2023;18.4;10.1
05/11/2023;20.2;15.4
06/11/2023;20.5;11.5
07/11/2023;19.5;8.1
08/11/2023;18.2;6.5
09/11/2023;17.2;9.0
10/11/2023;17.0;11.5
11/11/2023;17.4;6.8
12/11/2023;12.2;6.1
13/11/2023;15.0;9.1
14/11/2023;20.9;9.7
15/11/2023;20.4;10.4
16/11/2023;16.0;9.2
17/11/2023;17.6;6.3
18/11/2023;17.1;2.6
19/11/2023;13.1;4.6
20/11/2023;19.9;11.4
21/11/2023;17.4;10.3
22/11/2023;15.1;11.2
23/11/2023;16.1;4.4
24/11/2023;16.8;2.1
25/11/2023;12.0;-1.8
26/11/2023;13.3;-4.7
27/11/2023;11.0;1.4
28/11/2023;15.3;3.5
29/11/2023;13.2;0.4
30/11/2023;18.6;7.4
01/12/2023;21.6;14.0
02/12/2023;19.1;9.4
03/12/2023;12.2;1.4
04/12/2023;7.2;-0.9
05/12/2023;9.0;5.3
06/12/2023;6.8;4.2
07/12/2023;8.3;2.1
08/12/2023;7.3;0.2
09/12/2023;12.9;3.9
10/12/2023;15.6;4.8
11/12/2023;12.4;4.8
12/12/2023;15.8;11.4
13/12/2023;17.3;11.6
14/12/2023;13.2;4.3
15/12/2023;15.3;1.1
16/12/2023;12.6;1.3
17/12/2023;14.5;0.1
18/12/2023;14.2;-1.8
19/12/2023;13.5;-0.7
20/12/2023;9.6;3.6
21/12/2023;13.3;0.8
22/12/2023;16.2;5.6
23/12/2023;13.3;3.4
24/12/2023;15.1;6.3
25/12/2023;14.0;9.9
26/12/2023;14.8;4.0
27/12/2023;15.7;1.6
28/12/2023;13.3;6.5
29/12/2023;12.6;8.2
30/12/2023;14.7;8.9
31/12/2023;16.4;8.6
01/01/2024;13.3;7.3
02/01/2024;13.8;4.7
03/01/2024;16.8;5.7
04/01/2024;16.6;6.2
05/01/2024;14.0;5.5
06/01/2024;13.7;9.8
07/01/2024;10.1;7.5
08/01/2024;11.8;6.9
09/01/2024;10.2;0.8
10/01/2024;9.4;-0.3
11/01/2024;10.4;-0.5
12/01/2024;12.9;-1.9
13/01/2024;11.2;-3.9
14/01/2024;9.9;6.6
15/01/2024;14.3;6.3
16/01/2024;14.5;5.5
17/01/2024;16.4;9.0
18/01/2024;18.3;8.9
19/01/2024;16.2;7.4
20/01/2024;7.5;4.2
21/01/2024;11.6;-2.1
22/01/2024;12.6;-5.5
23/01/2024;13.7;2.5
24/01/2024;13.6;0.6
25/01/2024;13.2;4.5
26/01/2024;11.2;6.0
27/01/2024;14.7;1.9
28/01/2024;17.4;-1.2
29/01/2024;17.0;-2.4
30/01/2024;14.7;-2.7
31/01/2024;13.7;-1.0
01/02/2024;12.2;0.4
02/02/2024;16.1;1.0
03/02/2024;16.9;1.0
04/02/2024;13.8;5.4
05/02/2024;15.6;3.6
06/02/2024;15.6;7.3
07/02/2024;13.9;3.5
08/02/2024;17.0;6.8
09/02/2024;17.2;6.5
10/02/2024;13.7;11.3
11/02/2024;13.8;10.1
12/02/2024;14.6;5.5
13/02/2024;17.0;2.5
14/02/2024;15.9;1.3
15/02/2024;16.5;0.6
16/02/2024;17.2;3.3
17/02/2024;20.1;5.5
18/02/2024;19.1;1.9
19/02/2024;17.3;6.1
20/02/2024;19.0;4.3
21/02/2024;17.8;0.7
22/02/2024;16.1;3.3
23/02/2024;15.8;9.0
24/02/2024;14.5;4.9
25/02/2024;14.1;2.6
26/02/2024;11.6;3.4
27/02/2024;14.5;9.2
28/02/2024;18.2;8.5
29/02/2024;17.5;8.7
01/03/2024;13.6;11.3
02/03/2024;16.0;6.2
03/03/2024;15.7;6.3
04/03/2024;13.0;6.4
05/03/2024;15.4;5.8
06/03/2024;12.9;3.6
07/03/2024;15.6;0.8
08/03/2024;15.7;1.0
09/03/2024;16.9;6.1
10/03/2024;15.2;9.1
11/03/2024;15.4;5.7
12/03/2024;16.3;5.6
13/03/2024;17.9;5.6
14/03/2024;17.3;5.9
15/03/2024;13.1;5.4
16/03/2024;16.8;8.3
17/03/2024;16.7;6.4
18/03/2024;14.9;8.6
19/03/2024;20.9;8.4
20/03/2024;22.3;4.7
21/03/2024;19.9;4.7
22/03/2024;22.6;8.9
23/03/2024;19.3;5.8
24/03/2024;17.6;6.2
25/03/2024;19.0;2.6
26/03/2024;12.8;9.1
27/03/2024;14.0;7.5
28/03/2024;19.4;7.5
29/03/2024;23.0;8.8
30/03/2024;23.5;10.1
31/03/2024;22.2;12.8
01/04/2024;17.7;9.6
02/04/2024;18.4;7.4
03/04/2024;19.4;7.2
04/04/2024;20.2;7.7
05/04/2024;22.5;6.1
06/04/2024;23.1;6.3
07/04/2024;24.7;5.7
08/04/2024;25.7;7.7
09/04/2024;25.1;9.7
10/04/2024;19.3;10.3
11/04/2024;23.7;10.2
12/04/2024;26.8;9.7
13/04/2024;28.4;9.8
14/04/2024;27.7;9.3
15/04/2024;24.9;8.4
16/04/2024;19.9;8.8
17/04/2024;17.4;8.5
18/04/2024;16.9;7.5
19/04/2024;17.5;5.9
20/04/2024;16.6;4.9
21/04/2024;17.5;2.4
22/04/2024;16.1;8.0
23/04/2024;11.5;5.5
24/04/2024;14.4;4.4
25/04/2024;15.4;4.5
26/04/2024;16.2;5.1
27/04/2024;16.8;9.7
28/04/2024;25.4;6.4
29/04/2024;26.0;9.0
30/04/2024;28.5;9.6
01/05/2024;16.9;13.6
02/05/2024;17.2;9.3
03/05/2024;18.2;9.4
04/05/2024;20.5;8.0
05/05/2024;22.6;7.7
06/05/2024;23.6;7.5
07/05/2024;18.1;11.3
08/05/2024;23.7;11.0
09/05/2024;24.7;11.8
10/05/2024;25.1;10.0
11/05/2024;27.1;8.1
12/05/2024;27.1;9.2
13/05/2024;24.5;11.4
14/05/2024;26.7;12.9
15/05/2024;24.1;15.4
16/05/2024;25.8;12.9
17/05/2024;22.6;10.2
18/05/2024;27.0;9.9
19/05/2024;26.6;10.1
20/05/2024;24.5;15.8
21/05/2024;22.6;12.5
22/05/2024;22.9;11.6
