"Stazione";"Castelfiorentino"
"Codice";"TOS01004971"
"Comune";"Castelfiorentino"
"Provincia";"FI"
"GB [m]";"E";1658891;"N";4829844
"WGS84 [°]";"Lat";43.604;"Lon";10.968
"Quota [m]";50,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Max [Â°C]";"Min [Â°C]"
29/04/2025;26.9;11.3
30/04/2025;27.0;9.8
01/05/2025;28.4;8.2
02/05/2025;29.6;9.5
03/05/2025;25.9;10.5
04/05/2025;24.1;10.3
05/05/2025;19.7;14.1
06/05/2025;19.9;10.4
07/05/2025;17.2;9.6
08/05/2025;18.9;9.9
09/05/2025;22.6;11.5
10/05/2025;24.4;9.1
11/05/2025;25.9;10.3
12/05/2025;24.7;10.1
13/05/2025;23.4;13.9
14/05/2025;25.7;12.1
15/05/2025;26.4;11.0
16/05/2025;20.7;12.2
17/05/2025;21.8;9.5
18/05/2025;20.8;8.0
19/05/2025;26.3;11.2
20/05/2025;22.7;13.4
21/05/2025;24.7;11.7
22/05/2025;25.0;13.4
23/05/2025;21.4;12.3
24/05/2025;23.6;8.3
25/05/2025;25.3;8.1
26/05/2025;24.9;12.3
27/05/2025;25.7;12.2
28/05/2025;27.1;12.3
29/05/2025;29.2;13.3
30/05/2025;31.0;12.7
31/05/2025;31.0;13.1
01/06/2025;30.3;12.9
02/06/2025;31.1;14.8
03/06/2025;30.5;15.8
04/06/2025;29.9;14.2
05/06/2025;28.1;16.2
06/06/2025;29.2;16.5
07/06/2025;31.5;15.8
08/06/2025;29.8;16.9
09/06/2025;32.0;14.1
10/06/2025;32.1;16.8
11/06/2025;31.4;16.4
12/06/2025;33.2;14.5
13/06/2025;34.9;15.8
14/06/2025;34.5;19.2
15/06/2025;34.3;21.0
16/06/2025;33.8;17.9
