"Stazione";"Firenze Orto Botanico"
"Codice";"TOS03001097"
"Comune";"Firenze"
"Provincia";"FI"
"GB [m]";"E";1681960;"N";4849883
"WGS84 [°]";"Lat";43.780;"Lon";11.261
"Quota [m]";48,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Max [Â°C]";"Min [Â°C]"
30/11/2021;11.8;-0.3
01/12/2021;10.9;7.5
02/12/2021;11.2;6.4
03/12/2021;11.8;4.3
04/12/2021;12.0;1.3
05/12/2021;12.8;3.4
06/12/2021;11.2;1.4
07/12/2021;10.6;-0.6
08/12/2021;10.1;1.1
09/12/2021;9.8;3.2
10/12/2021;7.7;0.5
11/12/2021;11.2;3.7
12/12/2021;12.9;0.1
13/12/2021;11.5;-0.4
14/12/2021;12.2;0.4
15/12/2021;12.8;0.6
16/12/2021;16.5;5.3
17/12/2021;16.7;3.2
18/12/2021;14.8;0.8
19/12/2021;12.1;-0.3
20/12/2021;11.7;5.4
21/12/2021;11.8;6.1
22/12/2021;12.2;4.0
23/12/2021;8.2;2.8
24/12/2021;14.9;8.0
25/12/2021;13.3;11.5
26/12/2021;12.9;10.7
27/12/2021;14.1;10.5
28/12/2021;13.7;10.7
29/12/2021;15.1;9.7
30/12/2021;13.1;7.8
31/12/2021;12.7;5.9
01/01/2022;12.5;9.1
02/01/2022;12.3;9.9
03/01/2022;13.9;10.9
04/01/2022;15.0;10.7
05/01/2022;15.4;7.3
06/01/2022;9.4;6.1
07/01/2022;12.1;2.9
08/01/2022;10.6;0.0
09/01/2022;6.6;1.2
10/01/2022;9.9;4.1
11/01/2022;12.1;7.2
12/01/2022;10.6;4.6
13/01/2022;12.4;2.6
14/01/2022;13.5;0.0
15/01/2022;13.7;0.2
16/01/2022;13.9;3.5
17/01/2022;12.8;2.1
18/01/2022;14.5;2.5
19/01/2022;13.6;0.2
20/01/2022;12.8;5.7
21/01/2022;12.4;2.4
22/01/2022;11.1;-1.0
23/01/2022;10.2;-0.9
24/01/2022;13.5;-0.1
25/01/2022;12.5;0.1
26/01/2022;11.3;3.6
27/01/2022;11.9;4.0
28/01/2022;16.6;4.1
29/01/2022;13.9;-0.2
30/01/2022;13.7;4.3
31/01/2022;11.3;7.6
01/02/2022;16.7;3.7
02/02/2022;15.7;0.6
03/02/2022;16.1;2.6
04/02/2022;13.2;9.8
05/02/2022;16.9;6.7
06/02/2022;15.2;3.1
07/02/2022;17.4;4.5
08/02/2022;15.2;0.6
09/02/2022;16.2;1.4
10/02/2022;16.1;4.6
11/02/2022;15.1;2.7
12/02/2022;13.7;7.2
13/02/2022;14.8;1.6
14/02/2022;11.7;7.6
15/02/2022;11.1;6.9
16/02/2022;15.0;5.6
17/02/2022;15.5;6.2
18/02/2022;15.1;4.4
19/02/2022;16.1;10.5
20/02/2022;19.4;9.4
21/02/2022;14.2;4.7
22/02/2022;19.1;2.9
23/02/2022;19.1;2.1
24/02/2022;18.7;2.9
25/02/2022;14.6;6.8
26/02/2022;12.1;5.7
27/02/2022;10.3;6.7
28/02/2022;15.4;4.1
01/03/2022;12.0;1.7
02/03/2022;14.2;-0.9
03/03/2022;14.5;3.7
04/03/2022;14.0;5.6
05/03/2022;11.5;4.1
06/03/2022;10.5;2.3
07/03/2022;12.0;2.9
08/03/2022;12.0;1.5
09/03/2022;16.6;-1.4
10/03/2022;17.9;0.3
11/03/2022;17.6;1.8
12/03/2022;15.7;2.7
13/03/2022;17.0;1.0
14/03/2022;20.1;7.7
15/03/2022;18.8;6.1
16/03/2022;15.1;9.3
17/03/2022;19.9;7.4
18/03/2022;15.9;11.5
19/03/2022;17.7;9.4
20/03/2022;17.5;7.9
21/03/2022;17.7;6.2
22/03/2022;19.4;2.0
23/03/2022;22.9;3.0
24/03/2022;23.4;3.9
25/03/2022;22.4;3.7
26/03/2022;25.1;5.0
27/03/2022;24.0;8.9
28/03/2022;24.8;8.5
29/03/2022;20.9;6.5
30/03/2022;13.1;10.5
31/03/2022;12.8;10.6
01/04/2022;15.9;7.1
02/04/2022;9.7;4.1
03/04/2022;14.2;2.6
04/04/2022;17.1;6.4
05/04/2022;19.1;3.7
06/04/2022;18.7;3.4
07/04/2022;15.7;8.4
08/04/2022;22.3;12.4
09/04/2022;18.1;8.5
10/04/2022;19.0;4.9
11/04/2022;21.0;3.5
12/04/2022;22.3;5.0
13/04/2022;26.2;7.3
14/04/2022;27.6;8.9
15/04/2022;29.8;10.3
16/04/2022;27.1;11.3
17/04/2022;17.9;10.7
18/04/2022;21.1;10.0
19/04/2022;20.8;5.8
20/04/2022;20.9;12.0
21/04/2022;20.7;12.3
22/04/2022;15.4;11.0
23/04/2022;23.1;11.5
24/04/2022;16.9;11.0
25/04/2022;19.4;11.1
26/04/2022;22.8;9.0
27/04/2022;25.5;8.7
28/04/2022;24.7;9.0
29/04/2022;24.0;12.1
30/04/2022;25.8;8.1
01/05/2022;21.8;11.3
02/05/2022;23.3;9.1
03/05/2022;25.9;9.4
04/05/2022;25.5;10.7
05/05/2022;18.4;11.4
06/05/2022;19.8;13.7
07/05/2022;21.5;15.1
08/05/2022;25.3;15.2
09/05/2022;27.1;15.8
10/05/2022;29.1;12.1
11/05/2022;27.3;12.6
12/05/2022;27.0;14.0
13/05/2022;27.8;11.3
14/05/2022;27.7;12.3
15/05/2022;28.4;13.8
16/05/2022;29.4;12.9
17/05/2022;29.3;14.5
18/05/2022;32.1;14.8
19/05/2022;32.3;14.9
20/05/2022;30.4;15.7
21/05/2022;28.9;14.7
22/05/2022;28.9;17.3
23/05/2022;32.1;15.4
24/05/2022;28.3;16.7
25/05/2022;31.4;18.7
26/05/2022;33.2;19.4
27/05/2022;37.0;20.1
28/05/2022;34.6;20.1
29/05/2022;27.8;18.4
30/05/2022;28.8;18.0
31/05/2022;30.8;17.7
01/06/2022;31.0;17.5
02/06/2022;34.9;17.3
03/06/2022;30.8;20.5
04/06/2022;36.7;19.2
05/06/2022;34.8;21.5
06/06/2022;31.0;19.4
07/06/2022;30.5;18.4
08/06/2022;31.4;19.5
09/06/2022;28.7;20.0
10/06/2022;29.7;18.0
11/06/2022;33.0;16.8
12/06/2022;34.9;17.9
13/06/2022;33.8;17.7
14/06/2022;36.6;18.4
15/06/2022;36.4;21.7
16/06/2022;36.0;19.9
17/06/2022;36.1;20.8
18/06/2022;36.1;21.4
19/06/2022;36.1;20.2
20/06/2022;34.7;20.9
21/06/2022;35.5;20.3
22/06/2022;35.3;21.3
23/06/2022;31.1;22.3
24/06/2022;34.1;22.4
25/06/2022;33.2;23.1
26/06/2022;38.5;20.0
27/06/2022;41.8;22.4
28/06/2022;32.2;23.9
29/06/2022;32.0;22.6
30/06/2022;35.9;18.9
01/07/2022;35.9;18.5
02/07/2022;38.5;19.7
03/07/2022;40.1;22.1
04/07/2022;38.9;22.4
05/07/2022;36.4;22.3
06/07/2022;36.4;23.4
07/07/2022;36.2;21.9
08/07/2022;32.7;18.9
09/07/2022;33.4;18.2
10/07/2022;35.1;17.7
11/07/2022;35.6;19.7
12/07/2022;34.0;20.7
13/07/2022;36.8;20.8
14/07/2022;38.3;19.7
15/07/2022;37.2;21.7
16/07/2022;38.1;21.1
17/07/2022;39.8;21.8
18/07/2022;39.2;24.3
19/07/2022;40.3;23.3
20/07/2022;40.6;22.4
21/07/2022;39.0;23.3
22/07/2022;39.5;23.0
23/07/2022;38.8;23.3
24/07/2022;37.2;25.2
25/07/2022;37.8;23.8
26/07/2022;36.6;24.5
27/07/2022;37.7;24.1
28/07/2022;39.2;22.9
29/07/2022;37.5;22.9
30/07/2022;35.9;24.8
31/07/2022;37.8;20.4
01/08/2022;39.2;21.0
02/08/2022;36.3;22.1
03/08/2022;39.3;23.0
04/08/2022;40.0;21.2
05/08/2022;39.2;23.4
06/08/2022;40.3;22.9
07/08/2022;36.5;26.7
08/08/2022;35.6;25.5
09/08/2022;34.8;24.0
10/08/2022;35.9;25.4
11/08/2022;34.8;23.7
12/08/2022;33.8;18.8
13/08/2022;33.3;17.4
14/08/2022;34.4;18.3
15/08/2022;34.1;18.5
16/08/2022;35.1;17.8
17/08/2022;35.4;20.7
18/08/2022;30.7;19.9
19/08/2022;26.0;19.2
20/08/2022;32.9;18.3
22/08/2022;34.5;19.1
23/08/2022;34.2;18.3
24/08/2022;32.7;19.5
25/08/2022;34.8;20.1
26/08/2022;33.8;20.7
27/08/2022;33.9;20.7
28/08/2022;30.9;20.4
29/08/2022;33.5;19.2
30/08/2022;33.3;20.3
31/08/2022;30.9;23.1
01/09/2022;30.7;21.2
02/09/2022;30.5;19.1
03/09/2022;26.1;19.2
04/09/2022;30.7;18.3
05/09/2022;33.4;18.9
06/09/2022;33.9;18.9
07/09/2022;33.6;20.3
08/09/2022;32.1;23.7
09/09/2022;30.9;21.2
10/09/2022;29.2;20.1
11/09/2022;30.4;17.5
12/09/2022;31.6;17.0
13/09/2022;31.7;16.3
14/09/2022;31.2;20.3
15/09/2022;29.7;22.8
16/09/2022;31.3;20.6
17/09/2022;21.6;11.9
18/09/2022;25.7;9.1
19/09/2022;27.0;14.3
20/09/2022;28.4;12.3
21/09/2022;24.6;12.5
22/09/2022;24.1;9.5
23/09/2022;25.2;9.1
24/09/2022;20.7;11.7
25/09/2022;20.9;15.9
26/09/2022;24.6;15.4
27/09/2022;22.6;15.0
28/09/2022;19.9;13.8
29/09/2022;22.3;15.2
30/09/2022;18.8;13.7
01/10/2022;22.6;15.3
02/10/2022;23.6;16.8
03/10/2022;27.2;16.0
04/10/2022;26.7;12.6
05/10/2022;27.0;12.4
06/10/2022;27.0;12.2
07/10/2022;27.5;13.1
08/10/2022;25.4;12.9
09/10/2022;25.3;14.1
10/10/2022;23.7;16.3
11/10/2022;26.7;14.5
12/10/2022;25.6;12.8
13/10/2022;25.6;14.3
14/10/2022;24.3;11.9
15/10/2022;23.5;13.0
16/10/2022;25.7;14.0
17/10/2022;27.3;13.7
18/10/2022;25.8;13.3
19/10/2022;25.3;15.6
20/10/2022;27.2;12.3
21/10/2022;22.2;13.0
22/10/2022;27.2;17.3
23/10/2022;24.5;18.5
24/10/2022;25.7;17.2
25/10/2022;25.1;16.4
26/10/2022;26.0;14.7
27/10/2022;25.9;13.8
28/10/2022;26.7;13.6
29/10/2022;26.5;11.1
30/10/2022;25.3;10.2
31/10/2022;24.4;9.7
