"Stazione";"Firenze Giardino di Boboli"
"Codice";"TOS03001099"
"Comune";"Firenze"
"Provincia";"FI"
"GB [m]";"E";1681255;"N";4847912
"WGS84 [°]";"Lat";43.762;"Lon";11.251
"Quota [m]";112,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Max [Â°C]";"Min [Â°C]"
20/07/2022;39.9;22.1
21/07/2022;38.3;22.4
22/07/2022;39.0;21.6
23/07/2022;37.4;22.2
24/07/2022;36.3;23.4
25/07/2022;36.8;22.4
26/07/2022;36.3;23.2
27/07/2022;36.6;22.7
28/07/2022;38.7;21.8
29/07/2022;36.2;21.6
30/07/2022;35.3;23.1
31/07/2022;37.4;19.3
01/08/2022;38.5;20.5
02/08/2022;35.6;21.6
03/08/2022;38.6;22.2
04/08/2022;39.6;20.9
05/08/2022;38.3;22.5
06/08/2022;39.7;22.1
07/08/2022;34.5;26.1
08/08/2022;34.1;24.5
09/08/2022;33.3;23.5
10/08/2022;33.8;24.9
11/08/2022;33.0;23.6
12/08/2022;33.7;17.9
13/08/2022;31.2;16.7
14/08/2022;34.0;16.7
15/08/2022;33.5;17.5
16/08/2022;34.3;17.2
17/08/2022;35.0;19.9
18/08/2022;30.9;18.4
19/08/2022;26.2;18.1
20/08/2022;32.5;17.6
21/08/2022;33.4;20.4
22/08/2022;33.8;18.3
23/08/2022;32.3;17.5
24/08/2022;31.0;19.3
25/08/2022;33.0;20.0
26/08/2022;32.9;19.9
27/08/2022;33.1;19.9
28/08/2022;29.7;19.2
29/08/2022;32.7;18.4
30/08/2022;32.6;19.5
31/08/2022;30.2;22.0
01/09/2022;28.5;20.2
02/09/2022;30.5;17.8
03/09/2022;25.9;18.3
04/09/2022;30.4;17.8
05/09/2022;32.7;18.3
06/09/2022;33.4;18.5
07/09/2022;33.1;19.8
08/09/2022;30.9;22.6
09/09/2022;29.9;20.4
10/09/2022;27.9;18.3
11/09/2022;30.1;16.6
12/09/2022;31.0;15.9
13/09/2022;31.1;15.6
14/09/2022;30.5;19.3
15/09/2022;28.2;21.9
16/09/2022;30.1;19.3
17/09/2022;21.1;10.7
18/09/2022;25.0;7.9
19/09/2022;26.7;13.7
20/09/2022;27.0;12.9
21/09/2022;23.1;12.2
22/09/2022;22.9;8.9
23/09/2022;24.3;8.1
24/09/2022;19.4;11.2
25/09/2022;20.1;15.0
26/09/2022;24.0;14.7
27/09/2022;21.8;14.5
28/09/2022;20.3;13.1
29/09/2022;21.4;14.6
30/09/2022;18.1;13.4
01/10/2022;21.7;14.6
02/10/2022;22.7;16.0
03/10/2022;26.7;16.4
04/10/2022;25.8;12.0
05/10/2022;26.3;12.3
06/10/2022;26.3;11.9
07/10/2022;27.1;13.2
08/10/2022;25.0;12.4
09/10/2022;24.5;13.6
10/10/2022;23.1;15.7
11/10/2022;24.8;15.6
12/10/2022;24.9;12.6
13/10/2022;24.1;14.1
14/10/2022;24.2;11.2
15/10/2022;22.2;12.5
16/10/2022;25.5;13.5
17/10/2022;26.7;13.5
18/10/2022;25.4;12.6
19/10/2022;25.2;15.3
20/10/2022;27.1;12.5
