"Stazione";"S. Donato in Collina"
"Codice";"TOS03001137"
"Comune";"Bagno a Ripoli"
"Provincia";"FI"
"GB [m]";"E";1691800;"N";4843614
"WGS84 [°]";"Lat";43.721;"Lon";11.381
"Quota [m]";382,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Max [Â°C]";"Min [Â°C]"
20/04/2021;16.2;3.8
21/04/2021;15.1;1.9
22/04/2021;17.2;7.5
23/04/2021;19.8;7.3
24/04/2021;21.4;10.8
25/04/2021;21.4;6.7
26/04/2021;20.2;7.8
27/04/2021;13.6;9.7
28/04/2021;16.2;9.3
29/04/2021;16.6;11.9
30/04/2021;20.6;12.4
01/05/2021;21.5;11.6
02/05/2021;16.2;9.5
03/05/2021;18.4;8.2
04/05/2021;17.4;5.6
05/05/2021;16.7;8.8
06/05/2021;18.6;8.8
07/05/2021;18.2;10.2
08/05/2021;22.7;10.9
09/05/2021;25.7;10.1
10/05/2021;25.2;11.1
11/05/2021;17.9;11.0
12/05/2021;16.2;9.9
13/05/2021;15.4;9.7
14/05/2021;17.8;9.3
15/05/2021;17.4;7.5
16/05/2021;15.0;11.8
17/05/2021;17.6;11.5
18/05/2021;19.4;9.6
19/05/2021;19.4;7.6
20/05/2021;20.9;6.1
21/05/2021;21.9;8.0
22/05/2021;19.2;10.9
23/05/2021;22.2;14.3
24/05/2021;20.0;12.1
25/05/2021;18.5;10.2
26/05/2021;20.6;7.2
27/05/2021;21.2;9.0
28/05/2021;25.7;9.5
29/05/2021;24.8;12.2
30/05/2021;22.3;12.9
31/05/2021;22.2;11.4
01/06/2021;24.4;9.5
02/06/2021;24.3;11.3
03/06/2021;27.5;11.6
04/06/2021;27.4;13.2
05/06/2021;23.5;15.5
06/06/2021;26.1;14.7
07/06/2021;24.3;15.5
08/06/2021;20.5;15.0
09/06/2021;27.2;14.9
10/06/2021;27.7;16.2
11/06/2021;26.5;15.4
12/06/2021;29.1;16.4
13/06/2021;28.2;16.7
14/06/2021;30.4;17.6
15/06/2021;29.7;16.6
16/06/2021;28.4;16.8
17/06/2021;30.2;16.8
18/06/2021;30.1;16.4
19/06/2021;28.7;15.8
20/06/2021;29.9;18.7
21/06/2021;30.3;17.4
22/06/2021;31.6;18.8
23/06/2021;32.8;17.8
24/06/2021;30.3;18.6
25/06/2021;28.1;17.0
26/06/2021;29.9;14.1
27/06/2021;32.7;16.7
28/06/2021;35.0;17.7
29/06/2021;31.2;18.6
30/06/2021;25.8;17.2
01/07/2021;26.4;17.0
02/07/2021;27.8;16.0
03/07/2021;29.0;16.2
04/07/2021;26.8;18.4
05/07/2021;29.6;18.3
06/07/2021;32.1;16.1
07/07/2021;35.0;18.9
08/07/2021;33.4;19.7
09/07/2021;28.5;17.7
10/07/2021;31.5;15.6
11/07/2021;28.5;16.9
12/07/2021;31.9;17.1
13/07/2021;28.0;17.5
14/07/2021;23.6;15.5
15/07/2021;25.8;13.1
16/07/2021;25.3;15.4
17/07/2021;25.0;17.6
18/07/2021;29.2;19.8
19/07/2021;30.0;20.9
20/07/2021;32.7;19.1
21/07/2021;31.9;19.6
22/07/2021;31.9;18.1
23/07/2021;31.6;19.6
24/07/2021;32.0;18.1
25/07/2021;31.0;22.3
26/07/2021;31.9;22.2
27/07/2021;32.9;19.5
28/07/2021;32.5;19.4
29/07/2021;33.3;18.3
30/07/2021;33.3;18.5
31/07/2021;34.3;20.2
01/08/2021;27.8;18.6
02/08/2021;26.8;17.0
03/08/2021;28.2;13.5
04/08/2021;29.4;15.4
05/08/2021;24.5;17.5
06/08/2021;27.1;17.6
07/08/2021;32.5;15.8
08/08/2021;30.2;21.3
09/08/2021;32.5;17.8
10/08/2021;33.4;19.7
11/08/2021;35.4;21.5
12/08/2021;37.0;20.0
13/08/2021;36.9;21.2
14/08/2021;37.5;22.8
15/08/2021;35.4;21.1
16/08/2021;34.3;20.7
17/08/2021;31.9;19.4
18/08/2021;30.3;18.5
19/08/2021;31.4;16.8
20/08/2021;31.8;18.0
21/08/2021;32.1;17.5
22/08/2021;29.7;18.2
23/08/2021;30.5;18.7
24/08/2021;28.9;18.7
25/08/2021;27.6;18.9
26/08/2021;28.7;15.5
27/08/2021;26.6;17.9
28/08/2021;22.7;14.4
29/08/2021;24.8;14.6
30/08/2021;25.9;12.2
31/08/2021;26.6;13.8
01/09/2021;28.1;13.7
02/09/2021;28.6;15.3
03/09/2021;28.3;15.4
04/09/2021;23.1;17.5
05/09/2021;27.6;15.0
06/09/2021;27.5;17.9
07/09/2021;26.9;18.0
08/09/2021;28.3;16.7
09/09/2021;28.8;13.9
10/09/2021;28.1;13.9
11/09/2021;29.9;16.2
12/09/2021;30.0;15.6
13/09/2021;30.2;14.6
14/09/2021;28.1;16.8
15/09/2021;27.1;16.1
16/09/2021;24.6;17.2
17/09/2021;23.9;16.2
18/09/2021;24.1;17.4
19/09/2021;21.9;15.2
20/09/2021;21.5;14.9
21/09/2021;23.0;13.5
22/09/2021;24.3;11.6
23/09/2021;25.4;11.2
24/09/2021;25.0;9.9
25/09/2021;26.1;14.0
26/09/2021;25.7;14.9
27/09/2021;24.2;15.4
28/09/2021;27.4;15.3
29/09/2021;24.4;13.9
30/09/2021;24.9;14.6
01/10/2021;25.1;14.1
02/10/2021;24.0;12.2
03/10/2021;23.8;12.2
04/10/2021;24.6;15.3
05/10/2021;19.8;14.5
06/10/2021;19.5;12.1
07/10/2021;13.9;10.9
08/10/2021;15.2;12.4
09/10/2021;16.1;10.8
10/10/2021;13.8;8.7
11/10/2021;15.2;8.5
12/10/2021;18.8;6.8
13/10/2021;18.3;6.0
14/10/2021;14.4;7.7
15/10/2021;16.8;6.4
16/10/2021;17.9;10.3
17/10/2021;19.7;10.1
18/10/2021;19.3;5.9
19/10/2021;18.9;5.4
20/10/2021;17.9;7.2
21/10/2021;17.7;11.5
22/10/2021;18.3;12.1
23/10/2021;19.8;10.3
24/10/2021;16.9;9.8
25/10/2021;17.3;8.7
26/10/2021;16.9;9.0
