"Stazione";"Stabbia"
"Codice";"TOS10001650"
"Comune";"Cerreto Guidi"
"Provincia";"FI"
"GB [m]";"E";1647037;"N";4849947
"WGS84 [°]";"Lat";43.788;"Lon";10.827
"Quota [m]";16,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Max [Â°C]";"Min [Â°C]"
01/01/1992;12.5;0.0
02/01/1992;14.0;-0.5
03/01/1992;14.0;5.0
04/01/1992;8.0;5.0
05/01/1992;12.0;7.5
06/01/1992;14.0;4.0
07/01/1992;8.0;6.5
08/01/1992;10.5;7.0
09/01/1992;10.0;8.5
10/01/1992;17.0;2.0
11/01/1992;13.5;4.0
12/01/1992;13.5;3.5
13/01/1992;16.5;0.0
14/01/1992;15.0;-1.0
15/01/1992;14.5;2.0
16/01/1992;14.5;2.5
17/01/1992;15.0;0.0
18/01/1992;15.0;-0.5
19/01/1992;12.5;3.5
20/01/1992;7.5;5.5
21/01/1992;5.5;3.0
22/01/1992;5.5;4.0
23/01/1992;13.5;5.0
24/01/1992;12.5;10.0
25/01/1992;16.5;4.0
26/01/1992;17.5;7.0
27/01/1992;12.0;3.5
28/01/1992;15.0;2.0
29/01/1992;16.0;2.5
30/01/1992;20.0;2.0
31/01/1992;17.5;2.0
01/02/1992;19.5;1.0
02/02/1992;16.5;-1.0
03/02/1992;8.0;1.0
04/02/1992;17.5;4.0
05/02/1992;18.5;5.0
06/02/1992;18.0;3.0
07/02/1992;18.5;1.5
08/02/1992;19.0;4.5
09/02/1992;12.0;8.0
10/02/1992;14.5;7.0
11/02/1992;15.0;10.0
12/02/1992;15.5;9.5
13/02/1992;12.0;9.0
14/02/1992;12.0;3.5
15/02/1992;18.0;6.0
16/02/1992;10.0;3.5
17/02/1992;13.0;-2.0
18/02/1992;14.5;-2.0
19/02/1992;13.0;-3.0
20/02/1992;10.0;-1.0
21/02/1992;12.0;-2.5
22/02/1992;17.0;-1.5
23/02/1992;16.0;0.0
24/02/1992;18.0;1.5
25/02/1992;16.0;8.0
26/02/1992;19.0;4.5
27/02/1992;22.0;2.0
28/02/1992;22.0;0.0
29/02/1992;23.0;1.0
01/03/1992;20.0;2.5
02/03/1992;15.5;7.0
03/03/1992;21.5;3.5
04/03/1992;24.0;6.0
05/03/1992;16.0;8.5
06/03/1992;18.0;11.0
07/03/1992;18.0;6.0
08/03/1992;19.5;8.5
09/03/1992;17.0;4.0
10/03/1992;17.5;0.5
11/03/1992;18.0;1.5
12/03/1992;18.5;6.5
13/03/1992;16.0;4.0
14/03/1992;17.0;4.0
15/03/1992;17.0;4.0
16/03/1992;23.5;6.5
17/03/1992;20.5;4.0
18/03/1992;19.5;2.5
19/03/1992;19.5;2.5
20/03/1992;19.5;8.0
21/03/1992;17.0;10.0
22/03/1992;19.5;10.5
23/03/1992;17.0;10.0
24/03/1992;10.0;7.0
25/03/1992;13.0;6.0
26/03/1992;10.0;6.5
27/03/1992;14.0;8.5
28/03/1992;16.0;3.5
29/03/1992;18.0;9.5
30/03/1992;12.0;9.0
31/03/1992;16.5;8.0
01/04/1992;12.0;7.0
02/04/1992;16.0;7.5
03/04/1992;17.0;7.0
04/04/1992;20.0;7.5
05/04/1992;17.0;11.0
06/04/1992;13.5;11.0
07/04/1992;19.0;11.0
08/04/1992;18.5;12.0
09/04/1992;17.0;12.0
10/04/1992;17.0;8.0
11/04/1992;18.0;5.0
12/04/1992;22.0;6.0
13/04/1992;23.5;10.0
14/04/1992;22.0;9.5
15/04/1992;20.0;11.0
16/04/1992;15.0;10.0
17/04/1992;16.0;8.0
18/04/1992;17.0;8.0
19/04/1992;26.5;7.5
20/04/1992;26.5;9.0
21/04/1992;25.5;12.5
22/04/1992;22.0;11.0
23/04/1992;23.5;9.0
24/04/1992;23.5;9.0
25/04/1992;27.5;9.5
26/04/1992;29.5;11.0
27/04/1992;26.0;10.0
28/04/1992;27.5;15.5
29/04/1992;18.5;12.0
30/04/1992;20.0;15.0
01/05/1992;23.0;9.0
02/05/1992;25.0;14.0
03/05/1992;28.5;14.0
04/05/1992;28.0;12.0
05/05/1992;27.5;12.0
06/05/1992;27.0;12.0
07/05/1992;28.0;11.0
08/05/1992;29.0;11.5
09/05/1992;28.5;15.5
10/05/1992;28.5;14.5
11/05/1992;27.5;14.0
12/05/1992;27.0;11.5
13/05/1992;30.5;13.5
14/05/1992;30.5;18.5
15/05/1992;31.0;13.0
16/05/1992;32.0;14.0
17/05/1992;32.0;15.0
18/05/1992;30.0;15.0
19/05/1992;21.5;11.0
20/05/1992;21.5;10.5
21/05/1992;24.5;14.5
22/05/1992;25.0;13.0
23/05/1992;28.0;14.0
24/05/1992;28.5;15.5
25/05/1992;29.0;14.5
26/05/1992;30.0;12.0
27/05/1992;31.0;12.5
28/05/1992;31.0;12.5
29/05/1992;29.0;18.0
30/05/1992;27.5;16.5
31/05/1992;28.5;18.0
01/06/1992;29.0;18.5
02/06/1992;31.0;18.5
03/06/1992;26.0;13.5
04/06/1992;23.0;14.5
05/06/1992;23.5;13.0
06/06/1992;22.5;12.5
07/06/1992;18.0;12.5
08/06/1992;22.0;14.0
09/06/1992;20.5;14.5
10/06/1992;27.0;14.5
11/06/1992;24.0;16.0
12/06/1992;23.0;16.0
13/06/1992;23.5;16.5
14/06/1992;30.0;16.5
15/06/1992;31.0;14.5
16/06/1992;30.0;17.0
17/06/1992;28.0;18.5
18/06/1992;29.5;18.0
19/06/1992;28.0;14.0
20/06/1992;29.5;12.0
21/06/1992;28.0;12.0
22/06/1992;29.0;19.0
23/06/1992;28.5;16.5
24/06/1992;28.5;16.0
25/06/1992;26.0;16.0
26/06/1992;26.0;15.0
27/06/1992;28.5;15.0
28/06/1992;27.5;13.0
29/06/1992;29.0;13.0
30/06/1992;32.0;14.0
01/07/1992;30.0;14.0
02/07/1992;27.0;17.0
03/07/1992;32.0;15.0
04/07/1992;27.5;18.0
05/07/1992;26.5;16.5
06/07/1992;26.5;16.5
07/07/1992;27.0;15.0
08/07/1992;30.5;17.0
09/07/1992;30.0;17.0
10/07/1992;28.0;17.0
11/07/1992;25.5;17.0
12/07/1992;27.0;16.0
13/07/1992;32.5;16.0
14/07/1992;32.5;15.0
15/07/1992;32.0;17.0
16/07/1992;35.0;17.0
17/07/1992;35.5;18.5
18/07/1992;36.0;20.0
19/07/1992;36.0;20.0
20/07/1992;35.0;17.0
21/07/1992;36.5;18.5
22/07/1992;36.0;17.5
23/07/1992;35.0;20.0
24/07/1992;38.0;22.0
25/07/1992;35.5;20.5
26/07/1992;36.0;20.0
27/07/1992;38.0;22.5
28/07/1992;36.0;22.0
29/07/1992;39.0;21.5
30/07/1992;38.5;18.5
31/07/1992;39.0;19.5
01/08/1992;36.5;20.5
02/08/1992;35.0;19.5
03/08/1992;37.0;22.5
04/08/1992;36.0;21.0
05/08/1992;37.0;22.0
06/08/1992;39.5;21.0
07/08/1992;41.0;21.0
08/08/1992;40.5;20.5
09/08/1992;39.0;20.0
10/08/1992;30.0;16.5
11/08/1992;33.5;17.0
12/08/1992;32.5;17.0
13/08/1992;33.0;19.5
14/08/1992;32.0;16.5
15/08/1992;34.0;17.0
16/08/1992;34.5;16.5
17/08/1992;33.5;18.0
18/08/1992;35.5;16.0
19/08/1992;39.0;18.5
20/08/1992;36.5;21.0
21/08/1992;32.5;19.5
22/08/1992;31.0;20.5
23/08/1992;32.5;19.0
24/08/1992;36.0;19.5
25/08/1992;38.0;17.0
26/08/1992;38.0;17.0
27/08/1992;36.5;17.0
28/08/1992;38.5;18.0
29/08/1992;36.0;20.0
30/08/1992;37.5;17.5
31/08/1992;30.0;20.0
01/09/1992;28.5;12.0
02/09/1992;33.0;12.0
03/09/1992;30.0;18.0
04/09/1992;26.5;9.0
05/09/1992;29.5;1.5
06/09/1992;29.0;8.5
07/09/1992;29.0;15.0
08/09/1992;28.0;15.0
09/09/1992;33.0;18.5
10/09/1992;31.0;18.0
11/09/1992;31.5;15.5
12/09/1992;31.0;15.0
13/09/1992;35.0;13.5
14/09/1992;30.5;16.5
15/09/1992;33.0;16.5
16/09/1992;34.0;15.0
17/09/1992;33.0;15.0
18/09/1992;33.0;15.0
19/09/1992;32.5;14.5
20/09/1992;32.0;14.5
21/09/1992;30.5;14.0
22/09/1992;30.5;14.0
23/09/1992;22.0;12.0
24/09/1992;26.5;11.0
25/09/1992;27.0;14.0
26/09/1992;30.5;15.0
27/09/1992;26.0;17.0
28/09/1992;26.0;16.0
29/09/1992;23.0;14.5
30/09/1992;23.5;13.5
01/10/1992;;
02/10/1992;;
03/10/1992;;
04/10/1992;;
05/10/1992;;
