"Stazione";"Castelfalfi"
"Codice";"TOS10001740"
"Comune";"Montaione"
"Provincia";"FI"
"GB [m]";"E";1650681;"N";4823308
"WGS84 [°]";"Lat";43.547;"Lon";10.865
"Quota [m]";270,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Max [Â°C]";"Min [Â°C]"
01/01/1996;8.5;4.5
02/01/1996;10.0;7.6
03/01/1996;10.2;5.0
04/01/1996;10.5;5.2
05/01/1996;9.0;3.6
06/01/1996;8.0;3.8
07/01/1996;9.8;7.0
08/01/1996;11.2;6.5
09/01/1996;11.5;7.0
10/01/1996;13.0;7.5
11/01/1996;12.5;8.0
12/01/1996;13.0;9.6
13/01/1996;14.0;9.8
14/01/1996;12.5;8.2
15/01/1996;12.0;6.0
16/01/1996;9.2;1.0
17/01/1996;8.0;0.5
18/01/1996;8.5;2.5
19/01/1996;9.8;3.8
20/01/1996;9.5;5.2
21/01/1996;8.0;5.0
22/01/1996;9.2;6.0
23/01/1996;9.5;7.5
24/01/1996;10.1;9.7
25/01/1996;10.9;7.7
26/01/1996;15.4;5.9
27/01/1996;15.3;8.0
28/01/1996;12.5;6.8
29/01/1996;13.2;6.6
30/01/1996;9.5;6.8
31/01/1996;11.3;3.9
01/02/1996;4.5;0.5
02/02/1996;10.0;2.6
03/02/1996;9.0;3.4
04/02/1996;9.1;7.4
05/02/1996;13.3;6.1
06/02/1996;6.7;2.0
07/02/1996;4.2;-0.5
08/02/1996;5.2;-2.5
09/02/1996;6.5;-1.1
10/02/1996;10.9;0.7
11/02/1996;8.8;0.9
