id_stazion,nome,comune,provincia,quota,gc,zona
TOS01000544,Pisa (Fac. Agraria),Pisa,PI,6.000000000000000,GCVI,A6
TOS01000891,Il Palagio,Figline e Incisa Valdarno,FI,315.000000000000000,GCVS,A2
TOS01000901,Vallombrosa,Reggello,FI,980.000000000000000,GCVS,A2
TOS01000911,Cavallina,Barberino di Mugello,FI,256.000000000000000,GCVS,M
TOS01000916,Monte di F�,Barberino di Mugello,FI,820.000000000000000,GCVS,M
TOS01000921,Mangona,Barberino di Mugello,FI,540.000000000000000,GCVS,M
TOS01000926,Le Croci (Barberino),Barberino di Mugello,FI,388.000000000000000,GCVS,M
TOS01000931,Ponte a Olmo,Scarperia e San Piero,FI,459.000000000000000,GCVS,M
TOS01000941,Vaglia,Vaglia,FI,340.000000000000000,GCVS,M
TOS01000961,S. Agata di Mugello,Scarperia e San Piero,FI,357.000000000000000,GCVS,M
TOS01000979,Razzuolo,Borgo San Lorenzo,FI,637.000000000000000,GCVS,M
TOS01000991,Ronta,Borgo San Lorenzo,FI,380.000000000000000,GCVS,M
TOS01000999,Borgo S. Lorenzo,Borgo San Lorenzo,FI,196.000000000000000,GCVS,M
TOS01001011,Villore,Vicchio,FI,365.000000000000000,GCVS,M
TOS01001029,Dicomano,Dicomano,FI,148.000000000000000,GCVS,M
TOS01001041,Consuma,Rufina,FI,955.000000000000000,GCVS,M
TOS01001059,S. Brigida all'Opaco,Pontassieve,FI,407.000000000000000,GCVS,A3
TOS01001096,Firenze Universit�,Firenze,FI,84.000000000000000,GCVS,A3
TOS01001102,Cercina,Sesto Fiorentino,FI,305.000000000000000,GCVS,B
TOS01001103,Caldine,Fiesole,FI,225.000000000000000,GCVS,A3
TOS01001129,Ferrone,Greve in Chianti,FI,150.000000000000000,GCVS,A3
TOS01001189,Le Croci di Calenzano,Calenzano,FI,421.000000000000000,GCVC,B
TOS01001215,S. Giusto,Scandicci,FI,42.000000000000000,GCVS,A3
TOS01001225,Case Passerini,Sesto Fiorentino,FI,33.000000000000000,GCVS,B
TOS01001371,Vinci,Vinci,FI,250.000000000000000,GCVS,A4
TOS01001445,Poggio Aglione,Gambassi Terme,FI,441.000000000000000,GCVS,A5
TOS01001491,S. Miniato (Cimitero),San Miniato,PI,102.000000000000000,GCVI,A4
TOS01001679,La Madonnina,Volterra,PI,607.000000000000000,GCVI,A5
TOS01001711,Orciatico,Lajatico,PI,312.000000000000000,GCVI,A5
TOS01001781,Casciana Terme,Casciana Terme Lari,PI,135.000000000000000,GCVI,A4
TOS01001831,Coltano,Pisa,PI,5.000000000000000,GCVI,A6
TOS01001889,Orentano,Castelfranco di Sotto,PI,22.000000000000000,GCVI,A4
TOS01002011,Miemo,Montecatini Val di Cecina,PI,420.000000000000000,GCVI,E1
TOS01002115,Ponsano,Volterra,PI,340.000000000000000,GCVI,A5
TOS01002131,Montecatini V. Cecina,Montecatini Val di Cecina,PI,379.000000000000000,GCVI,E1
TOS01002161,Libbiano,Pomarance,PI,440.000000000000000,GCVI,E1
TOS01002171,Canneto,Monteverdi Marittimo,PI,300.000000000000000,GCVI,E1
TOS01002181,Sassa,Montecatini Val di Cecina,PI,398.000000000000000,GCVI,E1
TOS01002231,Riparbella,Riparbella,PI,230.000000000000000,GCVI,E1
TOS01004591,Incisa Valle,Figline e Incisa Valdarno,FI,108.420000000000002,GCVS,A2
TOS01004621,S. Piero a Sieve-Sieve,Scarperia e San Piero,FI,222.000000000000000,GCVS,M
TOS01004659,Nave di Rosano,Rignano sull'Arno,FI,78.840000000000003,GCVS,A3
TOS01004725,Strada in Chianti,Greve in Chianti,FI,144.000000000000000,GCVS,A3
TOS01004784,Calenzano,Calenzano,FI,60.000000000000000,GCVC,B
TOS01004811,Ponte a Signa,Signa,FI,32.000000000000000,GCVS,B
TOS01004915,Montespertoli,Montespertoli,FI,117.000000000000000,GCVS,A5
TOS01004921,Turbone,Montelupo Fiorentino,FI,45.000000000000000,GCVS,A4
TOS01004941,Empoli,Empoli,FI,25.000000000000000,GCVS,A4
TOS01004967,Certaldo,Certaldo,FI,65.000000000000000,GCVS,A5
TOS01004971,Castelfiorentino,Castelfiorentino,FI,50.000000000000000,GCVS,A5
TOS01005005,Fornacino,San Miniato,PI,50.000000000000000,GCVI,A4
TOS01005115,Molino d'Era,Volterra,PI,100.319999999999993,GCVI,A5
TOS01005131,Capannoli,Capannoli,PI,28.609999999999999,GCVI,A4
TOS01005181,Pontedera,Pontedera,PI,10.529999999999999,GCVI,A4
TOS01005191,S. Giovanni alla Vena valle,Vicopisano,PI,7.630000000000000,GCVI,A4
TOS01005251,Bocca d'Arno,Pisa,PI,1.000000000000000,GCVI,A6
TOS01005262,Gello,Pontedera,PI,5.000000000000000,GCVI,A4
TOS01005377,S. Dalmazio,Pomarance,PI,247.000000000000000,GCVI,E1
TOS01005386,Ponte SR439,Pomarance,PI,85.000000000000000,GCVI,E1
TOS01005401,Ponte di Monterufoli,Guardistallo,PI,32.960000000000001,GCVI,E1
TOS02004311,Ripafratta,San Giuliano Terme,PI,11.000000000000000,GCTN,S3
TOS02004365,Vecchiano,Vecchiano,PI,6.000000000000000,GCTN,S3
TOS02004369,Bocca di Serchio,San Giuliano Terme,PI,-0.230000000000000,GCTN,S3
TOS03001001,Monte Giovi,Vicchio,FI,960.000000000000000,GCVS,M
TOS03001097,Firenze Orto Botanico,Firenze,FI,48.000000000000000,GCVS,A3
TOS03001099,Firenze Giardino di Boboli,Firenze,FI,112.000000000000000,GCVS,A3
TOS03001135,Poggio alla Croce,Figline e Incisa Valdarno,FI,500.000000000000000,GCVS,A3
TOS03001137,S. Donato in Collina,Bagno a Ripoli,FI,382.000000000000000,GCVS,A3
TOS03001145,Vingone,Scandicci,FI,54.000000000000000,GCVS,A3
TOS03001665,Volterra Balze,Volterra,PI,450.000000000000000,GCVI,A5
TOS03001802,Cimone - Monte Serra,Calci,PI,705.000000000000000,GCVI,A4
TOS03002001,S. Luce,Santa Luce,PI,196.000000000000000,GCVI,E1
TOS03002016,Castellina Marittima,Castellina Marittima,PI,325.000000000000000,GCVI,E1
TOS03005379,Bulera,Pomarance,PI,0.000000000000000,GCVI,E1
TOS10000530,Asciano Pisano,San Giuliano Terme,PI,95.000000000000000,GCTN,S3
TOS10000550,S. Rossore,Pisa,PI,3.000000000000000,GCVI,A6
TOS10001500,Fattoria Scaletta,San Miniato,PI,22.000000000000000,GCVI,A4
TOS10001650,Stabbia,Cerreto Guidi,FI,16.000000000000000,GCVS,A4
TOS10001720,Lajatico,Lajatico,PI,196.000000000000000,GCVI,A5
TOS10001740,Castelfalfi,Montaione,FI,270.000000000000000,GCVS,A5
TOS10001990,Casacce,Santa Luce,PI,50.000000000000000,GCVI,E1
TOS10002010,Castelnuovo Misericordia,Montecatini Val di Cecina,PI,153.000000000000000,GCVI,A6
TOS10002140,Cacciatina,Montecatini Val di Cecina,PI,65.000000000000000,GCVI,E1
TOS10002150,Ponteginori,Pomarance,PI,80.000000000000000,GCVI,E1
TOS10002330,Serrazzano Paese,Pomarance,PI,537.000000000000000,GCVI,E1
TOS11000001,Metato,San Giuliano Terme,PI,3.000000000000000,GCTN,S3
TOS11000010,Santermo,Casciana Terme Lari,PI,210.000000000000000,GCVI,A4
TOS11000016,Terricciola,Terricciola,PI,127.000000000000000,GCVI,A5
TOS11000017,Borgo S. Lorenzo 2,Borgo San Lorenzo,FI,280.000000000000000,GCVS,M
TOS11000020,Monte Serra,Calci,PI,890.000000000000000,GCVI,A4
TOS11000021,Tavarnelle,Barberino Tavarnelle,FI,374.000000000000000,GCVS,A3
TOS11000022,Barberino,Barberino Tavarnelle,FI,430.000000000000000,GCVS,A5
TOS11000023,Lamole,Greve in Chianti,FI,536.000000000000000,GCVS,A3
TOS11000024,Remole,Pontassieve,FI,230.000000000000000,GCVS,A3
TOS11000045,S. Miniato Poggio al Pino,San Miniato,PI,117.000000000000000,GCVI,A4
TOS11000046,Montopoli,Montopoli in Val d'Arno,PI,29.000000000000000,GCVI,A4
TOS11000056,Castelnuovo Val di Cecina,Castelnovo di Val di Cecina,PI,770.000000000000000,GCVI,E1
TOS11000057,Sambuca,San Casciano in Val di Pesa,FI,325.000000000000000,GCVS,A3
TOS11000063,Siberia,Crespina Lorenzana,PI,41.000000000000000,GCVI,A4
TOS11000071,Cerreto Guidi,Cerreto Guidi,FI,70.000000000000000,GCVS,A4
TOS11000073,Greve in Chianti,Greve in Chianti,FI,254.000000000000000,GCVS,A3
TOS11000089,Pelago,Pelago,FI,325.000000000000000,GCVS,M
TOS11000108,Giogo,Firenzuola,FI,880.000000000000000,GCVS,R2
TOS11000504,Monteboro,Empoli,FI,90.000000000000000,GCVS,A4
TOS11000505,Casa Sartori,Montespertoli,FI,198.000000000000000,GCVS,A5
TOS11000507,Legoli,Peccioli,PI,180.000000000000000,GCVI,A5
TOS30248000,Bibbiana,Palazzuolo sul Senio,FI,785.029999999999973,GCVS,R2
TOS30248400,Casaglia,Borgo San Lorenzo,FI,748.309999999999945,GCVS,M
TOS30250000,Marradi,Marradi,FI,323.000000000000000,GCVS,R2
TOS30287500,Barco,Firenzuola,FI,780.000000000000000,GCVS,R2
TOS30287700,Monte Faggiola,Firenzuola,FI,881.240000000000009,GCVS,R2
TOS30290200,Piancaldoli,Firenzuola,FI,496.000000000000000,GCVS,R2
TOS30290300,Firenzuola,Firenze,FI,430.199999999999989,GCVS,R2
TOS30290400,Palazzuolo sul Senio,Firenze,FI,495.310000000000002,GCVS,R2
