fid,id_stazion,nome,comune,provincia,quota,gc,zona
13,TOS01000901,Vallombrosa,Reggello,FI,980,GCVS,A2
14,TOS01000916,Monte di F�,Barberino di Mugello,FI,820,GCVS,M
15,TOS01000921,Mangona,Barberino di Mugello,FI,540,GCVS,M
16,TOS01000926,Le Croci (Barberino),Barberino di Mugello,FI,388,GCVS,M
17,TOS01000999,Borgo S. Lorenzo,Borgo San Lorenzo,FI,196,GCVS,M
18,TOS01001011,Villore,Vicchio,FI,365,GCVS,M
19,TOS01001041,Consuma,Rufina,FI,955,GCVS,M
20,TOS01001059,S. Brigida all'Opaco,Pontassieve,FI,407,GCVS,A3
21,TOS01001096,Firenze Universit�,Firenze,FI,84,GCVS,A3
23,TOS01001215,S. Giusto,Scandicci,FI,42,GCVS,A3
24,TOS01001225,Case Passerini,Sesto Fiorentino,FI,33,GCVS,B
28,TOS01001445,Poggio Aglione,Gambassi Terme,FI,441,GCVS,A5
51,TOS01004915,Montespertoli,Montespertoli,FI,117,GCVS,A5
52,TOS01004941,Empoli,Empoli,FI,25,GCVS,A4
54,TOS01004967,Certaldo,Certaldo,FI,65,GCVS,A5
55,TOS01004971,Castelfiorentino,Castelfiorentino,FI,50,GCVS,A5
100,TOS03001001,Monte Giovi,Vicchio,FI,960,GCVS,M
101,TOS03001097,Firenze Orto Botanico,Firenze,FI,48,GCVS,A3
102,TOS03001099,Firenze Giardino di Boboli,Firenze,FI,112,GCVS,A3
103,TOS03001135,Poggio alla Croce,Figline e Incisa Valdarno,FI,500,GCVS,A3
104,TOS03001137,S. Donato in Collina,Bagno a Ripoli,FI,382,GCVS,A3
158,TOS10001650,Stabbia,Cerreto Guidi,FI,16,GCVS,A4
159,TOS10001740,Castelfalfi,Montaione,FI,270,GCVS,A5
182,TOS11000017,Borgo S. Lorenzo 2,Borgo San Lorenzo,FI,280,GCVS,M
185,TOS11000021,Tavarnelle,Barberino Tavarnelle,FI,374,GCVS,A3
186,TOS11000022,Barberino,Barberino Tavarnelle,FI,430,GCVS,A5
187,TOS11000023,Lamole,Greve in Chianti,FI,536,GCVS,A3
188,TOS11000024,Remole,Pontassieve,FI,230,GCVS,A3
215,TOS11000057,Sambuca,San Casciano in Val di Pesa,FI,325,GCVS,A3
224,TOS11000071,Cerreto Guidi,Cerreto Guidi,FI,70,GCVS,A4
225,TOS11000073,Greve in Chianti,Greve in Chianti,FI,254,GCVS,A3
234,TOS11000089,Pelago,Pelago,FI,325,GCVS,M
249,TOS11000108,Giogo,Firenzuola,FI,880,GCVS,R2
255,TOS11000504,Monteboro,Empoli,FI,90,GCVS,A4
256,TOS11000505,Casa Sartori,Montespertoli,FI,198,GCVS,A5
267,TOS30248000,Bibbiana,Palazzuolo sul Senio,FI,785.03,GCVS,R2
268,TOS30287500,Barco,Firenzuola,FI,780,GCVS,R2
270,TOS30290300,Firenzuola,Firenze,FI,430.2,GCVS,R2
