"Stazione";"Incisa Valle"
"Codice";"TOS01004591"
"Comune";"Figline e Incisa Valdarno"
"Provincia";"FI"
"GB [m]";"E";1697979;"N";4840374
"WGS84 [°]";"Lat";43.690;"Lon";11.456
"Quota [m]";108,42

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;0.738333;P
01/07/2023;0.450968;P
01/08/2023;0.36871;P
01/09/2023;0.364667;P
01/10/2023;0.395161;P
01/11/2023;0.842667;P
01/12/2023;0.809032;P
01/01/2024;0.789355;V
01/02/2024;1.057931;V
01/03/2024;1.581935;V
01/04/2024;1.155333;V
01/05/2024;1.024194;V
01/06/2024;0.747667;V
01/07/2024;0.559032;V
01/08/2024;0.607419;V
01/09/2024;1.349667;V
01/10/2024;1.668387;V
01/11/2024;1.321071;V
01/12/2024;1.516129;V
01/01/2025;1.450323;V
01/02/2025;1.689643;V
01/03/2025;1.903548;V
01/04/2025;1.648;V
01/05/2025;1.49871;V
01/06/2025;1.232333;V
01/07/2025;1.193871;V
01/08/2025;1.203226;V
01/09/2025;1.218333;V
01/10/2025;1.233871;V
01/11/2025;1.396667;V
01/12/2025;1.332581;V
01/01/2026;1.607419;P
01/02/2026;1.953571;P
01/03/2026;1.419677;P
01/04/2026;1.343;P
01/05/2026;1.302258;P
01/06/2026;1.233636;P
