"Stazione";"Bilancino"
"Codice";"TOS01004611"
"Comune";"Barberino di Mugello"
"Provincia";"FI"
"GB [m]";"E";1683693;"N";4871658
"WGS84 [°]";"Lat";43.975;"Lon";11.290
"Quota [m]";0,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;0.832069;V
01/07/2023;0.789677;V
01/08/2023;0.822903;V
01/09/2023;0.805333;V
01/10/2023;0.840968;V
01/11/2023;1.183333;V
01/12/2023;1.312903;V
01/01/2024;1.050968;V
01/02/2024;1.212414;V
01/03/2024;1.133548;V
01/04/2024;0.914333;V
01/05/2024;0.885484;V
01/06/2024;0.860667;V
01/07/2024;0.852903;V
01/08/2024;0.885161;V
01/09/2024;0.868667;V
01/10/2024;1.045484;V
01/11/2024;1.074;V
01/12/2024;0.938667;V
01/01/2025;0.979677;V
01/02/2025;1.245714;V
01/03/2025;1.382903;V
01/04/2025;1.094333;V
01/05/2025;1.046129;V
01/06/2025;1.027;V
01/07/2025;0.873226;V
01/08/2025;0.882903;V
01/09/2025;0.830667;V
01/10/2025;0.806129;V
01/11/2025;0.960667;V
01/12/2025;0.905484;V
01/01/2026;1.053226;P
01/02/2026;1.297143;P
01/03/2026;0.907097;P
01/04/2026;0.838667;P
01/05/2026;0.883548;P
01/06/2026;0.814545;P
