"Stazione";"S. Piero a Sieve-Sieve"
"Codice";"TOS01004621"
"Comune";"Scarperia e San Piero"
"Provincia";"FI"
"GB [m]";"E";1686788;"N";4870648
"WGS84 [°]";"Lat";43.965;"Lon";11.328
"Quota [m]";222,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;0.839667;V
01/07/2023;0.852903;V
01/08/2023;0.908387;V
01/09/2023;0.939;V
01/10/2023;0.916774;V
01/11/2023;1.107;V
01/12/2023;1.105806;V
01/01/2024;1.046452;V
01/02/2024;0.985172;V
01/03/2024;1.09129;V
01/04/2024;0.874333;V
01/05/2024;0.886129;V
01/06/2024;0.832;V
01/07/2024;0.904839;V
01/08/2024;0.969032;V
01/09/2024;0.875333;V
01/10/2024;0.983871;V
01/11/2024;0.962;V
01/12/2024;0.95871;V
01/01/2025;1.049677;P
01/02/2025;1.177857;P
01/03/2025;1.191935;P
01/04/2025;0.935333;P
01/05/2025;0.872581;P
01/06/2025;0.851667;P
01/07/2025;0.894194;P
01/08/2025;0.902581;P
01/09/2025;0.884;P
01/10/2025;0.873871;P
01/11/2025;0.899667;P
01/12/2025;0.916452;P
01/01/2026;1.059355;P
01/02/2026;1.167037;P
01/03/2026;0.917419;P
01/04/2026;0.832;P
01/05/2026;0.890645;P
01/06/2026;0.868182;P
