"Stazione";"Dicomano"
"Codice";"TOS01004625"
"Comune";"Dicomano"
"Provincia";"FI"
"GB [m]";"E";1702892;"N";4862337
"WGS84 [°]";"Lat";43.886;"Lon";11.525
"Quota [m]";148,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;0.161667;V
01/07/2023;0.030968;V
01/08/2023;0.048065;V
01/09/2023;0.066333;V
01/10/2023;0.060323;V
01/11/2023;0.519333;V
01/12/2023;0.607742;V
01/01/2024;0.468065;P
01/02/2024;0.427931;P
01/03/2024;0.684839;P
01/04/2024;0.325;P
01/05/2024;0.255806;P
01/06/2024;0.113333;P
01/07/2024;0.085806;P
01/08/2024;0.098333;P
01/09/2024;0.046;P
01/10/2024;0.331786;P
01/11/2024;0.296538;P
01/12/2024;0.398065;P
01/01/2025;0.555172;P
01/02/2025;0.793333;P
01/03/2025;0.95625;P
01/04/2025;0.931429;P
01/05/2025;0.859355;P
01/06/2025;0.85;P
01/07/2025;0.85;P
01/08/2025;0.85;P
01/09/2025;0.847667;P
01/10/2025;0.847097;P
01/11/2025;0.871786;P
01/12/2025;0.843333;P
01/01/2026;1.002381;P
01/02/2026;0.991071;P
01/03/2026;0.844839;P
01/04/2026;0.848333;P
01/05/2026;0.873226;P
01/06/2026;0.850909;P
