"Stazione";"Nave di Rosano"
"Codice";"TOS01004659"
"Comune";"Rignano sull'Arno"
"Provincia";"FI"
"GB [m]";"E";1695024;"N";4849330
"WGS84 [°]";"Lat";43.771;"Lon";11.423
"Quota [m]";78,84

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;-0.220333;V
01/07/2023;-0.578387;V
01/08/2023;-0.642581;V
01/09/2023;-0.637333;V
01/10/2023;-0.607419;V
01/11/2023;0.069333;V
01/12/2023;0.070968;V
01/01/2024;-0.08;V
01/02/2024;0.074483;V
01/03/2024;0.559667;V
01/04/2024;-0.051333;V
01/05/2024;-0.199032;V
01/06/2024;-0.489333;V
01/07/2024;-0.61;V
01/08/2024;-0.637419;V
01/09/2024;-0.568333;V
01/10/2024;0.067097;V
01/11/2024;-0.314333;V
01/12/2024;0.039677;V
01/01/2025;0.053548;V
01/02/2025;0.511071;V
01/03/2025;0.79129;V
01/04/2025;0.266333;V
01/05/2025;-0.034516;V
01/06/2025;-0.546;V
01/07/2025;-0.627742;V
01/08/2025;-0.637;V
01/09/2025;-0.603448;V
01/10/2025;-0.544194;V
01/11/2025;-0.187667;V
01/12/2025;-0.286129;V
01/01/2026;0.26129;P
01/02/2026;0.828929;P
01/03/2026;-0.104839;P
01/04/2026;-0.3;P
01/05/2026;-0.240645;P
01/06/2026;-0.467273;P
