"Stazione";"Firenze Uffizi"
"Codice";"TOS01004679"
"Comune";"Firenze"
"Provincia";"FI"
"GB [m]";"E";1681523;"N";4848552
"WGS84 [°]";"Lat";43.768;"Lon";11.255
"Quota [m]";43,78

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;0.834667;V
01/07/2023;0.64;V
01/08/2023;0.609677;V
01/09/2023;0.610667;V
01/10/2023;0.624516;V
01/11/2023;0.973667;V
01/12/2023;0.975484;V
01/01/2024;0.91;V
01/02/2024;0.992069;V
01/03/2024;1.216129;V
01/04/2024;0.939;V
01/05/2024;0.868387;V
01/06/2024;0.722;V
01/07/2024;0.650968;V
01/08/2024;0.632581;V
01/09/2024;0.679333;V
01/10/2024;0.980323;V
01/11/2024;0.815667;V
01/12/2024;0.98129;V
01/01/2025;0.991613;V
01/02/2025;1.208214;V
01/03/2025;1.360645;V
01/04/2025;1.098333;V
01/05/2025;0.954194;V
01/06/2025;0.688667;V
01/07/2025;0.64;V
01/08/2025;0.643871;V
01/09/2025;0.660667;V
01/10/2025;0.69129;V
01/11/2025;0.957619;V
01/12/2025;0.839677;V
01/01/2026;1.085161;P
01/02/2026;1.336429;P
01/03/2026;0.897419;P
01/04/2026;0.829333;P
01/05/2026;0.831613;P
01/06/2026;0.741818;P
