"Stazione";"Firenze Uffizi 3"
"Codice";"TOS01004683"
"Comune";"Firenze"
"Provincia";"FI"
"GB [m]";"E";1681522;"N";4848552
"WGS84 [°]";"Lat";43.768;"Lon";11.255
"Quota [m]";43,25

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;0.861;P
01/07/2023;0.674516;P
01/08/2023;0.644516;P
01/09/2023;0.646333;P
01/10/2023;0.662581;P
01/11/2023;1.001667;P
01/12/2023;1.036774;P
01/01/2024;0.944516;P
01/02/2024;1.006897;P
01/03/2024;1.26129;P
01/04/2024;0.963;P
01/05/2024;0.867742;P
01/06/2024;0.734333;P
01/07/2024;0.665484;P
01/08/2024;0.641935;P
01/09/2024;0.673667;P
01/10/2024;0.970968;P
01/11/2024;0.796333;P
01/12/2024;0.980645;P
01/01/2025;1.003548;P
01/02/2025;1.224643;P
01/03/2025;1.371613;P
01/04/2025;1.117;P
01/05/2025;0.993548;P
01/06/2025;0.747;P
01/07/2025;0.700968;P
01/08/2025;0.690645;P
01/09/2025;0.710667;P
01/10/2025;0.728387;P
01/11/2025;0.906;P
01/12/2025;0.820645;P
01/01/2026;1.095484;P
01/02/2026;1.356429;P
01/03/2026;0.928065;P
01/04/2026;0.839;P
01/05/2026;0.907419;P
01/06/2026;0.792727;P
