"Stazione";"Greve"
"Codice";"TOS01004705"
"Comune";"Greve in Chianti"
"Provincia";"FI"
"GB [m]";"E";1687186;"N";4828191
"WGS84 [°]";"Lat";43.583;"Lon";11.318
"Quota [m]";

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;0.528667;V
01/07/2023;0.425806;V
01/08/2023;0.392903;V
01/09/2023;0.390667;V
01/10/2023;0.389677;V
01/11/2023;0.510333;V
01/12/2023;0.494839;V
01/01/2024;0.504839;V
01/02/2024;0.54069;V
01/03/2024;0.634516;V
01/04/2024;0.520333;V
01/05/2024;0.512903;V
01/06/2024;0.449333;V
01/07/2024;0.413226;V
01/08/2024;0.411613;V
01/09/2024;0.417667;V
01/10/2024;0.519032;V
01/11/2024;0.442333;V
01/12/2024;0.500968;V
01/01/2025;0.470968;P
01/02/2025;0.5475;P
01/03/2025;0.592258;P
01/04/2025;0.536;P
01/05/2025;0.48129;P
01/06/2025;0.435333;P
01/07/2025;0.410968;P
01/08/2025;0.395484;P
01/09/2025;0.411333;P
01/10/2025;0.405161;P
01/11/2025;0.46;P
01/12/2025;0.467419;P
01/01/2026;0.532903;P
01/02/2026;0.575357;P
01/03/2026;0.443871;P
01/04/2026;0.399333;P
01/05/2026;0.419677;P
01/06/2026;0.37;P
