"Stazione";"Tavarnuzze"
"Codice";"TOS01004723"
"Comune";"Impruneta"
"Provincia";"FI"
"GB [m]";"E";1678712;"N";4842346
"WGS84 [°]";"Lat";43.712;"Lon";11.218
"Quota [m]";

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;0.341667;V
01/07/2023;;@
01/08/2023;;@
01/09/2023;;@
01/10/2023;0.262;@
01/11/2023;0.346;V
01/12/2023;0.345161;V
01/01/2024;0.356774;V
01/02/2024;0.390345;V
01/03/2024;0.534839;V
01/04/2024;0.386;V
01/05/2024;0.359032;V
01/06/2024;0.28;V
01/07/2024;0.25;@
01/08/2024;;@
01/09/2024;0.267917;V
01/10/2024;0.381613;V
01/11/2024;0.299667;V
01/12/2024;0.381613;V
01/01/2025;0.336129;V
01/02/2025;0.465714;V
01/03/2025;0.512258;V
01/04/2025;0.416;V
01/05/2025;0.334194;V
01/06/2025;0.255;V
01/07/2025;0.23;V
01/08/2025;;@
01/09/2025;;@
01/10/2025;;@
01/11/2025;0.287083;V
01/12/2025;0.312857;V
01/01/2026;0.4204;P
01/02/2026;0.489643;P
01/03/2026;0.346452;P
01/04/2026;0.293333;P
01/05/2026;0.305484;P
01/06/2026;0.257273;P
