"Stazione";"Strada in Chianti"
"Codice";"TOS01004725"
"Comune";"Greve in Chianti"
"Provincia";"FI"
"GB [m]";"E";1686642;"N";4837210
"WGS84 [°]";"Lat";43.664;"Lon";11.315
"Quota [m]";144,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;0.305667;V
01/07/2023;;@
01/08/2023;;@
01/09/2023;;@
01/10/2023;0.27;V
01/11/2023;0.291667;V
01/12/2023;0.281613;V
01/01/2024;0.292258;P
01/02/2024;0.316552;P
01/03/2024;0.437419;P
01/04/2024;0.328667;P
01/05/2024;0.312258;P
01/06/2024;0.263333;P
01/07/2024;0.267419;P
01/08/2024;0.280645;P
01/09/2024;0.316;P
01/10/2024;0.305161;P
01/11/2024;0.279667;P
01/12/2024;0.309032;P
01/01/2025;0.281613;V
01/02/2025;0.368214;V
01/03/2025;0.395484;V
01/04/2025;0.362667;V
01/05/2025;0.31;V
01/06/2025;0.266;V
01/07/2025;0.261935;V
01/08/2025;0.267419;V
01/09/2025;0.268333;V
01/10/2025;0.272258;V
01/11/2025;0.268667;V
01/12/2025;0.270968;V
01/01/2026;0.334516;P
01/02/2026;0.396429;P
01/03/2026;0.280645;P
01/04/2026;0.250667;P
01/05/2026;0.273871;P
01/06/2026;0.280909;P
