"Stazione";"Ponte di Scandicci"
"Codice";"TOS01004731"
"Comune";"Scandicci"
"Provincia";"FI"
"GB [m]";"E";1676633;"N";4846995
"WGS84 [°]";"Lat";43.755;"Lon";11.194
"Quota [m]";

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;0.062667;V
01/07/2023;-0.076774;V
01/08/2023;-0.097097;V
01/09/2023;-0.106333;V
01/10/2023;-0.079355;V
01/11/2023;0.060667;V
01/12/2023;0.083548;V
01/01/2024;0.080645;V
01/02/2024;0.122414;V
01/03/2024;0.330968;V
01/04/2024;0.140333;V
01/05/2024;0.085161;V
01/06/2024;-0.038;V
01/07/2024;-0.083226;V
01/08/2024;-0.104194;V
01/09/2024;-0.068333;V
01/10/2024;0.090323;V
01/11/2024;-0.023667;V
01/12/2024;0.052258;V
01/01/2025;-0.079032;V
01/02/2025;0.1325;V
01/03/2025;0.191935;V
01/04/2025;0.088667;V
01/05/2025;-0.030968;V
01/06/2025;-0.256;V
01/07/2025;-0.323548;V
01/08/2025;-0.382581;V
01/09/2025;-0.277333;V
01/10/2025;-0.193226;V
01/11/2025;-0.012;V
01/12/2025;0.012903;V
01/01/2026;0.126452;P
01/02/2026;0.227857;P
01/03/2026;0.044839;P
01/04/2026;-0.026;P
01/05/2026;-0.013548;P
01/06/2026;-0.090909;P
