"Stazione";"Calenzano"
"Codice";"TOS01004784"
"Comune";"Calenzano"
"Provincia";"FI"
"GB [m]";"E";1673210;"N";4858692
"WGS84 [°]";"Lat";43.861;"Lon";11.155
"Quota [m]";60,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;0.4465;V
01/07/2023;;@
01/08/2023;;@
01/09/2023;;@
01/10/2023;0.425;@
01/11/2023;0.603667;V
01/12/2023;0.581935;V
01/01/2024;0.537742;V
01/02/2024;0.590345;V
01/03/2024;0.631935;V
01/04/2024;0.541667;V
01/05/2024;0.526129;V
01/06/2024;0.462333;V
01/07/2024;0.399355;V
01/08/2024;;@
01/09/2024;;@
01/10/2024;0.598571;@
01/11/2024;0.510667;V
01/12/2024;0.417742;V
01/01/2025;0.489677;V
01/02/2025;0.428571;V
01/03/2025;0.417097;V
01/04/2025;0.295667;V
01/05/2025;0.187097;V
01/06/2025;0.116333;V
01/07/2025;0.090645;V
01/08/2025;0.04129;V
01/09/2025;0.073667;V
01/10/2025;0.125484;V
01/11/2025;0.225185;V
01/12/2025;0.202581;V
01/01/2026;0.296129;P
01/02/2026;0.3525;P
01/03/2026;0.227097;P
01/04/2026;0.160667;P
01/05/2026;0.167419;P
01/06/2026;0.081818;P
