"Stazione";"S. Piero a Ponti"
"Codice";"TOS01004791"
"Comune";"Signa"
"Provincia";"FI"
"GB [m]";"E";1671407;"N";4852291
"WGS84 [°]";"Lat";43.804;"Lon";11.131
"Quota [m]";40,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;1.326;V
01/07/2023;1.199677;V
01/08/2023;1.150645;V
01/09/2023;1.155333;V
01/10/2023;1.369355;V
01/11/2023;1.835;V
01/12/2023;1.773548;V
01/01/2024;1.707097;V
01/02/2024;1.782414;V
01/03/2024;1.836452;V
01/04/2024;1.554333;V
01/05/2024;1.457097;V
01/06/2024;1.353667;V
01/07/2024;1.253548;V
01/08/2024;1.245484;V
01/09/2024;1.403667;V
01/10/2024;1.824839;V
01/11/2024;1.615;V
01/12/2024;1.613226;V
01/01/2025;1.84;V
01/02/2025;1.947857;V
01/03/2025;2.074839;V
01/04/2025;1.767;V
01/05/2025;1.495484;V
01/06/2025;1.349;V
01/07/2025;1.309677;V
01/08/2025;1.279677;V
01/09/2025;1.323;V
01/10/2025;1.442581;V
01/11/2025;1.681667;V
01/12/2025;1.538387;V
01/01/2026;1.793871;P
01/02/2026;2.031786;P
01/03/2026;1.546129;P
01/04/2026;1.396;P
01/05/2026;1.523214;P
01/06/2026;1.461818;P
