"Stazione";"Ponte a Signa"
"Codice";"TOS01004811"
"Comune";"Signa"
"Provincia";"FI"
"GB [m]";"E";1668470;"N";4848812
"WGS84 [°]";"Lat";43.773;"Lon";11.093
"Quota [m]";32,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;0.164333;V
01/07/2023;-0.060968;V
01/08/2023;-0.106774;V
01/09/2023;-0.106;V
01/10/2023;-0.042258;V
01/11/2023;0.563103;V
01/12/2023;0.44069;V
01/01/2024;0.29;V
01/02/2024;0.530345;V
01/03/2024;0.858065;V
01/04/2024;0.318;V
01/05/2024;0.269167;V
01/06/2024;;@
01/07/2024;;@
01/08/2024;;@
01/09/2024;-0.034545;V
01/10/2024;0.42129;V
01/11/2024;0.129667;V
01/12/2024;0.332581;V
01/01/2025;0.524194;V
01/02/2025;1.207857;V
01/03/2025;1.611613;V
01/04/2025;0.93;V
01/05/2025;0.566774;V
01/06/2025;0.471;V
01/07/2025;0.670323;V
01/08/2025;0.91871;V
01/09/2025;0.702667;V
01/10/2025;0.712581;V
01/11/2025;0.963333;V
01/12/2025;0.820323;V
01/01/2026;1.259032;P
01/02/2026;1.711071;P
01/03/2026;0.915161;P
01/04/2026;0.671;P
01/05/2026;0.880645;P
01/06/2026;0.723636;P
