"Stazione";"Montespertoli"
"Codice";"TOS01004915"
"Comune";"Montespertoli"
"Provincia";"FI"
"GB [m]";"E";1668768;"N";4835144
"WGS84 [°]";"Lat";43.650;"Lon";11.092
"Quota [m]";117,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;0.083793;V
01/07/2023;;@
01/08/2023;0.011053;V
01/09/2023;0.016;V
01/10/2023;0.032581;V
01/11/2023;0.039;V
01/12/2023;0.223333;V
01/01/2024;0.183226;V
01/02/2024;0.201034;V
01/03/2024;0.123226;V
01/04/2024;0.052333;V
01/05/2024;0.043226;V
01/06/2024;0.028;V
01/07/2024;0.005161;V
01/08/2024;0.009677;V
01/09/2024;0.019;V
01/10/2024;0.051935;V
01/11/2024;0.020667;V
01/12/2024;0.074516;V
01/01/2025;;@
01/02/2025;;@
01/03/2025;;@
01/04/2025;;@
01/05/2025;;@
01/06/2025;;@
01/07/2025;;@
01/08/2025;;@
01/09/2025;;@
01/10/2025;;@
01/11/2025;;@
01/12/2025;;@
01/01/2026;0.06;P
01/02/2026;0.077143;P
01/03/2026;0.068065;P
01/04/2026;0.093667;P
01/05/2026;0.07;P
01/06/2026;0.043636;P
