"Stazione";"Turbone"
"Codice";"TOS01004921"
"Comune";"Montelupo Fiorentino"
"Provincia";"FI"
"GB [m]";"E";1664028;"N";4842650
"WGS84 [°]";"Lat";43.719;"Lon";11.036
"Quota [m]";45,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;1.164138;V
01/07/2023;;@
01/08/2023;;@
01/09/2023;;@
01/10/2023;0.979167;@
01/11/2023;1.17;V
01/12/2023;1.15931;V
01/01/2024;1.17129;V
01/02/2024;1.192759;V
01/03/2024;1.284839;V
01/04/2024;1.112;V
01/05/2024;1.098387;V
01/06/2024;1.029667;V
01/07/2024;;@
01/08/2024;;@
01/09/2024;1.044783;V
01/10/2024;1.197419;V
01/11/2024;1.074667;V
01/12/2024;1.236774;V
01/01/2025;1.179032;V
01/02/2025;1.361429;V
01/03/2025;1.420968;V
01/04/2025;1.327667;V
01/05/2025;1.254194;V
01/06/2025;1.133333;V
01/07/2025;1.040645;V
01/08/2025;0.997;@
01/09/2025;0.996786;V
01/10/2025;1.040323;V
01/11/2025;1.136667;V
01/12/2025;1.171935;V
01/01/2026;1.290323;P
01/02/2026;1.42;P
01/03/2026;1.233226;P
01/04/2026;1.155333;P
01/05/2026;1.165484;P
01/06/2026;1.071818;P
