"Stazione";"Castelfiorentino"
"Codice";"TOS01004971"
"Comune";"Castelfiorentino"
"Provincia";"FI"
"GB [m]";"E";1658891;"N";4829844
"WGS84 [°]";"Lat";43.604;"Lon";10.968
"Quota [m]";50,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;-0.032;V
01/07/2023;-0.348065;V
01/08/2023;-0.391333;V
01/09/2023;-0.409333;V
01/10/2023;-0.375484;V
01/11/2023;-0.272;V
01/12/2023;-0.304516;V
01/01/2024;-0.213871;V
01/02/2024;0.081034;V
01/03/2024;0.119355;V
01/04/2024;-0.072;V
01/05/2024;-0.105806;V
01/06/2024;-0.174667;V
01/07/2024;-0.182903;V
01/08/2024;-0.167419;V
01/09/2024;-0.116;V
01/10/2024;0.224839;V
01/11/2024;-0.055667;V
01/12/2024;0.029032;V
01/01/2025;-0.047419;V
01/02/2025;0.127857;V
01/03/2025;0.174194;V
01/04/2025;0.037;V
01/05/2025;0.021935;V
01/06/2025;-0.091667;V
01/07/2025;-0.107097;V
01/08/2025;-0.129355;V
01/09/2025;-0.124;V
01/10/2025;-0.135484;V
01/11/2025;-0.105667;V
01/12/2025;-0.092258;V
01/01/2026;0.005161;P
01/02/2026;0.158929;P
01/03/2026;-0.030645;P
01/04/2026;-0.093667;P
01/05/2026;-0.08;P
01/06/2026;-0.126364;P
