"Stazione";"Fucecchio valle"
"Codice";"TOS01005001"
"Comune";"Fucecchio"
"Provincia";"FI"
"GB [m]";"E";1646017;"N";4842358
"WGS84 [°]";"Lat";43.720;"Lon";10.812
"Quota [m]";0,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;-6.455357;V
01/07/2023;-7.260323;V
01/08/2023;-7.457;V
01/09/2023;-7.4748;V
01/10/2023;-7.152903;V
01/11/2023;-5.467333;V
01/12/2023;-5.736774;V
01/01/2024;-5.997097;V
01/02/2024;-5.547241;V
01/03/2024;-3.828125;V
01/04/2024;;@
01/05/2024;;@
01/06/2024;;@
01/07/2024;;@
01/08/2024;;@
01/09/2024;-6.956364;V
01/10/2024;-5.549032;V
01/11/2024;-6.425333;V
01/12/2024;-5.904516;V
01/01/2025;-5.693226;V
01/02/2025;-4.5225;V
01/03/2025;-3.974194;V
01/04/2025;-5.199;V
01/05/2025;-5.981935;V
01/06/2025;-7.062667;V
01/07/2025;-7.273548;V
01/08/2025;-7.290323;V
01/09/2025;-7.058667;V
01/10/2025;-6.807742;V
01/11/2025;-6.022667;V
01/12/2025;-6.301935;V
01/01/2026;-5.162258;P
01/02/2026;-4.036429;P
01/03/2026;-6.021935;P
01/04/2026;-6.525333;P
01/05/2026;-6.254516;P
01/06/2026;-6.67;P
