"Stazione";"Firenzuola Coniale"
"Codice";"TOS03004373"
"Comune";"Firenzuola"
"Provincia";"FI"
"GB [m]";"E";1696297;"N";4891714
"WGS84 [°]";"Lat";44.152;"Lon";11.454
"Quota [m]";279,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;0.557667;V
01/07/2023;0.381935;V
01/08/2023;0.318387;V
01/09/2023;0.29;V
01/10/2023;0.38129;V
01/11/2023;0.783667;V
01/12/2023;0.764194;V
01/01/2024;0.772258;V
01/02/2024;0.752069;V
01/03/2024;0.813226;V
01/04/2024;0.626333;V
01/05/2024;0.569032;V
01/06/2024;0.530333;V
01/07/2024;0.407097;V
01/08/2024;0.361613;V
01/09/2024;0.497;V
01/10/2024;0.796452;V
01/11/2024;0.596667;V
01/12/2024;0.741613;V
01/01/2025;0.787742;P
01/02/2025;0.803214;P
01/03/2025;0.896452;P
01/04/2025;0.714333;P
01/05/2025;0.534194;P
01/06/2025;0.392667;P
01/07/2025;0.349677;P
01/08/2025;0.334839;P
01/09/2025;0.358667;P
01/10/2025;0.435806;P
01/11/2025;0.687;P
01/12/2025;0.650968;P
01/01/2026;0.78;P
01/02/2026;0.822143;P
01/03/2026;0.588387;P
01/04/2026;0.517333;P
01/05/2026;0.547419;P
01/06/2026;0.463636;P
