"Stazione";"Ponte a Niccheri"
"Codice";"TOS03004729"
"Comune";"Bagno a Ripoli"
"Provincia";"FI"
"GB [m]";"E";1684895;"N";4844973
"WGS84 [°]";"Lat";43.735;"Lon";11.296
"Quota [m]";0,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;0.387667;V
01/07/2023;0.286667;V
01/08/2023;0.273871;V
01/09/2023;0.263667;V
01/10/2023;0.275484;V
01/11/2023;0.380333;V
01/12/2023;0.401613;V
01/01/2024;0.390323;V
01/02/2024;0.407586;V
01/03/2024;0.526452;V
01/04/2024;0.420667;V
01/05/2024;0.38871;V
01/06/2024;0.323;V
01/07/2024;0.287742;V
01/08/2024;0.284516;V
01/09/2024;0.299667;V
01/10/2024;0.392903;V
01/11/2024;0.333667;V
01/12/2024;0.390323;V
01/01/2025;0.36871;V
01/02/2025;0.507857;V
01/03/2025;0.569677;V
01/04/2025;0.525333;V
01/05/2025;0.473548;V
01/06/2025;0.37;V
01/07/2025;0.360645;V
01/08/2025;0.341333;V
01/09/2025;0.343;V
01/10/2025;0.345484;V
01/11/2025;0.370333;V
01/12/2025;0.375161;V
01/01/2026;0.453226;P
01/02/2026;0.529286;P
01/03/2026;0.415806;P
01/04/2026;0.375667;P
01/05/2026;0.375161;P
01/06/2026;0.33;P
