"Stazione";"Sambuca"
"Codice";"TOS03004911"
"Comune";"Barberino Tavarnelle"
"Provincia";"FI"
"GB [m]";"E";1678892;"N";4826626
"WGS84 [°]";"Lat";43.571;"Lon";11.215
"Quota [m]";0,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;0.86;@
01/07/2023;0.835161;P
01/08/2023;0.761111;P
01/09/2023;0.739667;P
01/10/2023;0.766452;P
01/11/2023;0.934667;P
01/12/2023;0.917419;P
01/01/2024;0.980645;V
01/02/2024;1.05069;V
01/03/2024;1.241935;V
01/04/2024;1.042;V
01/05/2024;0.995484;V
01/06/2024;0.840333;V
01/07/2024;0.740323;V
01/08/2024;0.712903;V
01/09/2024;0.809;V
01/10/2024;0.986129;V
01/11/2024;0.849333;V
01/12/2024;1.01129;V
01/01/2025;0.953548;V
01/02/2025;1.086429;V
01/03/2025;1.170968;V
01/04/2025;1.038333;V
01/05/2025;0.931935;V
01/06/2025;0.762;V
01/07/2025;0.666129;V
01/08/2025;0.649032;V
01/09/2025;0.695667;V
01/10/2025;0.702581;V
01/11/2025;0.823;V
01/12/2025;0.866774;V
01/01/2026;1.012581;P
01/02/2026;1.219286;P
01/03/2026;0.965806;P
01/04/2026;0.862;P
01/05/2026;0.870968;P
01/06/2026;0.773636;P
