"Stazione";"Grassina"
"Codice";"TOS19000704"
"Comune";"Bagno a Ripoli"
"Provincia";"FI"
"GB [m]";"E";1684818;"N";4843811
"WGS84 [°]";"Lat";43.724;"Lon";11.294
"Quota [m]";90,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;0.436667;V
01/07/2023;0.307097;V
01/08/2023;0.284516;V
01/09/2023;0.276667;V
01/10/2023;0.285806;V
01/11/2023;0.394333;V
01/12/2023;0.407419;V
01/01/2024;0.398387;V
01/02/2024;0.418621;V
01/03/2024;0.544839;V
01/04/2024;0.431333;V
01/05/2024;0.410645;V
01/06/2024;0.321;V
01/07/2024;0.279677;V
01/08/2024;0.271935;V
01/09/2024;0.255;V
01/10/2024;0.436774;V
01/11/2024;0.405667;V
01/12/2024;0.416129;V
01/01/2025;0.366452;V
01/02/2025;0.510357;V
01/03/2025;0.55871;V
01/04/2025;0.514333;V
01/05/2025;0.456452;V
01/06/2025;0.35;V
01/07/2025;0.318065;V
01/08/2025;0.281429;V
01/09/2025;0.286;@
01/10/2025;0.310968;V
01/11/2025;0.340333;V
01/12/2025;0.343548;V
01/01/2026;0.433548;P
01/02/2026;0.512143;P
01/03/2026;0.381935;P
01/04/2026;0.339333;P
01/05/2026;0.352258;P
01/06/2026;0.287273;P
