"Stazione";"Marradi"
"Codice";"TOS30250000"
"Comune";"Marradi"
"Provincia";"FI"
"GB [m]";"E";1708967;"N";4883450
"WGS84 [°]";"Lat";44.074;"Lon";11.609
"Quota [m]";323,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Livello [m]";"Tipo Dato"
01/06/2023;0.217;P
01/07/2023;0.1025;@
01/08/2023;0.041429;@
01/09/2023;0.021765;P
01/10/2023;0.032143;@
01/11/2023;0.188889;P
01/12/2023;0.284286;P
01/01/2024;0.282963;P
01/02/2024;0.223;P
01/03/2024;0.350769;P
01/04/2024;0.213182;P
01/05/2024;0.176818;P
01/06/2024;0.134667;@
01/07/2024;0.0915;P
01/08/2024;0.050476;P
01/09/2024;0.112105;P
01/10/2024;0.314783;P
01/11/2024;0.210741;P
01/12/2024;0.337037;P
01/01/2025;0.331481;P
01/02/2025;0.348148;P
01/03/2025;0.327692;P
01/04/2025;0.28;P
01/05/2025;0.182414;P
01/06/2025;0.090769;@
01/07/2025;0.048261;P
01/08/2025;0.031786;P
01/09/2025;0.027692;P
01/10/2025;0.057037;P
01/11/2025;0.175556;P
01/12/2025;0.214828;P
01/01/2026;0.372143;P
01/02/2026;0.3856;P
01/03/2026;0.223;P
01/04/2026;0.207407;P
01/05/2026;0.224783;P
01/06/2026;0.135;@
