"Stazione";"Il Palagio"
"Codice";"TOS01000891"
"Comune";"Figline e Incisa Valdarno"
"Provincia";"FI"
"GB [m]";"E";1695894;"N";4831732
"WGS84 [°]";"Lat";43.613;"Lon";11.427
"Quota [m]";315,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.290323;P
01/08/2022;4.16129;P
01/09/2022;6.033333;P
01/10/2022;0.193548;P
01/11/2022;4.7;P
01/12/2022;2.703704;P
01/01/2023;2.445161;P
01/02/2023;1.314286;P
01/03/2023;1.780645;P
01/04/2023;2.113333;P
01/05/2023;4.529032;P
01/06/2023;1.806667;P
01/07/2023;0.367742;P
01/08/2023;1.303226;P
01/09/2023;1.126667;P
01/10/2023;4.012903;P
01/11/2023;4.44;P
01/12/2023;1.916129;P
01/01/2024;2.141935;P
01/02/2024;4.048276;P
01/03/2024;4.735484;P
01/04/2024;1.786667;P
01/05/2024;3.154839;P
01/06/2024;1.78;P
01/07/2024;0.283871;P
01/08/2024;2.541935;P
01/09/2024;4.893333;P
01/10/2024;4.974194;P
01/11/2024;1.033333;P
01/12/2024;2.735484;P
01/01/2026;4.477419;P
01/02/2026;4.114286;P
01/03/2026;1.570968;P
01/04/2026;0.453333;P
01/05/2026;6.12;P
