"Stazione";"Vallombrosa"
"Codice";"TOS01000901"
"Comune";"Reggello"
"Provincia";"FI"
"GB [m]";"E";1705946;"N";4845230
"WGS84 [°]";"Lat";43.731;"Lon";11.557
"Quota [m]";980,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.380645;P
01/08/2022;3.174194;P
01/09/2022;6.533333;P
01/10/2022;0.225806;P
01/11/2022;5.873333;P
01/12/2022;9.296774;P
01/01/2023;4.286667;P
01/02/2023;2.335714;P
01/03/2023;3.56129;P
01/04/2023;3.4;P
01/05/2023;6.980645;P
01/06/2023;3.993333;P
01/07/2023;2.03871;P
01/08/2023;2.322581;P
01/09/2023;0.993333;P
01/10/2023;7.058065;P
01/11/2023;7.946667;P
01/12/2023;5.26;P
01/01/2024;2.528;P
01/02/2024;5.296552;P
01/03/2024;8.593548;P
01/04/2024;2.86;P
01/05/2024;3.903226;P
01/06/2024;2.186667;P
01/07/2024;0.96129;P
01/08/2024;1.36129;P
01/09/2024;7.32;P
01/10/2024;6.948387;P
01/11/2024;2.773333;P
01/12/2024;5.123077;P
01/01/2026;4.841379;P
01/02/2026;5.9;P
01/03/2026;3.6;P
01/04/2026;1.236667;P
01/05/2026;9.08;P
