"Stazione";"Cavallina"
"Codice";"TOS01000911"
"Comune";"Barberino di Mugello"
"Provincia";"FI"
"GB [m]";"E";1679464;"N";4872497
"WGS84 [°]";"Lat";43.984;"Lon";11.237
"Quota [m]";256,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.212903;P
01/08/2022;1.683871;P
01/09/2022;2.286667;P
01/10/2022;0.56129;P
01/11/2022;4.493333;P
01/12/2022;8.974194;P
01/01/2023;4.625806;P
01/02/2023;0.792857;P
01/03/2023;2.387097;P
01/04/2023;1.853333;P
01/05/2023;3.129032;P
01/06/2023;2.16;P
01/07/2023;0.56129;P
01/08/2023;1.348387;P
01/09/2023;0.506667;P
01/10/2023;6.0;P
01/11/2023;9.326667;P
01/12/2023;4.619355;P
01/01/2024;2.509677;P
01/02/2024;5.993103;P
01/03/2024;4.090323;P
01/04/2024;1.0;P
01/05/2024;1.580645;P
01/06/2024;2.246667;P
01/07/2024;0.0;P
01/08/2024;0.167742;P
01/09/2024;5.106667;P
01/10/2024;8.566667;P
01/11/2024;3.16;P
01/12/2024;1.896774;P
01/01/2026;5.832258;P
01/02/2026;6.289286;P
01/03/2026;2.632258;P
01/04/2026;0.46;P
01/05/2026;6.87;P
