"Stazione";"Monte di Fò"
"Codice";"TOS01000916"
"Comune";"Barberino di Mugello"
"Provincia";"FI"
"GB [m]";"E";1682652;"N";4883263
"WGS84 [°]";"Lat";44.080;"Lon";11.281
"Quota [m]";820,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.141935;P
01/08/2022;2.864516;P
01/09/2022;4.506667;P
01/10/2022;0.709677;P
01/11/2022;5.913333;P
01/12/2022;11.929032;P
01/01/2023;5.787097;P
01/02/2023;1.628571;P
01/03/2023;5.593548;P
01/04/2023;2.16;P
01/05/2023;7.058065;P
01/06/2023;2.866667;P
01/07/2023;1.632258;P
01/08/2023;1.251613;P
01/09/2023;1.246667;P
01/10/2023;9.516129;P
01/11/2023;11.453333;P
01/12/2023;7.593548;P
01/01/2024;4.896774;P
01/02/2024;8.951724;P
01/03/2024;7.851613;P
01/04/2024;2.873333;P
01/05/2024;5.187097;P
01/06/2024;6.813333;P
01/07/2024;0.090323;P
01/08/2024;1.187097;P
01/09/2024;9.226667;P
01/10/2024;12.141935;P
01/11/2024;4.473333;P
01/12/2024;4.348387;P
01/01/2026;7.541935;P
01/02/2026;5.914286;P
01/03/2026;2.496774;P
01/04/2026;0.706667;P
01/05/2026;7.495;P
