"Stazione";"Le Croci (Barberino)"
"Codice";"TOS01000926"
"Comune";"Barberino di Mugello"
"Provincia";"FI"
"GB [m]";"E";1682106;"N";4875177
"WGS84 [°]";"Lat";44.007;"Lon";11.271
"Quota [m]";388,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.509677;P
01/08/2022;1.896774;P
01/09/2022;2.726667;P
01/10/2022;0.625806;P
01/11/2022;4.446667;P
01/12/2022;8.658065;P
01/01/2023;4.77931;P
01/02/2023;0.835714;P
01/03/2023;2.470968;P
01/04/2023;1.353333;P
01/05/2023;3.445161;P
01/06/2023;3.086667;P
01/07/2023;0.767742;P
01/08/2023;1.006452;P
01/09/2023;0.966667;P
01/10/2023;6.574194;P
01/11/2023;9.66;P
01/12/2023;4.948387;P
01/01/2024;3.025806;P
01/02/2024;5.324138;P
01/03/2024;3.851613;P
01/04/2024;2.313333;P
01/05/2024;2.96129;P
01/06/2024;3.513333;P
01/07/2024;0.0;P
01/08/2024;0.270968;P
01/09/2024;5.553333;P
01/10/2024;8.845161;P
01/11/2024;3.346667;P
01/12/2024;2.290323;P
01/01/2026;4.941935;P
01/02/2026;5.8;P
01/03/2026;2.754839;P
01/04/2026;0.526667;P
01/05/2026;6.215;P
