"Stazione";"Ponte a Olmo"
"Codice";"TOS01000931"
"Comune";"Scarperia e San Piero"
"Provincia";"FI"
"GB [m]";"E";1684633;"N";4879931
"WGS84 [°]";"Lat";44.049;"Lon";11.304
"Quota [m]";459,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.180645;P
01/08/2022;1.76129;P
01/09/2022;3.92;P
01/10/2022;0.619355;P
01/11/2022;5.426667;P
01/12/2022;9.380645;P
01/01/2023;5.2;P
01/02/2023;1.764286;P
01/03/2023;3.329032;P
01/04/2023;1.42;P
01/05/2023;5.070968;P
01/06/2023;2.52;P
01/07/2023;0.909677;P
01/08/2023;0.825806;P
01/09/2023;0.42;P
01/10/2023;8.025806;P
01/11/2023;10.42;P
01/12/2023;5.741935;P
01/01/2024;3.703226;P
01/02/2024;6.089655;P
01/03/2024;5.025806;P
01/04/2024;2.393333;P
01/05/2024;4.0;P
01/06/2024;4.546667;P
01/07/2024;0.058065;P
01/08/2024;0.683871;P
01/09/2024;7.613333;P
01/10/2024;9.212903;P
01/11/2024;3.833333;P
01/12/2024;3.974194;P
01/01/2026;5.76129;P
01/02/2026;6.092857;P
01/03/2026;3.135484;P
01/04/2026;0.486667;P
01/05/2026;8.78;P
