"Stazione";"Vaglia"
"Codice";"TOS01000941"
"Comune";"Vaglia"
"Provincia";"FI"
"GB [m]";"E";1682697;"N";4864224
"WGS84 [°]";"Lat";43.908;"Lon";11.275
"Quota [m]";340,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.412903;P
01/08/2022;2.425806;P
01/09/2022;3.786667;P
01/10/2022;0.948387;P
01/11/2022;4.633333;P
01/12/2022;6.682759;P
01/01/2023;5.374194;P
01/02/2023;1.178571;P
01/03/2023;2.264516;P
01/04/2023;2.493333;P
01/05/2023;2.922581;P
01/06/2023;2.02;P
01/07/2023;0.548387;P
01/08/2023;0.380645;P
01/09/2023;0.126667;P
01/10/2023;5.083871;P
01/11/2023;8.166667;P
01/12/2023;3.606452;P
01/01/2024;2.43871;P
01/02/2024;5.310345;P
01/03/2024;5.083871;P
01/04/2024;2.54;P
01/05/2024;1.870968;P
01/06/2024;1.653333;P
01/07/2024;0.109677;P
01/08/2024;0.193548;P
01/09/2024;4.846667;P
01/10/2024;8.541935;P
01/11/2024;3.953333;P
01/12/2024;2.451613;P
01/01/2026;5.645161;P
01/02/2026;4.821429;P
01/03/2026;2.635484;P
01/04/2026;0.63;P
01/05/2026;8.14;P
