"Stazione";"S. Agata di Mugello"
"Codice";"TOS01000961"
"Comune";"Scarperia e San Piero"
"Provincia";"FI"
"GB [m]";"E";1687350;"N";4876843
"WGS84 [°]";"Lat";44.021;"Lon";11.337
"Quota [m]";357,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.141935;P
01/08/2022;1.883871;P
01/09/2022;3.013333;P
01/10/2022;0.8;P
01/11/2022;4.08;P
01/12/2022;7.83871;P
01/01/2023;4.529032;P
01/02/2023;1.064286;P
01/03/2023;2.264516;P
01/04/2023;1.113333;P
01/05/2023;4.296774;P
01/06/2023;3.0;P
01/07/2023;0.503226;P
01/08/2023;0.929032;P
01/09/2023;0.913333;P
01/10/2023;5.858065;P
01/11/2023;8.306667;P
01/12/2023;4.154839;P
01/01/2024;2.819355;P
01/02/2024;4.503448;P
01/03/2024;3.245161;P
01/04/2024;2.333333;P
01/05/2024;3.309677;P
01/06/2024;3.98;P
01/07/2024;0.006452;P
01/08/2024;0.812903;P
01/09/2024;5.126667;P
01/10/2024;8.180645;P
01/11/2024;2.446667;P
01/12/2024;3.264516;P
01/01/2026;4.535484;P
01/02/2026;4.721429;P
01/03/2026;3.090323;P
01/04/2026;0.433333;P
01/05/2026;4.73;P
