"Stazione";"Razzuolo"
"Codice";"TOS01000979"
"Comune";"Borgo San Lorenzo"
"Provincia";"FI"
"GB [m]";"E";1697775;"N";4878357
"WGS84 [°]";"Lat";44.032;"Lon";11.468
"Quota [m]";637,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.180645;P
01/08/2022;3.23871;P
01/09/2022;4.773333;P
01/10/2022;0.690323;P
01/11/2022;5.637037;P
01/12/2022;9.012903;P
01/01/2023;7.477419;P
01/02/2023;2.414286;P
01/03/2023;3.870968;P
01/04/2023;1.666667;P
01/05/2023;9.174194;P
01/06/2023;2.4;P
01/07/2023;0.980645;P
01/08/2023;1.122581;P
01/09/2023;1.08;P
01/10/2023;5.606452;P
01/11/2023;5.455172;P
01/12/2023;6.76129;P
01/01/2024;4.019355;P
01/02/2024;4.725926;P
01/03/2024;5.664516;P
01/04/2024;3.56;P
01/05/2024;4.006452;P
01/06/2024;5.12;P
01/07/2024;0.045161;P
01/08/2024;0.458065;P
01/09/2024;7.833333;P
01/10/2024;8.541935;P
01/11/2024;4.46;P
01/12/2024;5.651613;P
01/01/2026;6.916129;P
01/02/2026;5.221429;P
01/03/2026;4.722581;P
01/04/2026;0.773333;P
01/05/2026;7.51;P
