"Stazione";"Ronta"
"Codice";"TOS01000991"
"Comune";"Borgo San Lorenzo"
"Provincia";"FI"
"GB [m]";"E";1695339;"N";4875780
"WGS84 [°]";"Lat";44.009;"Lon";11.436
"Quota [m]";380,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.43871;P
01/08/2022;1.554839;P
01/09/2022;4.506667;P
01/10/2022;0.812903;P
01/11/2022;4.146667;P
01/12/2022;6.890323;P
01/01/2023;4.178571;P
01/02/2023;1.8;P
01/03/2023;2.580645;P
01/04/2023;1.373333;P
01/05/2023;6.296774;P
01/06/2023;2.44;P
01/07/2023;0.329032;P
01/08/2023;1.070968;P
01/09/2023;0.86;P
01/10/2023;4.929032;P
01/11/2023;9.126667;P
01/12/2023;4.651613;P
01/01/2024;2.748387;P
01/02/2024;3.972414;P
01/03/2024;4.316129;P
01/04/2024;3.22;P
01/05/2024;3.703226;P
01/06/2024;4.446667;P
01/07/2024;0.083871;P
01/08/2024;0.251613;P
01/09/2024;5.56;P
01/10/2024;6.548387;P
01/11/2024;3.166667;P
01/12/2024;3.270968;P
01/01/2026;4.832258;P
01/02/2026;4.407143;P
01/03/2026;4.083871;P
01/04/2026;0.75;P
01/05/2026;7.45;P
